NUTS_ID,MREG_CODE,Country code,Name of the metro region,
AT112,AT001MC,AT,Wien,
AT125,AT001MC,AT,Wien,
AT126,AT001MC,AT,Wien,
AT127,AT001MC,AT,Wien,
AT130,AT001MC,AT,Wien,
AT225,AT002M,AT,Graz,
AT221,AT002M,AT,Graz,
AT312,AT003M,AT,Linz,
AT313,AT003M,AT,Linz,
AT323,AT004M,AT,Salzburg,
AT332,AT005M,AT,Innsbruck,
BE231,BE001MC,BE,Bruxelles / Brussel,
BE241,BE001MC,BE,Bruxelles / Brussel,
BE100,BE001MC,BE,Bruxelles / Brussel,
BE310,BE001MC,BE,Bruxelles / Brussel,
BE211,BE002M,BE,Antwerpen,
BE233,BE003M,BE,Gent,
BE234,BE003M,BE,Gent,
BE322,BE004M,BE,Charleroi,
BE334,BE005M,BE,Liège,
BE332,BE005M,BE,Liège,
BG412,BG001MC,BG,Sofia,
BG414,BG001MC,BG,Sofia,
BG411,BG001MC,BG,Sofia,
BG421,BG002M,BG,Plovdiv,
BG331,BG003M,BG,Varna,
BG341,BG004M,BG,Burgas,
CH040,CH001M,CH,Zürich,
CH013,CH002M,CH,Genève,
DE139,CH003M,CH,Basel,
CH032,CH003M,CH,Basel,
CH031,CH003M,CH,Basel,
CH021,CH004MC,CH,Bern,
CH011,CH005M,CH,Lausanne,
CY000,CY001MC,CY,Lefkosia,
CZ020,CZ001MC,CZ,Praha,
CZ010,CZ001MC,CZ,Praha,
CZ064,CZ002M,CZ,Brno,
CZ080,CZ003M,CZ,Ostrava,
CZ032,CZ004M,CZ,Plzen,
DE404,DE001MC,DE,Berlin,
DE40C,DE001MC,DE,Berlin,
DE405,DE001MC,DE,Berlin,
DE406,DE001MC,DE,Berlin,
DE40E,DE001MC,DE,Berlin,
DE408,DE001MC,DE,Berlin,
DE409,DE001MC,DE,Berlin,
DE40H,DE001MC,DE,Berlin,
DE300,DE001MC,DE,Berlin,
DE40A,DE001MC,DE,Berlin,
DEF09,DE002M,DE,Hamburg,
DE600,DE002M,DE,Hamburg,
DE939,DE002M,DE,Hamburg,
DE933,DE002M,DE,Hamburg,
DEF06,DE002M,DE,Hamburg,
DEF0D,DE002M,DE,Hamburg,
DEF0F,DE002M,DE,Hamburg,
DE21A,DE003M,DE,München,
DE217,DE003M,DE,München,
DE218,DE003M,DE,München,
DE21H,DE003M,DE,München,
DE21B,DE003M,DE,München,
DE21C,DE003M,DE,München,
DE21L,DE003M,DE,München,
DE21E,DE003M,DE,München,
DE212,DE003M,DE,München,
DEA23,DE004M,DE,Köln,
DEA24,DE004M,DE,Köln,
DEA2B,DE004M,DE,Köln,
DEA27,DE004M,DE,Köln,
DE712,DE005M,DE,Frankfurt am Main,
DE713,DE005M,DE,Frankfurt am Main,
DE717,DE005M,DE,Frankfurt am Main,
DE718,DE005M,DE,Frankfurt am Main,
DE719,DE005M,DE,Frankfurt am Main,
DE71A,DE005M,DE,Frankfurt am Main,
DE71C,DE005M,DE,Frankfurt am Main,
DE71E,DE005M,DE,Frankfurt am Main,
DE111,DE007M,DE,Stuttgart,
DE116,DE007M,DE,Stuttgart,
DE112,DE007M,DE,Stuttgart,
DE113,DE007M,DE,Stuttgart,
DE114,DE007M,DE,Stuttgart,
DE115,DE007M,DE,Stuttgart,
DED51,DE008M,DE,Leipzig,
DED52,DE008M,DE,Leipzig,
DED53,DE008M,DE,Leipzig,
DED21,DE009M,DE,Dresden,
DED2C,DE009M,DE,Dresden,
DED2E,DE009M,DE,Dresden,
DED2F,DE009M,DE,Dresden,
DEA1C,DE011M,DE,Düsseldorf,
DEA1D,DE011M,DE,Düsseldorf,
DEA11,DE011M,DE,Düsseldorf,
DE922,DE012M,DE,Bremen,
DE501,DE012M,DE,Bremen,
DE936,DE012M,DE,Bremen,
DE937,DE012M,DE,Bremen,
DE93B,DE012M,DE,Bremen,
DE941,DE012M,DE,Bremen,
DE928,DE013M,DE,Hannover,
DE929,DE013M,DE,Hannover,
DE257,DE014M,DE,Nürnberg,
DE258,DE014M,DE,Nürnberg,
DE259,DE014M,DE,Nürnberg,
DE25B,DE014M,DE,Nürnberg,
DE252,DE014M,DE,Nürnberg,
DE253,DE014M,DE,Nürnberg,
DE254,DE014M,DE,Nürnberg,
DE255,DE014M,DE,Nürnberg,
DEA41,DE017M,DE,Bielefeld,
DEE02,DE018M,DE,Halle an der Saale,
DEE0B,DE018M,DE,Halle an der Saale,
DEE03,DE019M,DE,Magdeburg,
DEE06,DE019M,DE,Magdeburg,
DEE07,DE019M,DE,Magdeburg,
DE714,DE020M,DE,Wiesbaden,
DE71D,DE020M,DE,Wiesbaden,
DE91C,DE021M,DE,Göttingen,
DE918,DE021M,DE,Göttingen,
DE711,DE025M,DE,Darmstadt,
DE716,DE025M,DE,Darmstadt,
DE131,DE027M,DE,Freiburg im Breisgau,
DE132,DE027M,DE,Freiburg im Breisgau,
DE133,DE027M,DE,Freiburg im Breisgau,
DE232,DE028M,DE,Regensburg,
DE226,DE028M,DE,Regensburg,
DE238,DE028M,DE,Regensburg,
DE80O,DE031M,DE,Schwerin,
DE804,DE031M,DE,Schwerin,
DEG0C,DE032M,DE,Erfurt,
DEG0D,DE032M,DE,Erfurt,
DEG0F,DE032M,DE,Erfurt,
DEG01,DE032M,DE,Erfurt,
DE275,DE033M,DE,Augsburg,
DE276,DE033M,DE,Augsburg,
DE271,DE033M,DE,Augsburg,
DEA22,DE034M,DE,Bonn,
DEA2C,DE034M,DE,Bonn,
DE123,DE035M,DE,Karlsruhe,
DE122,DE035M,DE,Karlsruhe,
DEA15,DE036M,DE,Mönchengladbach,
DEB3J,DE037M,DE,Mainz,
DEB35,DE037M,DE,Mainz,
DEA1F,DE038M,DE,Ruhrgebiet,
DEA12,DE038M,DE,Ruhrgebiet,
DEA13,DE038M,DE,Ruhrgebiet,
DEA16,DE038M,DE,Ruhrgebiet,
DEA17,DE038M,DE,Ruhrgebiet,
DEA55,DE038M,DE,Ruhrgebiet,
DEA5C,DE038M,DE,Ruhrgebiet,
DEA31,DE038M,DE,Ruhrgebiet,
DEA32,DE038M,DE,Ruhrgebiet,
DEA51,DE038M,DE,Ruhrgebiet,
DEA52,DE038M,DE,Ruhrgebiet,
DEA53,DE038M,DE,Ruhrgebiet,
DEA36,DE038M,DE,Ruhrgebiet,
DEA54,DE038M,DE,Ruhrgebiet,
DEA56,DE038M,DE,Ruhrgebiet,
DEF02,DE039M,DE,Kiel,
DEF0A,DE039M,DE,Kiel,
DEF0B,DE039M,DE,Kiel,
DEC01,DE040M,DE,Saarbrücken,
DEC03,DE040M,DE,Saarbrücken,
DEC04,DE040M,DE,Saarbrücken,
DEC05,DE040M,DE,Saarbrücken,
DEB11,DE042M,DE,Koblenz,
DEB17,DE042M,DE,Koblenz,
DE803,DE043M,DE,Rostock,
DE80K,DE043M,DE,Rostock,
DEB3F,DE044M,DE,Kaiserslautern,
DEB3G,DE044M,DE,Kaiserslautern,
DEB32,DE044M,DE,Kaiserslautern,
DEA58,DE045M,DE,Iserlohn,
DEF01,DE052M,DE,Flensburg,
DEF0C,DE052M,DE,Flensburg,
DE138,DE054M,DE,Konstanz,
DE721,DE057M,DE,Gießen,
DE242,DE059M,DE,Bayreuth,
DE24B,DE059M,DE,Bayreuth,
DE246,DE059M,DE,Bayreuth,
DE269,DE061M,DE,Aschaffenburg,
