nuts,type,value,indicator,year
AT130,flat,6399,nbscrapes,2019
AT121,flat,13,nbscrapes,2019
AT122,flat,83,nbscrapes,2019
AT124,flat,85,nbscrapes,2019
AT127,flat,232,nbscrapes,2019
AT125,flat,25,nbscrapes,2019
AT126,flat,108,nbscrapes,2019
AT123,flat,30,nbscrapes,2019
AT122,house,38,nbscrapes,2019
AT126,house,138,nbscrapes,2019
AT127,house,86,nbscrapes,2019
AT124,house,81,nbscrapes,2019
AT341,house,2,nbscrapes,2019
AT125,house,32,nbscrapes,2019
AT123,house,11,nbscrapes,2019
AT121,house,30,nbscrapes,2019
AT112,house,1,nbscrapes,2019
AT221,flat,2,nbscrapes,2019
AT225,flat,1,nbscrapes,2019
AT222,house,67,nbscrapes,2019
AT221,house,293,nbscrapes,2019
AT113,house,4,nbscrapes,2019
AT224,house,190,nbscrapes,2019
AT225,house,232,nbscrapes,2019
AT223,house,64,nbscrapes,2019
AT226,house,42,nbscrapes,2019
AT321,house,31,nbscrapes,2019
AT342,flat,351,nbscrapes,2019
AT341,flat,151,nbscrapes,2019
AT314,flat,109,nbscrapes,2019
AT315,flat,484,nbscrapes,2019
AT312,flat,753,nbscrapes,2019
AT311,flat,188,nbscrapes,2019
AT313,flat,69,nbscrapes,2019
AT323,flat,893,nbscrapes,2019
AT311,house,236,nbscrapes,2019
AT312,house,394,nbscrapes,2019
AT315,house,286,nbscrapes,2019
AT314,house,86,nbscrapes,2019
AT313,house,140,nbscrapes,2019
AT323,house,244,nbscrapes,2019
AT322,flat,486,nbscrapes,2019
AT321,flat,32,nbscrapes,2019
AT322,house,181,nbscrapes,2019
AT332,flat,469,nbscrapes,2019
AT335,flat,768,nbscrapes,2019
AT331,flat,21,nbscrapes,2019
AT333,flat,50,nbscrapes,2019
AT334,flat,119,nbscrapes,2019
AT335,house,367,nbscrapes,2019
AT334,house,56,nbscrapes,2019
AT331,house,49,nbscrapes,2019
AT332,house,79,nbscrapes,2019
AT333,house,22,nbscrapes,2019
BE100,house,1554,nbscrapes,2019
BE100,flat,3055,nbscrapes,2019
BE310,house,1542,nbscrapes,2019
BE310,flat,780,nbscrapes,2019
BE241,house,1677,nbscrapes,2019
BE241,flat,835,nbscrapes,2019
BE211,house,1692,nbscrapes,2019
BE211,flat,1810,nbscrapes,2019
BE213,house,684,nbscrapes,2019
BE213,flat,334,nbscrapes,2019
BE212,house,907,nbscrapes,2019
BE212,flat,495,nbscrapes,2019
BE242,house,1234,nbscrapes,2019
BE242,flat,627,nbscrapes,2019
BE221,house,688,nbscrapes,2019
BE221,flat,380,nbscrapes,2019
BE222,house,318,nbscrapes,2019
BE222,flat,111,nbscrapes,2019
BE223,house,219,nbscrapes,2019
BE223,flat,26,nbscrapes,2019
BE332,house,1524,nbscrapes,2019
BE332,flat,584,nbscrapes,2019
BE331,house,311,nbscrapes,2019
BE331,flat,52,nbscrapes,2019
BE334,house,230,nbscrapes,2019
BE334,flat,77,nbscrapes,2019
BE336,house,114,nbscrapes,2019
BE336,flat,30,nbscrapes,2019
BE335,house,681,nbscrapes,2019
BE335,flat,180,nbscrapes,2019
BE352,house,774,nbscrapes,2019
