nuts,year,type,indicator,value,level
EE_0130,2005,all,ppm2,137,laucode
EE_0130,2005,flat,ppm2,126,laucode
EE_0130,2005,house,ppm2,142,laucode
EE_0130,2006,all,ppm2,249,laucode
EE_0130,2006,flat,ppm2,124,laucode
EE_0130,2006,house,ppm2,306,laucode
EE_0130,2007,all,ppm2,349,laucode
EE_0130,2007,flat,ppm2,201,laucode
EE_0130,2007,house,ppm2,425,laucode
EE_0130,2008,all,ppm2,221,laucode
EE_0130,2008,flat,ppm2,156,laucode
EE_0130,2008,house,ppm2,291,laucode
EE_0130,2009,all,ppm2,161,laucode
EE_0130,2009,flat,ppm2,115,laucode
EE_0130,2009,house,ppm2,223,laucode
EE_0130,2010,all,ppm2,172,laucode
EE_0130,2010,flat,ppm2,198,laucode
EE_0130,2010,house,ppm2,145,laucode
EE_0130,2011,all,ppm2,168,laucode
EE_0130,2011,flat,ppm2,157,laucode
EE_0130,2011,house,ppm2,173,laucode
EE_0130,2012,all,ppm2,208,laucode
EE_0130,2012,flat,ppm2,128,laucode
EE_0130,2012,house,ppm2,323,laucode
EE_0130,2013,all,ppm2,174,laucode
EE_0130,2013,flat,ppm2,137,laucode
EE_0130,2013,house,ppm2,208,laucode
EE_0130,2014,all,ppm2,218,laucode
EE_0130,2014,flat,ppm2,169,laucode
EE_0130,2014,house,ppm2,238,laucode
EE_0130,2015,all,ppm2,209,laucode
EE_0130,2015,flat,ppm2,218,laucode
EE_0130,2015,house,ppm2,201,laucode
EE_0130,2016,all,ppm2,213,laucode
EE_0130,2016,flat,ppm2,178,laucode
EE_0130,2016,house,ppm2,232,laucode
EE_0130,2017,all,ppm2,219,laucode
EE_0130,2017,flat,ppm2,179,laucode
EE_0130,2017,house,ppm2,245,laucode
EE_0130,2018,all,ppm2,279,laucode
EE_0130,2018,flat,ppm2,235,laucode
EE_0130,2018,house,ppm2,306,laucode
EE_0130,2019,all,ppm2,235,laucode
EE_0130,2019,flat,ppm2,182,laucode
EE_0130,2019,house,ppm2,275,laucode
EE_0130,2020,all,ppm2,229,laucode
EE_0130,2020,flat,ppm2,231,laucode
EE_0130,2020,house,ppm2,225,laucode
EE_0130,2021,all,ppm2,294,laucode
EE_0130,2021,flat,ppm2,292,laucode
EE_0130,2021,house,ppm2,291,laucode
EE_0130,2022,all,ppm2,385,laucode
EE_0130,2022,flat,ppm2,277,laucode
EE_0130,2022,house,ppm2,520,laucode
EE_0130,2023,all,ppm2,367,laucode
EE_0130,2023,flat,ppm2,361,laucode
EE_0130,2023,house,ppm2,365,laucode
EE_0130,2024,all,ppm2,341,laucode
EE_0130,2024,flat,ppm2,298,laucode
EE_0130,2024,house,ppm2,405,laucode
