nuts,year,type,indicator,value,level
130,2005,flat,ppm2,126,laucode
130,2006,flat,ppm2,124,laucode
130,2007,flat,ppm2,201,laucode
130,2008,flat,ppm2,156,laucode
130,2009,flat,ppm2,115,laucode
130,2010,flat,ppm2,198,laucode
130,2011,flat,ppm2,157,laucode
130,2012,flat,ppm2,128,laucode
130,2013,flat,ppm2,137,laucode
130,2014,flat,ppm2,169,laucode
130,2015,flat,ppm2,218,laucode
130,2016,flat,ppm2,178,laucode
130,2017,flat,ppm2,179,laucode
130,2018,flat,ppm2,235,laucode
130,2019,flat,ppm2,182,laucode
130,2020,flat,ppm2,231,laucode
130,2021,flat,ppm2,292,laucode
130,2022,flat,ppm2,277,laucode
130,2023,flat,ppm2,361,laucode
130,2024,flat,ppm2,298,laucode
130,2025,flat,ppm2,167,laucode
130,2005,house,ppm2,142,laucode
130,2006,house,ppm2,306,laucode
130,2007,house,ppm2,425,laucode
130,2008,house,ppm2,291,laucode
130,2009,house,ppm2,223,laucode
130,2010,house,ppm2,145,laucode
130,2011,house,ppm2,173,laucode
130,2012,house,ppm2,323,laucode
130,2013,house,ppm2,208,laucode
130,2014,house,ppm2,238,laucode
130,2015,house,ppm2,201,laucode
130,2016,house,ppm2,232,laucode
130,2017,house,ppm2,245,laucode
130,2018,house,ppm2,306,laucode
130,2019,house,ppm2,275,laucode
130,2020,house,ppm2,225,laucode
130,2021,house,ppm2,291,laucode
130,2022,house,ppm2,520,laucode
130,2023,house,ppm2,365,laucode
130,2024,house,ppm2,405,laucode
130,2025,house,ppm2,441,laucode
130,2005,all,ppm2,137,laucode
130,2006,all,ppm2,249,laucode
130,2007,all,ppm2,349,laucode
130,2008,all,ppm2,221,laucode
130,2009,all,ppm2,161,laucode
130,2010,all,ppm2,172,laucode
130,2011,all,ppm2,168,laucode
130,2012,all,ppm2,208,laucode
130,2013,all,ppm2,174,laucode
130,2014,all,ppm2,218,laucode
130,2015,all,ppm2,209,laucode
130,2016,all,ppm2,213,laucode
130,2017,all,ppm2,219,laucode
130,2018,all,ppm2,279,laucode
130,2019,all,ppm2,235,laucode
130,2020,all,ppm2,229,laucode
130,2021,all,ppm2,294,laucode
130,2022,all,ppm2,385,laucode
130,2023,all,ppm2,367,laucode
130,2024,all,ppm2,341,laucode
130,2025,all,ppm2,333,laucode
141,2005,flat,ppm2,175,laucode
141,2006,flat,ppm2,361,laucode
141,2007,flat,ppm2,542,laucode
141,2008,flat,ppm2,438,laucode
141,2009,flat,ppm2,230,laucode
141,2010,flat,ppm2,216,laucode
141,2011,flat,ppm2,194,laucode
141,2012,flat,ppm2,203,laucode
141,2013,flat,ppm2,260,laucode
141,2014,flat,ppm2,298,laucode
141,2015,flat,ppm2,348,laucode
141,2016,flat,ppm2,401,laucode
141,2017,flat,ppm2,420,laucode
141,2018,flat,ppm2,477,laucode
141,2019,flat,ppm2,488,laucode
141,2020,flat,ppm2,546,laucode
141,2021,flat,ppm2,684,laucode
141,2022,flat,ppm2,864,laucode
141,2023,flat,ppm2,1006,laucode
141,2024,flat,ppm2,1090,laucode
141,2025,flat,ppm2,1033,laucode
141,2005,house,ppm2,380,laucode
141,2006,house,ppm2,479,laucode
141,2007,house,ppm2,645,laucode
141,2008,house,ppm2,648,laucode
141,2009,house,ppm2,350,laucode
141,2010,house,ppm2,469,laucode
141,2011,house,ppm2,470,laucode
141,2012,house,ppm2,510,laucode
141,2013,house,ppm2,417,laucode
141,2014,house,ppm2,517,laucode
141,2015,house,ppm2,604,laucode
141,2016,house,ppm2,562,laucode
141,2017,house,ppm2,508,laucode
141,2018,house,ppm2,608,laucode
141,2019,house,ppm2,727,laucode
141,2020,house,ppm2,679,laucode
141,2021,house,ppm2,902,laucode
141,2022,house,ppm2,978,laucode
141,2023,house,ppm2,1224,laucode
141,2024,house,ppm2,1288,laucode
141,2025,house,ppm2,1176,laucode
141,2005,all,ppm2,209,laucode
141,2006,all,ppm2,385,laucode
141,2007,all,ppm2,569,laucode
141,2008,all,ppm2,483,laucode
141,2009,all,ppm2,270,laucode
141,2010,all,ppm2,281,laucode
141,2011,all,ppm2,273,laucode
141,2012,all,ppm2,275,laucode
141,2013,all,ppm2,305,laucode
141,2014,all,ppm2,354,laucode
141,2015,all,ppm2,401,laucode
141,2016,all,ppm2,441,laucode
141,2017,all,ppm2,443,laucode
141,2018,all,ppm2,510,laucode
141,2019,all,ppm2,539,laucode
141,2020,all,ppm2,583,laucode
141,2021,all,ppm2,736,laucode
141,2022,all,ppm2,899,laucode
141,2023,all,ppm2,1069,laucode
141,2024,all,ppm2,1142,laucode
141,2025,all,ppm2,1078,laucode
142,2005,flat,ppm2,51,laucode
142,2006,flat,ppm2,82,laucode
142,2007,flat,ppm2,117,laucode
142,2008,flat,ppm2,127,laucode
142,2009,flat,ppm2,112,laucode
142,2010,flat,ppm2,102,laucode
142,2011,flat,ppm2,87,laucode
142,2012,flat,ppm2,90,laucode
142,2013,flat,ppm2,76,laucode
142,2014,flat,ppm2,85,laucode
142,2015,flat,ppm2,96,laucode
142,2016,flat,ppm2,112,laucode
142,2017,flat,ppm2,140,laucode
142,2018,flat,ppm2,97,laucode
142,2019,flat,ppm2,120,laucode
142,2020,flat,ppm2,109,laucode
142,2021,flat,ppm2,125,laucode
142,2022,flat,ppm2,229,laucode
142,2023,flat,ppm2,269,laucode
142,2024,flat,ppm2,274,laucode
142,2025,flat,ppm2,377,laucode
142,2005,house,ppm2,192,laucode
142,2006,house,ppm2,196,laucode
142,2007,house,ppm2,328,laucode
142,2008,house,ppm2,364,laucode
142,2009,house,ppm2,248,laucode
142,2010,house,ppm2,282,laucode
142,2011,house,ppm2,321,laucode
142,2012,house,ppm2,313,laucode
142,2013,house,ppm2,290,laucode
142,2014,house,ppm2,241,laucode
142,2015,house,ppm2,265,laucode
142,2016,house,ppm2,191,laucode
142,2017,house,ppm2,230,laucode
142,2018,house,ppm2,233,laucode
142,2019,house,ppm2,308,laucode
142,2020,house,ppm2,290,laucode
142,2021,house,ppm2,496,laucode
142,2022,house,ppm2,380,laucode
142,2023,house,ppm2,518,laucode
142,2024,house,ppm2,587,laucode
142,2025,house,ppm2,865,laucode
142,2005,all,ppm2,112,laucode
142,2006,all,ppm2,105,laucode
142,2007,all,ppm2,169,laucode
142,2008,all,ppm2,171,laucode
142,2009,all,ppm2,146,laucode
142,2010,all,ppm2,113,laucode
142,2011,all,ppm2,157,laucode
142,2012,all,ppm2,147,laucode
142,2013,all,ppm2,139,laucode
142,2014,all,ppm2,122,laucode
142,2015,all,ppm2,119,laucode
142,2016,all,ppm2,127,laucode
142,2017,all,ppm2,153,laucode
142,2018,all,ppm2,123,laucode
142,2019,all,ppm2,155,laucode
142,2020,all,ppm2,140,laucode
142,2021,all,ppm2,196,laucode
142,2022,all,ppm2,245,laucode
142,2023,all,ppm2,325,laucode
142,2024,all,ppm2,328,laucode
142,2025,all,ppm2,474,laucode
171,2005,flat,ppm2,249,laucode
171,2006,flat,ppm2,436,laucode
171,2007,flat,ppm2,500,laucode
171,2008,flat,ppm2,460,laucode
171,2009,flat,ppm2,214,laucode
171,2010,flat,ppm2,292,laucode
171,2011,flat,ppm2,327,laucode
171,2012,flat,ppm2,294,laucode
171,2013,flat,ppm2,311,laucode
171,2014,flat,ppm2,361,laucode
171,2015,flat,ppm2,390,laucode
171,2016,flat,ppm2,419,laucode
171,2017,flat,ppm2,426,laucode
171,2018,flat,ppm2,473,laucode
171,2019,flat,ppm2,547,laucode
171,2020,flat,ppm2,567,laucode
171,2021,flat,ppm2,650,laucode
171,2022,flat,ppm2,818,laucode
171,2023,flat,ppm2,919,laucode
171,2024,flat,ppm2,996,laucode
171,2025,flat,ppm2,984,laucode
171,2005,house,ppm2,320,laucode
171,2006,house,ppm2,574,laucode
171,2007,house,ppm2,628,laucode
171,2008,house,ppm2,590,laucode
171,2009,house,ppm2,297,laucode
171,2010,house,ppm2,534,laucode
171,2011,house,ppm2,423,laucode
171,2012,house,ppm2,465,laucode
171,2013,house,ppm2,466,laucode
171,2014,house,ppm2,440,laucode
171,2015,house,ppm2,456,laucode
171,2016,house,ppm2,547,laucode
171,2017,house,ppm2,531,laucode
171,2018,house,ppm2,646,laucode
171,2019,house,ppm2,647,laucode
171,2020,house,ppm2,812,laucode
171,2021,house,ppm2,725,laucode
171,2022,house,ppm2,869,laucode
171,2023,house,ppm2,1188,laucode
171,2024,house,ppm2,1337,laucode
171,2025,house,ppm2,1264,laucode
171,2005,all,ppm2,268,laucode
171,2006,all,ppm2,465,laucode
171,2007,all,ppm2,532,laucode
171,2008,all,ppm2,491,laucode
171,2009,all,ppm2,238,laucode
171,2010,all,ppm2,355,laucode
171,2011,all,ppm2,358,laucode
171,2012,all,ppm2,344,laucode
171,2013,all,ppm2,359,laucode
171,2014,all,ppm2,379,laucode
171,2015,all,ppm2,406,laucode
171,2016,all,ppm2,451,laucode
171,2017,all,ppm2,450,laucode
171,2018,all,ppm2,520,laucode
171,2019,all,ppm2,572,laucode
171,2020,all,ppm2,638,laucode
171,2021,all,ppm2,667,laucode
171,2022,all,ppm2,827,laucode
171,2023,all,ppm2,981,laucode
171,2024,all,ppm2,1086,laucode
171,2025,all,ppm2,1059,laucode
184,2005,flat,ppm2,400,laucode
184,2006,flat,ppm2,666,laucode
184,2007,flat,ppm2,797,laucode
184,2008,flat,ppm2,760,laucode
184,2009,flat,ppm2,503,laucode
184,2010,flat,ppm2,477,laucode
184,2011,flat,ppm2,474,laucode
184,2012,flat,ppm2,461,laucode
184,2013,flat,ppm2,574,laucode
184,2014,flat,ppm2,536,laucode
184,2015,flat,ppm2,575,laucode
184,2016,flat,ppm2,604,laucode
184,2017,flat,ppm2,686,laucode
184,2018,flat,ppm2,742,laucode
184,2019,flat,ppm2,796,laucode
184,2020,flat,ppm2,896,laucode
184,2021,flat,ppm2,1074,laucode
184,2022,flat,ppm2,1370,laucode
184,2023,flat,ppm2,1723,laucode
184,2024,flat,ppm2,1727,laucode
184,2025,flat,ppm2,1731,laucode
184,2005,house,ppm2,456,laucode
184,2006,house,ppm2,575,laucode
184,2007,house,ppm2,826,laucode
184,2008,house,ppm2,896,laucode
184,2009,house,ppm2,589,laucode
184,2010,house,ppm2,567,laucode
184,2011,house,ppm2,578,laucode
184,2012,house,ppm2,621,laucode
184,2013,house,ppm2,631,laucode
184,2014,house,ppm2,636,laucode
184,2015,house,ppm2,673,laucode
184,2016,house,ppm2,673,laucode
184,2017,house,ppm2,766,laucode
184,2018,house,ppm2,679,laucode
184,2019,house,ppm2,857,laucode
184,2020,house,ppm2,805,laucode
184,2021,house,ppm2,986,laucode
