laucode,year,nuts,indicator,value,type
130,2005,EE00A,ppm2,126,flat
130,2006,EE00A,ppm2,124,flat
130,2007,EE00A,ppm2,201,flat
130,2008,EE00A,ppm2,156,flat
130,2009,EE00A,ppm2,115,flat
130,2010,EE00A,ppm2,198,flat
130,2011,EE00A,ppm2,157,flat
130,2012,EE00A,ppm2,128,flat
130,2013,EE00A,ppm2,137,flat
130,2014,EE00A,ppm2,169,flat
130,2015,EE00A,ppm2,218,flat
130,2016,EE00A,ppm2,178,flat
130,2017,EE00A,ppm2,179,flat
130,2018,EE00A,ppm2,235,flat
130,2019,EE00A,ppm2,182,flat
130,2020,EE00A,ppm2,231,flat
130,2021,EE00A,ppm2,292,flat
130,2022,EE00A,ppm2,277,flat
130,2023,EE00A,ppm2,361,flat
130,2024,EE00A,ppm2,298,flat
130,2025,EE00A,ppm2,167,flat
141,2005,EE001,ppm2,175,flat
141,2006,EE001,ppm2,361,flat
141,2007,EE001,ppm2,542,flat
141,2008,EE001,ppm2,438,flat
141,2009,EE001,ppm2,230,flat
141,2010,EE001,ppm2,216,flat
141,2011,EE001,ppm2,194,flat
141,2012,EE001,ppm2,203,flat
141,2013,EE001,ppm2,260,flat
141,2014,EE001,ppm2,298,flat
141,2015,EE001,ppm2,348,flat
141,2016,EE001,ppm2,401,flat
141,2017,EE001,ppm2,420,flat
141,2018,EE001,ppm2,477,flat
141,2019,EE001,ppm2,488,flat
141,2020,EE001,ppm2,546,flat
141,2021,EE001,ppm2,684,flat
141,2022,EE001,ppm2,864,flat
141,2023,EE001,ppm2,1006,flat
141,2024,EE001,ppm2,1090,flat
141,2025,EE001,ppm2,1033,flat
142,2005,EE008,ppm2,51,flat
142,2006,EE008,ppm2,82,flat
142,2007,EE008,ppm2,117,flat
142,2008,EE008,ppm2,127,flat
142,2009,EE008,ppm2,112,flat
142,2010,EE008,ppm2,102,flat
142,2011,EE008,ppm2,87,flat
142,2012,EE008,ppm2,90,flat
142,2013,EE008,ppm2,76,flat
142,2014,EE008,ppm2,85,flat
142,2015,EE008,ppm2,96,flat
142,2016,EE008,ppm2,112,flat
142,2017,EE008,ppm2,140,flat
142,2018,EE008,ppm2,97,flat
142,2019,EE008,ppm2,120,flat
142,2020,EE008,ppm2,109,flat
142,2021,EE008,ppm2,125,flat
142,2022,EE008,ppm2,229,flat
142,2023,EE008,ppm2,269,flat
142,2024,EE008,ppm2,274,flat
142,2025,EE008,ppm2,377,flat
171,2005,EE008,ppm2,249,flat
171,2006,EE008,ppm2,436,flat
171,2007,EE008,ppm2,500,flat
171,2008,EE008,ppm2,460,flat
171,2009,EE008,ppm2,214,flat
171,2010,EE008,ppm2,292,flat
171,2011,EE008,ppm2,327,flat
171,2012,EE008,ppm2,294,flat
171,2013,EE008,ppm2,311,flat
171,2014,EE008,ppm2,361,flat
171,2015,EE008,ppm2,390,flat
171,2016,EE008,ppm2,419,flat
171,2017,EE008,ppm2,426,flat
171,2018,EE008,ppm2,473,flat
171,2019,EE008,ppm2,547,flat
171,2020,EE008,ppm2,567,flat
171,2021,EE008,ppm2,650,flat
171,2022,EE008,ppm2,818,flat
171,2023,EE008,ppm2,919,flat
171,2024,EE008,ppm2,996,flat
171,2025,EE008,ppm2,984,flat
184,2005,EE004,ppm2,400,flat
184,2006,EE004,ppm2,666,flat
184,2007,EE004,ppm2,797,flat
184,2008,EE004,ppm2,760,flat
184,2009,EE004,ppm2,503,flat
184,2010,EE004,ppm2,477,flat
184,2011,EE004,ppm2,474,flat
184,2012,EE004,ppm2,461,flat
184,2013,EE004,ppm2,574,flat
184,2014,EE004,ppm2,536,flat
184,2015,EE004,ppm2,575,flat
184,2016,EE004,ppm2,604,flat
184,2017,EE004,ppm2,686,flat
184,2018,EE004,ppm2,742,flat
184,2019,EE004,ppm2,796,flat
184,2020,EE004,ppm2,896,flat
184,2021,EE004,ppm2,1074,flat
184,2022,EE004,ppm2,1370,flat
184,2023,EE004,ppm2,1723,flat
184,2024,EE004,ppm2,1727,flat
184,2025,EE004,ppm2,1731,flat
191,2005,EE009,ppm2,240,flat
191,2006,EE009,ppm2,443,flat
191,2007,EE009,ppm2,590,flat
191,2008,EE009,ppm2,485,flat
191,2009,EE009,ppm2,407,flat
191,2010,EE009,ppm2,410,flat
191,2011,EE009,ppm2,276,flat
191,2012,EE009,ppm2,328,flat
191,2013,EE009,ppm2,279,flat
191,2014,EE009,ppm2,286,flat
191,2015,EE009,ppm2,293,flat
191,2016,EE009,ppm2,325,flat
191,2017,EE009,ppm2,317,flat
191,2018,EE009,ppm2,384,flat
191,2019,EE009,ppm2,430,flat
191,2020,EE009,ppm2,436,flat
191,2021,EE009,ppm2,411,flat
191,2022,EE009,ppm2,603,flat
191,2023,EE009,ppm2,538,flat
191,2024,EE009,ppm2,740,flat
191,2025,EE009,ppm2,825,flat
198,2005,EE001,ppm2,793,flat
198,2006,EE001,ppm2,1172,flat
198,2007,EE001,ppm2,1382,flat
198,2008,EE001,ppm2,1242,flat
198,2009,EE001,ppm2,822,flat
198,2010,EE001,ppm2,774,flat
198,2011,EE001,ppm2,844,flat
198,2012,EE001,ppm2,888,flat
198,2013,EE001,ppm2,980,flat
198,2014,EE001,ppm2,1083,flat
198,2015,EE001,ppm2,1203,flat
198,2016,EE001,ppm2,1275,flat
198,2017,EE001,ppm2,1360,flat
198,2018,EE001,ppm2,1435,flat
198,2019,EE001,ppm2,1473,flat
198,2020,EE001,ppm2,1676,flat
198,2021,EE001,ppm2,1969,flat
198,2022,EE001,ppm2,2284,flat
198,2023,EE001,ppm2,2658,flat
198,2024,EE001,ppm2,2825,flat
198,2025,EE001,ppm2,2876,flat
205,2005,EE004,ppm2,213,flat
205,2006,EE004,ppm2,285,flat
205,2007,EE004,ppm2,393,flat
205,2008,EE004,ppm2,423,flat
205,2009,EE004,ppm2,309,flat
205,2010,EE004,ppm2,263,flat
205,2011,EE004,ppm2,308,flat
205,2012,EE004,ppm2,278,flat
205,2013,EE004,ppm2,280,flat
205,2014,EE004,ppm2,304,flat
205,2015,EE004,ppm2,350,flat
205,2016,EE004,ppm2,323,flat
205,2017,EE004,ppm2,388,flat
205,2018,EE004,ppm2,347,flat
205,2019,EE004,ppm2,438,flat
205,2020,EE004,ppm2,443,flat
205,2021,EE004,ppm2,513,flat
205,2022,EE004,ppm2,718,flat
205,2023,EE004,ppm2,712,flat
205,2024,EE004,ppm2,804,flat
205,2025,EE004,ppm2,878,flat
214,2005,EE004,ppm2,208,flat
214,2006,EE004,ppm2,320,flat
214,2007,EE004,ppm2,384,flat
214,2008,EE004,ppm2,389,flat
214,2009,EE004,ppm2,258,flat
214,2010,EE004,ppm2,159,flat
214,2011,EE004,ppm2,203,flat
214,2012,EE004,ppm2,282,flat
214,2013,EE004,ppm2,281,flat
214,2014,EE004,ppm2,284,flat
214,2015,EE004,ppm2,272,flat
214,2016,EE004,ppm2,329,flat
214,2017,EE004,ppm2,326,flat
214,2018,EE004,ppm2,346,flat
214,2019,EE004,ppm2,407,flat
214,2020,EE004,ppm2,316,flat
214,2021,EE004,ppm2,458,flat
214,2022,EE004,ppm2,563,flat
214,2023,EE004,ppm2,674,flat
214,2024,EE004,ppm2,676,flat
214,2025,EE004,ppm2,762,flat
245,2005,EE001,ppm2,588,flat
245,2006,EE001,ppm2,885,flat
245,2007,EE001,ppm2,1045,flat
245,2008,EE001,ppm2,964,flat
245,2009,EE001,ppm2,520,flat
245,2010,EE001,ppm2,603,flat
245,2011,EE001,ppm2,571,flat
245,2012,EE001,ppm2,600,flat
245,2013,EE001,ppm2,704,flat
245,2014,EE001,ppm2,823,flat
245,2015,EE001,ppm2,904,flat
245,2016,EE001,ppm2,1107,flat
245,2017,EE001,ppm2,1174,flat
245,2018,EE001,ppm2,1321,flat
245,2019,EE001,ppm2,1334,flat
245,2020,EE001,ppm2,1541,flat
245,2021,EE001,ppm2,1765,flat
245,2022,EE001,ppm2,2255,flat
245,2023,EE001,ppm2,2400,flat
245,2024,EE001,ppm2,2298,flat
245,2025,EE001,ppm2,2532,flat
247,2005,EE008,ppm2,97,flat
247,2006,EE008,ppm2,155,flat
247,2007,EE008,ppm2,221,flat
247,2008,EE008,ppm2,221,flat
247,2009,EE008,ppm2,141,flat
