"nuts","year","variable","nuts2021","nuts2016","value","type"
130,2007,"ppm2_offer","EE00A","EE007",881.431017731988,"all"
130,2008,"ppm2_offer","EE00A","EE007",847.529824742296,"all"
130,2009,"ppm2_offer","EE00A","EE007",753.017407922549,"all"
130,2010,"ppm2_offer","EE00A","EE007",704.7338906342,"all"
130,2011,"ppm2_offer","EE00A","EE007",635.904195776341,"all"
130,2012,"ppm2_offer","EE00A","EE007",478.725937369588,"all"
130,2013,"ppm2_offer","EE00A","EE007",505.435968209951,"all"
130,2014,"ppm2_offer","EE00A","EE007",522.900219144035,"all"
130,2015,"ppm2_offer","EE00A","EE007",352.023419095192,"all"
130,2016,"ppm2_offer","EE00A","EE007",342.395998607064,"all"
130,2017,"ppm2_offer","EE00A","EE007",321.952988951659,"all"
130,2018,"ppm2_offer","EE00A","EE007",296.54355638988,"all"
130,2019,"ppm2_offer","EE00A","EE007",391.290200222292,"all"
130,2020,"ppm2_offer","EE00A","EE007",447.840850794263,"all"
130,2021,"ppm2_offer","EE00A","EE007",471.130013286497,"all"
130,2022,"ppm2_offer","EE00A","EE007",491.191900721205,"all"
130,2023,"ppm2_offer","EE00A","EE007",662.725937369587,"all"
130,2024,"ppm2_offer","EE00A","EE007",776.26566306781,"all"
130,2025,"ppm2_offer","EE00A","EE007",787.32549507656,"all"
141,2007,"ppm2_offer","EE001","EE001",632.002380682633,"all"
141,2008,"ppm2_offer","EE001","EE001",599.609148015566,"all"
141,2009,"ppm2_offer","EE001","EE001",404.389621322797,"all"
141,2010,"ppm2_offer","EE001","EE001",369.759439163357,"all"
141,2011,"ppm2_offer","EE001","EE001",375.085943169252,"all"
141,2012,"ppm2_offer","EE001","EE001",357.868434923382,"all"
141,2013,"ppm2_offer","EE001","EE001",390.602720478939,"all"
141,2014,"ppm2_offer","EE001","EE001",417.053962954295,"all"
141,2015,"ppm2_offer","EE001","EE001",443.639156715951,"all"
141,2016,"ppm2_offer","EE001","EE001",455.371839699682,"all"
141,2017,"ppm2_offer","EE001","EE001",552.096270301742,"all"
141,2018,"ppm2_offer","EE001","EE001",642.185173047704,"all"
141,2019,"ppm2_offer","EE001","EE001",695.338655640262,"all"
141,2020,"ppm2_offer","EE001","EE001",920.293009752934,"all"
141,2021,"ppm2_offer","EE001","EE001",957.221646679641,"all"
141,2022,"ppm2_offer","EE001","EE001",1193.9385465047,"all"
141,2023,"ppm2_offer","EE001","EE001",1389.48200861282,"all"
141,2024,"ppm2_offer","EE001","EE001",1424.53847172238,"all"
141,2025,"ppm2_offer","EE001","EE001",1401.42554550327,"all"
142,2007,"ppm2_offer","EE008","EE008",200.726140997643,"all"
142,2008,"ppm2_offer","EE008","EE008",337.922993089387,"all"
142,2009,"ppm2_offer","EE008","EE008",238.192660265883,"all"
142,2010,"ppm2_offer","EE008","EE008",203.792170650237,"all"
142,2011,"ppm2_offer","EE008","EE008",186.312569122727,"all"
142,2012,"ppm2_offer","EE008","EE008",192.096769601714,"all"
142,2013,"ppm2_offer","EE008","EE008",195.029392170524,"all"
142,2014,"ppm2_offer","EE008","EE008",209.02171635515,"all"
142,2015,"ppm2_offer","EE008","EE008",222.391279665311,"all"
142,2016,"ppm2_offer","EE008","EE008",212.39743445075,"all"
142,2017,"ppm2_offer","EE008","EE008",226.221157670164,"all"
142,2018,"ppm2_offer","EE008","EE008",242.380228957369,"all"
142,2019,"ppm2_offer","EE008","EE008",240.586232458396,"all"
142,2020,"ppm2_offer","EE008","EE008",309.532719757976,"all"
142,2021,"ppm2_offer","EE008","EE008",336.987289218447,"all"
142,2022,"ppm2_offer","EE008","EE008",377.96490700129,"all"
142,2023,"ppm2_offer","EE008","EE008",456.88253222973,"all"
142,2024,"ppm2_offer","EE008","EE008",412.240121169488,"all"
142,2025,"ppm2_offer","EE008","EE008",440.977127227962,"all"
171,2007,"ppm2_offer","EE008","EE008",612.444126688059,"all"
171,2008,"ppm2_offer","EE008","EE008",589.448857533283,"all"
171,2009,"ppm2_offer","EE008","EE008",441.802070196254,"all"
171,2010,"ppm2_offer","EE008","EE008",403.111604632674,"all"
171,2011,"ppm2_offer","EE008","EE008",402.481890947513,"all"
171,2012,"ppm2_offer","EE008","EE008",390.424031904422,"all"
171,2013,"ppm2_offer","EE008","EE008",402.290834285783,"all"
