"municipality","year","type_of_building","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"alutaguse vald","2000","Area of dwelling total",6222,"EE00A","EE007",130
"alutaguse vald","2011","Area of dwelling total",4560,"EE00A","EE007",130
"alutaguse vald","2021","Area of dwelling total",6298,"EE00A","EE007",130
"alutaguse vald","2000","Less than 30 m²",212,"EE00A","EE007",130
"alutaguse vald","2011","Less than 30 m²",88,"EE00A","EE007",130
"alutaguse vald","2021","Less than 30 m²",152,"EE00A","EE007",130
"alutaguse vald","2000","30-39 m²",468,"EE00A","EE007",130
"alutaguse vald","2011","30-39 m²",306,"EE00A","EE007",130
"alutaguse vald","2021","30-39 m²",422,"EE00A","EE007",130
"alutaguse vald","2000","40-49 m²",994,"EE00A","EE007",130
"alutaguse vald","2011","40-49 m²",702,"EE00A","EE007",130
"alutaguse vald","2021","40-49 m²",926,"EE00A","EE007",130
"alutaguse vald","2000","50-59 m²",822,"EE00A","EE007",130
"alutaguse vald","2011","50-59 m²",574,"EE00A","EE007",130
"alutaguse vald","2021","50-59 m²",768,"EE00A","EE007",130
"alutaguse vald","2000","60-69 m²",966,"EE00A","EE007",130
"alutaguse vald","2011","60-69 m²",684,"EE00A","EE007",130
"alutaguse vald","2021","60-69 m²",910,"EE00A","EE007",130
"alutaguse vald","2000","70-79 m²",700,"EE00A","EE007",130
"alutaguse vald","2011","70-79 m²",504,"EE00A","EE007",130
"alutaguse vald","2021","70-79 m²",720,"EE00A","EE007",130
"alutaguse vald","2000","80-99 m²",818,"EE00A","EE007",130
"alutaguse vald","2011","80-99 m²",622,"EE00A","EE007",130
"alutaguse vald","2021","80-99 m²",870,"EE00A","EE007",130
"alutaguse vald","2000","100-119 m²",442,"EE00A","EE007",130
"alutaguse vald","2011","100-119 m²",418,"EE00A","EE007",130
"alutaguse vald","2021","100-119 m²",580,"EE00A","EE007",130
"alutaguse vald","2000","120-149 m²",296,"EE00A","EE007",130
