"nuts","year","type","indicator","level","value"
"130",2000,"all","dwellings","laucode",3111
"130",2001,"all","dwellings","laucode",3031
"130",2002,"all","dwellings","laucode",2951
"130",2003,"all","dwellings","laucode",2871
"130",2004,"all","dwellings","laucode",2907
"130",2005,"all","dwellings","laucode",2937
"130",2006,"all","dwellings","laucode",3505
"130",2007,"all","dwellings","laucode",3513
"130",2008,"all","dwellings","laucode",3204.75
"130",2009,"all","dwellings","laucode",2896.5
"130",2010,"all","dwellings","laucode",2588.25
"130",2011,"all","dwellings","laucode",2280
"130",2012,"all","dwellings","laucode",2366.9
"130",2013,"all","dwellings","laucode",2453.8
"130",2014,"all","dwellings","laucode",2540.7
"130",2015,"all","dwellings","laucode",2627.6
"130",2016,"all","dwellings","laucode",2714.5
"130",2017,"all","dwellings","laucode",2801.4
"130",2018,"all","dwellings","laucode",2888.3
"130",2019,"all","dwellings","laucode",2975.2
"130",2020,"all","dwellings","laucode",3062.1
"130",2021,"all","dwellings","laucode",3149
"130",2000,"flat","dwellings","laucode",984
"130",2001,"flat","dwellings","laucode",958.696239151398
"130",2002,"flat","dwellings","laucode",933.392478302797
"130",2003,"flat","dwellings","laucode",908.088717454195
"130",2004,"flat","dwellings","laucode",919.475409836066
"130",2005,"flat","dwellings","laucode",928.964320154291
"130",2006,"flat","dwellings","laucode",1291.31578947369
"130",2007,"flat","dwellings","laucode",1294.26315789474
"130",2008,"flat","dwellings","laucode",1180.69736842105
"130",2009,"flat","dwellings","laucode",1067.13157894737
"130",2010,"flat","dwellings","laucode",953.565789473684
"130",2011,"flat","dwellings","laucode",840
"130",2012,"flat","dwellings","laucode",845.4
"130",2013,"flat","dwellings","laucode",850.8
"130",2014,"flat","dwellings","laucode",856.2
"130",2015,"flat","dwellings","laucode",861.6
"130",2016,"flat","dwellings","laucode",867
"130",2017,"flat","dwellings","laucode",872.4
"130",2018,"flat","dwellings","laucode",877.8
"130",2019,"flat","dwellings","laucode",883.2
"130",2020,"flat","dwellings","laucode",888.6
"130",2021,"flat","dwellings","laucode",894
"130",2000,"house","dwellings","laucode",2046
"130",2001,"house","dwellings","laucode",1993.38669238187
"130",2002,"house","dwellings","laucode",1940.77338476374
"130",2003,"house","dwellings","laucode",1888.16007714561
"130",2004,"house","dwellings","laucode",1911.83606557377
"130",2005,"house","dwellings","laucode",1931.56605593057
"130",2006,"house","dwellings","laucode",2205.99780701754
"130",2007,"house","dwellings","laucode",2211.03289473684
"130",2008,"house","dwellings","laucode",2017.02467105263
"130",2009,"house","dwellings","laucode",1823.01644736842
"130",2010,"house","dwellings","laucode",1629.00822368421
"130",2011,"house","dwellings","laucode",1435
"130",2012,"house","dwellings","laucode",1513.9
"130",2013,"house","dwellings","laucode",1592.8
"130",2014,"house","dwellings","laucode",1671.7
"130",2015,"house","dwellings","laucode",1750.6
"130",2016,"house","dwellings","laucode",1829.5
"130",2017,"house","dwellings","laucode",1908.4
"130",2018,"house","dwellings","laucode",1987.3
"130",2019,"house","dwellings","laucode",2066.2
"130",2020,"house","dwellings","laucode",2145.1
"130",2021,"house","dwellings","laucode",2224
"141",2000,"all","dwellings","laucode",3524
"141",2001,"all","dwellings","laucode",3465.33333333333
"141",2002,"all","dwellings","laucode",3406.66666666667
"141",2003,"all","dwellings","laucode",3348
"141",2004,"all","dwellings","laucode",3438
"141",2005,"all","dwellings","laucode",3459
"141",2006,"all","dwellings","laucode",3620
"141",2007,"all","dwellings","laucode",3624
"141",2008,"all","dwellings","laucode",3575.5
"141",2009,"all","dwellings","laucode",3527
"141",2010,"all","dwellings","laucode",3478.5
"141",2011,"all","dwellings","laucode",3430
"141",2012,"all","dwellings","laucode",3450.3
"141",2013,"all","dwellings","laucode",3470.6
"141",2014,"all","dwellings","laucode",3490.9
"141",2015,"all","dwellings","laucode",3511.2
"141",2016,"all","dwellings","laucode",3531.5
"141",2017,"all","dwellings","laucode",3551.8
"141",2018,"all","dwellings","laucode",3572.1
"141",2019,"all","dwellings","laucode",3592.4
"141",2020,"all","dwellings","laucode",3612.7
"141",2021,"all","dwellings","laucode",3633
"141",2000,"flat","dwellings","laucode",1958
"141",2001,"flat","dwellings","laucode",1925.40370790768
"141",2002,"flat","dwellings","laucode",1892.80741581536
"141",2003,"flat","dwellings","laucode",1860.21112372304
"141",2004,"flat","dwellings","laucode",1910.21679909194
"141",2005,"flat","dwellings","laucode",1921.88479001135
"141",2006,"flat","dwellings","laucode",2081.2361516035
"141",2007,"flat","dwellings","laucode",2083.53586005831
"141",2008,"flat","dwellings","laucode",2055.65189504373
"141",2009,"flat","dwellings","laucode",2027.76793002915
"141",2010,"flat","dwellings","laucode",1999.88396501458
"141",2011,"flat","dwellings","laucode",1972
"141",2012,"flat","dwellings","laucode",1967.6
"141",2013,"flat","dwellings","laucode",1963.2
"141",2014,"flat","dwellings","laucode",1958.8
"141",2015,"flat","dwellings","laucode",1954.4
"141",2016,"flat","dwellings","laucode",1950
"141",2017,"flat","dwellings","laucode",1945.6
"141",2018,"flat","dwellings","laucode",1941.2
"141",2019,"flat","dwellings","laucode",1936.8
"141",2020,"flat","dwellings","laucode",1932.4
"141",2021,"flat","dwellings","laucode",1928
"141",2000,"house","dwellings","laucode",1503
"141",2001,"house","dwellings","laucode",1477.97843359818
"141",2002,"house","dwellings","laucode",1452.95686719636
"141",2003,"house","dwellings","laucode",1427.93530079455
"141",2004,"house","dwellings","laucode",1466.3206583428
"141",2005,"house","dwellings","laucode",1475.27724177071
"141",2006,"house","dwellings","laucode",1532.43148688047
"141",2007,"house","dwellings","laucode",1534.12478134111
"141",2008,"house","dwellings","laucode",1513.59358600583
"141",2009,"house","dwellings","laucode",1493.06239067055
"141",2010,"house","dwellings","laucode",1472.53119533528
"141",2011,"house","dwellings","laucode",1452
"141",2012,"house","dwellings","laucode",1474.3
"141",2013,"house","dwellings","laucode",1496.6
"141",2014,"house","dwellings","laucode",1518.9
"141",2015,"house","dwellings","laucode",1541.2
"141",2016,"house","dwellings","laucode",1563.5
"141",2017,"house","dwellings","laucode",1585.8
"141",2018,"house","dwellings","laucode",1608.1
"141",2019,"house","dwellings","laucode",1630.4
"141",2020,"house","dwellings","laucode",1652.7
"141",2021,"house","dwellings","laucode",1675
"142",2000,"all","dwellings","laucode",2676
"142",2001,"all","dwellings","laucode",2629
"142",2002,"all","dwellings","laucode",2582
"142",2003,"all","dwellings","laucode",2535
"142",2004,"all","dwellings","laucode",2549
"142",2005,"all","dwellings","laucode",2578
"142",2006,"all","dwellings","laucode",2602
"142",2007,"all","dwellings","laucode",2602
"142",2008,"all","dwellings","laucode",2564.5
"142",2009,"all","dwellings","laucode",2527
"142",2010,"all","dwellings","laucode",2489.5
"142",2011,"all","dwellings","laucode",2452
"142",2012,"all","dwellings","laucode",2473.7
"142",2013,"all","dwellings","laucode",2495.4
"142",2014,"all","dwellings","laucode",2517.1
"142",2015,"all","dwellings","laucode",2538.8
"142",2016,"all","dwellings","laucode",2560.5
"142",2017,"all","dwellings","laucode",2582.2
"142",2018,"all","dwellings","laucode",2603.9
"142",2019,"all","dwellings","laucode",2625.6
"142",2020,"all","dwellings","laucode",2647.3
"142",2021,"all","dwellings","laucode",2669
"142",2000,"flat","dwellings","laucode",878
"142",2001,"flat","dwellings","laucode",862.579222720478
"142",2002,"flat","dwellings","laucode",847.158445440956
"142",2003,"flat","dwellings","laucode",831.737668161434
"142",2004,"flat","dwellings","laucode",836.331091180867
"142",2005,"flat","dwellings","laucode",845.846038863976
"142",2006,"flat","dwellings","laucode",873.346655791191
"142",2007,"flat","dwellings","laucode",873.346655791191
"142",2008,"flat","dwellings","laucode",860.759991843393
"142",2009,"flat","dwellings","laucode",848.173327895596
"142",2010,"flat","dwellings","laucode",835.586663947798
"142",2011,"flat","dwellings","laucode",823
"142",2012,"flat","dwellings","laucode",832.2
"142",2013,"flat","dwellings","laucode",841.4
"142",2014,"flat","dwellings","laucode",850.6
"142",2015,"flat","dwellings","laucode",859.8
"142",2016,"flat","dwellings","laucode",869
"142",2017,"flat","dwellings","laucode",878.2
"142",2018,"flat","dwellings","laucode",887.4
"142",2019,"flat","dwellings","laucode",896.6
"142",2020,"flat","dwellings","laucode",905.8
"142",2021,"flat","dwellings","laucode",915
"142",2000,"house","dwellings","laucode",1729
"142",2001,"house","dwellings","laucode",1698.63266068759
"142",2002,"house","dwellings","laucode",1668.26532137519
"142",2003,"house","dwellings","laucode",1637.89798206278
"142",2004,"house","dwellings","laucode",1646.94357249626
"142",2005,"house","dwellings","laucode",1665.68086696562
"142",2006,"house","dwellings","laucode",1718.04159869495
"142",2007,"house","dwellings","laucode",1718.04159869495
"142",2008,"house","dwellings","laucode",1693.28119902121
"142",2009,"house","dwellings","laucode",1668.52079934747
"142",2010,"house","dwellings","laucode",1643.76039967374
"142",2011,"house","dwellings","laucode",1619
"142",2012,"house","dwellings","laucode",1627.5
"142",2013,"house","dwellings","laucode",1636
"142",2014,"house","dwellings","laucode",1644.5
"142",2015,"house","dwellings","laucode",1653
"142",2016,"house","dwellings","laucode",1661.5
"142",2017,"house","dwellings","laucode",1670
"142",2018,"house","dwellings","laucode",1678.5
"142",2019,"house","dwellings","laucode",1687
"142",2020,"house","dwellings","laucode",1695.5
"142",2021,"house","dwellings","laucode",1704
"171",2000,"all","dwellings","laucode",7572
"171",2001,"all","dwellings","laucode",7558
"171",2002,"all","dwellings","laucode",7544
"171",2003,"all","dwellings","laucode",7530
"171",2004,"all","dwellings","laucode",7628
"171",2005,"all","dwellings","laucode",7787
"171",2006,"all","dwellings","laucode",8063
"171",2007,"all","dwellings","laucode",8089
"171",2008,"all","dwellings","laucode",7807.25
"171",2009,"all","dwellings","laucode",7525.5
"171",2010,"all","dwellings","laucode",7243.75
"171",2011,"all","dwellings","laucode",6962
"171",2012,"all","dwellings","laucode",7054.2
"171",2013,"all","dwellings","laucode",7146.4
"171",2014,"all","dwellings","laucode",7238.6
"171",2015,"all","dwellings","laucode",7330.8
"171",2016,"all","dwellings","laucode",7423
"171",2017,"all","dwellings","laucode",7515.2
"171",2018,"all","dwellings","laucode",7607.4
"171",2019,"all","dwellings","laucode",7699.6
"171",2020,"all","dwellings","laucode",7791.8
"171",2021,"all","dwellings","laucode",7884
"171",2000,"flat","dwellings","laucode",3377
"171",2001,"flat","dwellings","laucode",3370.75620707871
"171",2002,"flat","dwellings","laucode",3364.51241415742
"171",2003,"flat","dwellings","laucode",3358.26862123613
"171",2004,"flat","dwellings","laucode",3401.97517168516
"171",2005,"flat","dwellings","laucode",3472.88681986265
"171",2006,"flat","dwellings","laucode",3828.82476299914
"171",2007,"flat","dwellings","laucode",3841.17121516805
