"nuts","year","indicator","value","level"
"130",2000,"avg_gross_wage",312.350597609562,"laucode"
"130",2001,"avg_gross_wage",363.98406374502,"laucode"
"130",2002,"avg_gross_wage",381.513944223108,"laucode"
"130",2003,"avg_gross_wage",404.143426294821,"laucode"
"130",2004,"avg_gross_wage",440.796812749004,"laucode"
"130",2005,"avg_gross_wage",491.792828685259,"laucode"
"130",2006,"avg_gross_wage",554.900398406375,"laucode"
"130",2007,"avg_gross_wage",681.115537848606,"laucode"
"130",2008,"avg_gross_wage",836.334661354582,"laucode"
"130",2009,"avg_gross_wage",808.605577689243,"laucode"
"130",2010,"avg_gross_wage",837.92828685259,"laucode"
"130",2011,"avg_gross_wage",859.282868525896,"laucode"
"130",2012,"avg_gross_wage",915.378486055777,"laucode"
"130",2013,"avg_gross_wage",997.609561752988,"laucode"
"130",2014,"avg_gross_wage",1029.48207171315,"laucode"
"130",2015,"avg_gross_wage",1089.72111553785,"laucode"
"130",2016,"avg_gross_wage",1139.7609561753,"laucode"
"130",2017,"avg_gross_wage",1262.15139442231,"laucode"
"130",2018,"avg_gross_wage",1344.06374501992,"laucode"
"130",2021,"avg_gross_wage",1547,"laucode"
"130",2022,"avg_gross_wage",1701,"laucode"
"130",2023,"avg_gross_wage",1884,"laucode"
"130",2024,"avg_gross_wage",1988,"laucode"
"141",2000,"avg_gross_wage",342.183644789954,"laucode"
"141",2001,"avg_gross_wage",382.666706533114,"laucode"
"141",2002,"avg_gross_wage",427.673015398415,"laucode"
"141",2003,"avg_gross_wage",466.120615936612,"laucode"
"141",2004,"avg_gross_wage",494.843235162207,"laucode"
"141",2005,"avg_gross_wage",536.909433398116,"laucode"
"141",2006,"avg_gross_wage",622.172641650471,"laucode"
"141",2007,"avg_gross_wage",739.324742113918,"laucode"
"141",2008,"avg_gross_wage",829.337359844521,"laucode"
"141",2009,"avg_gross_wage",796.769980565107,"laucode"
"141",2010,"avg_gross_wage",796.996142921214,"laucode"
"141",2011,"avg_gross_wage",846.525698908656,"laucode"
"141",2012,"avg_gross_wage",896.733741964419,"laucode"
"141",2013,"avg_gross_wage",968.653371206458,"laucode"
"141",2014,"avg_gross_wage",1016.82595305726,"laucode"
"141",2015,"avg_gross_wage",1067.26015846913,"laucode"
"141",2016,"avg_gross_wage",1142.34606069667,"laucode"
"141",2017,"avg_gross_wage",1220.3720735536,"laucode"
"141",2018,"avg_gross_wage",1316.49107489909,"laucode"
"141",2021,"avg_gross_wage",1246,"laucode"
"141",2022,"avg_gross_wage",1397,"laucode"
"141",2023,"avg_gross_wage",1446,"laucode"
"141",2024,"avg_gross_wage",1584,"laucode"
"142",2000,"avg_gross_wage",195.439175084998,"laucode"
"142",2001,"avg_gross_wage",223.295890085801,"laucode"
"142",2002,"avg_gross_wage",265.744217706072,"laucode"
"142",2003,"avg_gross_wage",279.230405127095,"laucode"
"142",2004,"avg_gross_wage",300.454568937231,"laucode"
"142",2005,"avg_gross_wage",352.188468224436,"laucode"
"142",2006,"avg_gross_wage",402.374772233819,"laucode"
"142",2007,"avg_gross_wage",486.608172355294,"laucode"
