"Location","Year","Indicator","dwellings"
"Whole country","2000","Number of dwellings",537907
"Whole country","2000","Number of dwellings for which the number of rooms was recorded",536409
"Whole country","2000","Total number of rooms",1417249
"Whole country","2000","Average number of rooms per inhabitant",1.06
"Whole country","2011","Number of dwellings",544967
"Whole country","2011","Number of dwellings for which the number of rooms was recorded",544578
"Whole country","2011","Total number of rooms",1565348
"Whole country","2011","Average number of rooms per inhabitant",1.24
"Whole country","2021","Number of dwellings",557146
"Whole country","2021","Number of dwellings for which the number of rooms was recorded",551355
"Whole country","2021","Total number of rooms",1559930
"Whole country","2021","Average number of rooms per inhabitant",1.21
"..City settlement region","2000","Number of dwellings",332124
"..City settlement region","2000","Number of dwellings for which the number of rooms was recorded",331094
"..City settlement region","2000","Total number of rooms",807062
"..City settlement region","2000","Average number of rooms per inhabitant",1
"..City settlement region","2011","Number of dwellings",342532
"..City settlement region","2011","Number of dwellings for which the number of rooms was recorded",342350
"..City settlement region","2011","Total number of rooms",883536
"..City settlement region","2011","Average number of rooms per inhabitant",1.16
"..City settlement region","2021","Number of dwellings",345456
"..City settlement region","2021","Number of dwellings for which the number of rooms was recorded",341811
"..City settlement region","2021","Total number of rooms",874983
"..City settlement region","2021","Average number of rooms per inhabitant",1.11
"..Town settlement region","2000","Number of dwellings",32177
"..Town settlement region","2000","Number of dwellings for which the number of rooms was recorded",32081
"..Town settlement region","2000","Total number of rooms",93097
"..Town settlement region","2000","Average number of rooms per inhabitant",1.12
"..Town settlement region","2011","Number of dwellings",41208
"..Town settlement region","2011","Number of dwellings for which the number of rooms was recorded",41185
"..Town settlement region","2011","Total number of rooms",140260
"..Town settlement region","2011","Average number of rooms per inhabitant",1.32
"..Town settlement region","2021","Number of dwellings",45914
"..Town settlement region","2021","Number of dwellings for which the number of rooms was recorded",45580
"..Town settlement region","2021","Total number of rooms",153346
"..Town settlement region","2021","Average number of rooms per inhabitant",1.28
"..Rural settlement region","2000","Number of dwellings",173606
"..Rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",173234
"..Rural settlement region","2000","Total number of rooms",517090
"..Rural settlement region","2000","Average number of rooms per inhabitant",1.17
"..Rural settlement region","2011","Number of dwellings",161227
"..Rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",161043
"..Rural settlement region","2011","Total number of rooms",541552
"..Rural settlement region","2011","Average number of rooms per inhabitant",1.38
"..Rural settlement region","2021","Number of dwellings",165776
"..Rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",163964
"..Rural settlement region","2021","Total number of rooms",531601
"..Rural settlement region","2021","Average number of rooms per inhabitant",1.39
"Northern Estonia","2000","Number of dwellings",205583
"Northern Estonia","2000","Number of dwellings for which the number of rooms was recorded",204642
"Northern Estonia","2000","Total number of rooms",506329
"Northern Estonia","2000","Average number of rooms per inhabitant",0.99
"Northern Estonia","2011","Number of dwellings",232932
"Northern Estonia","2011","Number of dwellings for which the number of rooms was recorded",232753
"Northern Estonia","2011","Total number of rooms",631933
"Northern Estonia","2011","Average number of rooms per inhabitant",1.17
"Northern Estonia","2021","Number of dwellings",249161
"Northern Estonia","2021","Number of dwellings for which the number of rooms was recorded",246224
"Northern Estonia","2021","Total number of rooms",660424
"Northern Estonia","2021","Average number of rooms per inhabitant",1.11
"..Northern Estonia: city settlement region","2000","Number of dwellings",173111
"..Northern Estonia: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",172302
"..Northern Estonia: city settlement region","2000","Total number of rooms",412802
"..Northern Estonia: city settlement region","2000","Average number of rooms per inhabitant",0.97
"..Northern Estonia: city settlement region","2011","Number of dwellings",189857
"..Northern Estonia: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",189732
"..Northern Estonia: city settlement region","2011","Total number of rooms",481422
"..Northern Estonia: city settlement region","2011","Average number of rooms per inhabitant",1.13
"..Northern Estonia: city settlement region","2021","Number of dwellings",200541
"..Northern Estonia: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",198116
"..Northern Estonia: city settlement region","2021","Total number of rooms",498051
"..Northern Estonia: city settlement region","2021","Average number of rooms per inhabitant",1.06
"..Northern Estonia: town settlement region","2000","Number of dwellings",8307
"..Northern Estonia: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",8255
"..Northern Estonia: town settlement region","2000","Total number of rooms",26151
"..Northern Estonia: town settlement region","2000","Average number of rooms per inhabitant",1.1
"..Northern Estonia: town settlement region","2011","Number of dwellings",15616
"..Northern Estonia: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",15603
"..Northern Estonia: town settlement region","2011","Total number of rooms",59657
"..Northern Estonia: town settlement region","2011","Average number of rooms per inhabitant",1.33
"..Northern Estonia: town settlement region","2021","Number of dwellings",19082
"..Northern Estonia: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",18899
"..Northern Estonia: town settlement region","2021","Total number of rooms",69915
"..Northern Estonia: town settlement region","2021","Average number of rooms per inhabitant",1.26
"..Northern Estonia: rural settlement region","2000","Number of dwellings",24165
"..Northern Estonia: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",24085
"..Northern Estonia: rural settlement region","2000","Total number of rooms",67376
"..Northern Estonia: rural settlement region","2000","Average number of rooms per inhabitant",1.09
"..Northern Estonia: rural settlement region","2011","Number of dwellings",27459
"..Northern Estonia: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",27418
"..Northern Estonia: rural settlement region","2011","Total number of rooms",90854
"..Northern Estonia: rural settlement region","2011","Average number of rooms per inhabitant",1.3
"..Northern Estonia: rural settlement region","2021","Number of dwellings",29538
"..Northern Estonia: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",29209
"..Northern Estonia: rural settlement region","2021","Total number of rooms",92458
"..Northern Estonia: rural settlement region","2021","Average number of rooms per inhabitant",1.26
"Central Estonia","2000","Number of dwellings",57797
"Central Estonia","2000","Number of dwellings for which the number of rooms was recorded",57671
"Central Estonia","2000","Total number of rooms",166063
"Central Estonia","2000","Average number of rooms per inhabitant",1.17
"Central Estonia","2011","Number of dwellings",53520
"Central Estonia","2011","Number of dwellings for which the number of rooms was recorded",53479
"Central Estonia","2011","Total number of rooms",168713
"Central Estonia","2011","Average number of rooms per inhabitant",1.36
"Central Estonia","2021","Number of dwellings",52333
"Central Estonia","2021","Number of dwellings for which the number of rooms was recorded",51962
"Central Estonia","2021","Total number of rooms",159036
"Central Estonia","2021","Average number of rooms per inhabitant",1.34
"..Central Estonia: city settlement region","2000","Number of dwellings",11094
"..Central Estonia: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",11084
"..Central Estonia: city settlement region","2000","Total number of rooms",29395
"..Central Estonia: city settlement region","2000","Average number of rooms per inhabitant",1.14
"..Central Estonia: city settlement region","2011","Number of dwellings",10666
"..Central Estonia: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",10661
"..Central Estonia: city settlement region","2011","Total number of rooms",30330
"..Central Estonia: city settlement region","2011","Average number of rooms per inhabitant",1.31
"..Central Estonia: city settlement region","2021","Number of dwellings",10028
"..Central Estonia: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",10012
"..Central Estonia: city settlement region","2021","Total number of rooms",27822
"..Central Estonia: city settlement region","2021","Average number of rooms per inhabitant",1.22
"..Central Estonia: town settlement region","2000","Number of dwellings",9399
"..Central Estonia: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",9376
"..Central Estonia: town settlement region","2000","Total number of rooms",25930
"..Central Estonia: town settlement region","2000","Average number of rooms per inhabitant",1.16
"..Central Estonia: town settlement region","2011","Number of dwellings",8975
"..Central Estonia: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",8972
"..Central Estonia: town settlement region","2011","Total number of rooms",26696
"..Central Estonia: town settlement region","2011","Average number of rooms per inhabitant",1.32
"..Central Estonia: town settlement region","2021","Number of dwellings",8595
"..Central Estonia: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",8542
"..Central Estonia: town settlement region","2021","Total number of rooms",25176
"..Central Estonia: town settlement region","2021","Average number of rooms per inhabitant",1.32
"..Central Estonia: rural settlement region","2000","Number of dwellings",37304
"..Central Estonia: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",37211
"..Central Estonia: rural settlement region","2000","Total number of rooms",110738
"..Central Estonia: rural settlement region","2000","Average number of rooms per inhabitant",1.18
"..Central Estonia: rural settlement region","2011","Number of dwellings",33879
"..Central Estonia: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",33846
"..Central Estonia: rural settlement region","2011","Total number of rooms",111687
"..Central Estonia: rural settlement region","2011","Average number of rooms per inhabitant",1.38
"..Central Estonia: rural settlement region","2021","Number of dwellings",33710
"..Central Estonia: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",33408
"..Central Estonia: rural settlement region","2021","Total number of rooms",106038
"..Central Estonia: rural settlement region","2021","Average number of rooms per inhabitant",1.37
"Northeastern Estonia","2000","Number of dwellings",73639
"Northeastern Estonia","2000","Number of dwellings for which the number of rooms was recorded",73587
"Northeastern Estonia","2000","Total number of rooms",170286
"Northeastern Estonia","2000","Average number of rooms per inhabitant",0.99
"Northeastern Estonia","2011","Number of dwellings",65560
"Northeastern Estonia","2011","Number of dwellings for which the number of rooms was recorded",65542
"Northeastern Estonia","2011","Total number of rooms",158797
"Northeastern Estonia","2011","Average number of rooms per inhabitant",1.13
"Northeastern Estonia","2021","Number of dwellings",61966
"Northeastern Estonia","2021","Number of dwellings for which the number of rooms was recorded",61817
"Northeastern Estonia","2021","Total number of rooms",150392
"Northeastern Estonia","2021","Average number of rooms per inhabitant",1.17
"..Northeastern Estonia: city settlement region","2000","Number of dwellings",59375
"..Northeastern Estonia: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",59341
"..Northeastern Estonia: city settlement region","2000","Total number of rooms",132499
"..Northeastern Estonia: city settlement region","2000","Average number of rooms per inhabitant",0.95
