"laucode","year","NUTS 3 CODE 2021","NUTS 3 CODE 2016","indicator","value"
130,2000,"EE00A","EE007","totalm2_<60sqm",212
130,2011,"EE00A","EE007","totalm2_<60sqm",88
130,2021,"EE00A","EE007","totalm2_<60sqm",152
130,2000,"EE00A","EE007","totalm2_<60sqm",468
130,2011,"EE00A","EE007","totalm2_<60sqm",306
130,2021,"EE00A","EE007","totalm2_<60sqm",422
130,2000,"EE00A","EE007","totalm2_<60sqm",994
130,2011,"EE00A","EE007","totalm2_<60sqm",702
130,2021,"EE00A","EE007","totalm2_<60sqm",926
130,2000,"EE00A","EE007","totalm2_<60sqm",822
130,2011,"EE00A","EE007","totalm2_<60sqm",574
130,2021,"EE00A","EE007","totalm2_<60sqm",768
130,2000,"EE00A","EE007","totalm2_61_100sqm",966
130,2011,"EE00A","EE007","totalm2_61_100sqm",684
130,2021,"EE00A","EE007","totalm2_61_100sqm",910
130,2000,"EE00A","EE007","totalm2_61_100sqm",700
130,2011,"EE00A","EE007","totalm2_61_100sqm",504
130,2021,"EE00A","EE007","totalm2_61_100sqm",720
130,2000,"EE00A","EE007","totalm2_61_100sqm",818
130,2011,"EE00A","EE007","totalm2_61_100sqm",622
130,2021,"EE00A","EE007","totalm2_61_100sqm",870
130,2000,"EE00A","EE007","totalm2_101_150sqm",442
130,2011,"EE00A","EE007","totalm2_101_150sqm",418
130,2021,"EE00A","EE007","totalm2_101_150sqm",580
130,2000,"EE00A","EE007","totalm2_101_150sqm",296
130,2011,"EE00A","EE007","totalm2_101_150sqm",276
130,2021,"EE00A","EE007","totalm2_101_150sqm",462
130,2000,"EE00A","EE007","totalm2_>150sqm",158
130,2011,"EE00A","EE007","totalm2_>150sqm",330
130,2021,"EE00A","EE007","totalm2_>150sqm",436
130,2000,"EE00A","EE007","totalm2_data_missing",346
130,2011,"EE00A","EE007","totalm2_data_missing",56
130,2021,"EE00A","EE007","totalm2_data_missing",52
141,2000,"EE001","EE001","totalm2_<60sqm",388
141,2011,"EE001","EE001","totalm2_<60sqm",324
141,2021,"EE001","EE001","totalm2_<60sqm",316
141,2000,"EE001","EE001","totalm2_<60sqm",892
141,2011,"EE001","EE001","totalm2_<60sqm",784
141,2021,"EE001","EE001","totalm2_<60sqm",956
141,2000,"EE001","EE001","totalm2_<60sqm",1462
141,2011,"EE001","EE001","totalm2_<60sqm",1424
141,2021,"EE001","EE001","totalm2_<60sqm",1356
141,2000,"EE001","EE001","totalm2_<60sqm",1066
141,2011,"EE001","EE001","totalm2_<60sqm",960
141,2021,"EE001","EE001","totalm2_<60sqm",1022
141,2000,"EE001","EE001","totalm2_61_100sqm",934
141,2011,"EE001","EE001","totalm2_61_100sqm",908
141,2021,"EE001","EE001","totalm2_61_100sqm",896
141,2000,"EE001","EE001","totalm2_61_100sqm",654
141,2011,"EE001","EE001","totalm2_61_100sqm",580
141,2021,"EE001","EE001","totalm2_61_100sqm",618
141,2000,"EE001","EE001","totalm2_61_100sqm",662
141,2011,"EE001","EE001","totalm2_61_100sqm",554
141,2021,"EE001","EE001","totalm2_61_100sqm",782
141,2000,"EE001","EE001","totalm2_101_150sqm",314
141,2011,"EE001","EE001","totalm2_101_150sqm",446
141,2021,"EE001","EE001","totalm2_101_150sqm",472
141,2000,"EE001","EE001","totalm2_101_150sqm",202
141,2011,"EE001","EE001","totalm2_101_150sqm",336
141,2021,"EE001","EE001","totalm2_101_150sqm",372
141,2000,"EE001","EE001","totalm2_>150sqm",164
141,2011,"EE001","EE001","totalm2_>150sqm",518
141,2021,"EE001","EE001","totalm2_>150sqm",450
141,2000,"EE001","EE001","totalm2_data_missing",310
141,2011,"EE001","EE001","totalm2_data_missing",26
141,2021,"EE001","EE001","totalm2_data_missing",26
142,2000,"EE008","EE008","totalm2_<60sqm",154
142,2011,"EE008","EE008","totalm2_<60sqm",100
142,2021,"EE008","EE008","totalm2_<60sqm",114
142,2000,"EE008","EE008","totalm2_<60sqm",312
142,2011,"EE008","EE008","totalm2_<60sqm",208
142,2021,"EE008","EE008","totalm2_<60sqm",282
142,2000,"EE008","EE008","totalm2_<60sqm",866
142,2011,"EE008","EE008","totalm2_<60sqm",682
142,2021,"EE008","EE008","totalm2_<60sqm",888
142,2000,"EE008","EE008","totalm2_<60sqm",964
142,2011,"EE008","EE008","totalm2_<60sqm",708
142,2021,"EE008","EE008","totalm2_<60sqm",916
142,2000,"EE008","EE008","totalm2_61_100sqm",874
142,2011,"EE008","EE008","totalm2_61_100sqm",910
142,2021,"EE008","EE008","totalm2_61_100sqm",836
142,2000,"EE008","EE008","totalm2_61_100sqm",554
142,2011,"EE008","EE008","totalm2_61_100sqm",534
142,2021,"EE008","EE008","totalm2_61_100sqm",574
142,2000,"EE008","EE008","totalm2_61_100sqm",656
142,2011,"EE008","EE008","totalm2_61_100sqm",622
142,2021,"EE008","EE008","totalm2_61_100sqm",666
142,2000,"EE008","EE008","totalm2_101_150sqm",316
142,2011,"EE008","EE008","totalm2_101_150sqm",452
142,2021,"EE008","EE008","totalm2_101_150sqm",380
142,2000,"EE008","EE008","totalm2_101_150sqm",226
142,2011,"EE008","EE008","totalm2_101_150sqm",346
142,2021,"EE008","EE008","totalm2_101_150sqm",320
142,2000,"EE008","EE008","totalm2_>150sqm",136
142,2011,"EE008","EE008","totalm2_>150sqm",324
142,2021,"EE008","EE008","totalm2_>150sqm",270
142,2000,"EE008","EE008","totalm2_data_missing",294
142,2011,"EE008","EE008","totalm2_data_missing",18
142,2021,"EE008","EE008","totalm2_data_missing",92
171,2000,"EE008","EE008","totalm2_<60sqm",850
171,2011,"EE008","EE008","totalm2_<60sqm",448
171,2021,"EE008","EE008","totalm2_<60sqm",522
171,2000,"EE008","EE008","totalm2_<60sqm",1686
171,2011,"EE008","EE008","totalm2_<60sqm",1288
171,2021,"EE008","EE008","totalm2_<60sqm",1474
171,2000,"EE008","EE008","totalm2_<60sqm",2858
171,2011,"EE008","EE008","totalm2_<60sqm",2472
171,2021,"EE008","EE008","totalm2_<60sqm",2718
171,2000,"EE008","EE008","totalm2_<60sqm",2192
171,2011,"EE008","EE008","totalm2_<60sqm",1608
171,2021,"EE008","EE008","totalm2_<60sqm",1944
171,2000,"EE008","EE008","totalm2_61_100sqm",2064
171,2011,"EE008","EE008","totalm2_61_100sqm",1856
171,2021,"EE008","EE008","totalm2_61_100sqm",1846
171,2000,"EE008","EE008","totalm2_61_100sqm",1394
171,2011,"EE008","EE008","totalm2_61_100sqm",1240
171,2021,"EE008","EE008","totalm2_61_100sqm",1352
171,2000,"EE008","EE008","totalm2_61_100sqm",1504
171,2011,"EE008","EE008","totalm2_61_100sqm",1348
171,2021,"EE008","EE008","totalm2_61_100sqm",1692
171,2000,"EE008","EE008","totalm2_101_150sqm",932
171,2011,"EE008","EE008","totalm2_101_150sqm",1184
171,2021,"EE008","EE008","totalm2_101_150sqm",1478
171,2000,"EE008","EE008","totalm2_101_150sqm",580
171,2011,"EE008","EE008","totalm2_101_150sqm",1018
171,2021,"EE008","EE008","totalm2_101_150sqm",1126
171,2000,"EE008","EE008","totalm2_>150sqm",478
171,2011,"EE008","EE008","totalm2_>150sqm",1376
171,2021,"EE008","EE008","totalm2_>150sqm",1180
171,2000,"EE008","EE008","totalm2_data_missing",606
171,2011,"EE008","EE008","totalm2_data_missing",86
171,2021,"EE008","EE008","totalm2_data_missing",436
184,2000,"EE004","EE004","totalm2_<60sqm",950
184,2011,"EE004","EE004","totalm2_<60sqm",656
184,2021,"EE004","EE004","totalm2_<60sqm",964
184,2000,"EE004","EE004","totalm2_<60sqm",2214
184,2011,"EE004","EE004","totalm2_<60sqm",1930
184,2021,"EE004","EE004","totalm2_<60sqm",2372
184,2000,"EE004","EE004","totalm2_<60sqm",3328
184,2011,"EE004","EE004","totalm2_<60sqm",3190
