"lau_name","municipality","year","indicator","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"alutaguse vald","Alajõe rural municipality","2003","dwelling",458,"EE00A","EE007",130
"alutaguse vald","Alajõe rural municipality","2003","totalm2",37113.3,"EE00A","EE007",130
"alutaguse vald","Alajõe rural municipality","2004","dwelling",467,"EE00A","EE007",130
"alutaguse vald","Alajõe rural municipality","2004","totalm2",37786.4,"EE00A","EE007",130
"alutaguse vald","Alajõe rural municipality","2005","dwelling",473,"EE00A","EE007",130
"alutaguse vald","Alajõe rural municipality","2005","totalm2",38389.3,"EE00A","EE007",130
"alutaguse vald","Alajõe rural municipality","2006","dwelling",784,"EE00A","EE007",130
"alutaguse vald","Alajõe rural municipality","2006","totalm2",64352,"EE00A","EE007",130
"alutaguse vald","Alajõe rural municipality","2007","dwelling",787,"EE00A","EE007",130
"alutaguse vald","Alajõe rural municipality","2007","totalm2",64664.3,"EE00A","EE007",130
"alutaguse vald","Iisaku rural municipality","2003","dwelling",684,"EE00A","EE007",130
"alutaguse vald","Iisaku rural municipality","2003","totalm2",52019.3,"EE00A","EE007",130
"alutaguse vald","Iisaku rural municipality","2004","dwelling",709,"EE00A","EE007",130
"alutaguse vald","Iisaku rural municipality","2004","totalm2",53843.8,"EE00A","EE007",130
"alutaguse vald","Iisaku rural municipality","2005","dwelling",717,"EE00A","EE007",130
"alutaguse vald","Iisaku rural municipality","2005","totalm2",54934.6,"EE00A","EE007",130
"alutaguse vald","Iisaku rural municipality","2006","dwelling",818,"EE00A","EE007",130
"alutaguse vald","Iisaku rural municipality","2006","totalm2",61115.5,"EE00A","EE007",130
"alutaguse vald","Iisaku rural municipality","2007","dwelling",821,"EE00A","EE007",130
"alutaguse vald","Iisaku rural municipality","2007","totalm2",61731.6,"EE00A","EE007",130
"alutaguse vald","Illuka rural municipality","2003","dwelling",624,"EE00A","EE007",130
"alutaguse vald","Illuka rural municipality","2003","totalm2",42149.8,"EE00A","EE007",130
"alutaguse vald","Illuka rural municipality","2004","dwelling",625,"EE00A","EE007",130
"alutaguse vald","Illuka rural municipality","2004","totalm2",42368.3,"EE00A","EE007",130
"alutaguse vald","Illuka rural municipality","2005","dwelling",629,"EE00A","EE007",130
"alutaguse vald","Illuka rural municipality","2005","totalm2",42611,"EE00A","EE007",130
"alutaguse vald","Illuka rural municipality","2006","dwelling",734,"EE00A","EE007",130
"alutaguse vald","Illuka rural municipality","2006","totalm2",49502,"EE00A","EE007",130
"alutaguse vald","Illuka rural municipality","2007","dwelling",734,"EE00A","EE007",130
"alutaguse vald","Illuka rural municipality","2007","totalm2",49502,"EE00A","EE007",130
"alutaguse vald","Mäetaguse rural municipality","2003","dwelling",736,"EE00A","EE007",130
"alutaguse vald","Mäetaguse rural municipality","2003","totalm2",50353.4,"EE00A","EE007",130
"alutaguse vald","Mäetaguse rural municipality","2004","dwelling",739,"EE00A","EE007",130
"alutaguse vald","Mäetaguse rural municipality","2004","totalm2",50843.8,"EE00A","EE007",130
"alutaguse vald","Mäetaguse rural municipality","2005","dwelling",750,"EE00A","EE007",130
"alutaguse vald","Mäetaguse rural municipality","2005","totalm2",52067.1,"EE00A","EE007",130
"alutaguse vald","Mäetaguse rural municipality","2006","dwelling",763,"EE00A","EE007",130
"alutaguse vald","Mäetaguse rural municipality","2006","totalm2",53280.9,"EE00A","EE007",130
"alutaguse vald","Mäetaguse rural municipality","2007","dwelling",765,"EE00A","EE007",130
"alutaguse vald","Mäetaguse rural municipality","2007","totalm2",53842.3,"EE00A","EE007",130
"alutaguse vald","Tudulinna rural municipality","2003","dwelling",369,"EE00A","EE007",130
"alutaguse vald","Tudulinna rural municipality","2003","totalm2",30053.1,"EE00A","EE007",130
