"lau_name","municipality","year","indicator","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","laucode","type"
"alutaguse vald","Alajõe rural municipality",2003,"dwelling",458,"EE00A","EE007",130,"all"
"alutaguse vald","Alajõe rural municipality",2004,"dwelling",467,"EE00A","EE007",130,"all"
"alutaguse vald","Alajõe rural municipality",2005,"dwelling",473,"EE00A","EE007",130,"all"
"alutaguse vald","Iisaku rural municipality",2003,"dwelling",684,"EE00A","EE007",130,"all"
"alutaguse vald","Iisaku rural municipality",2004,"dwelling",709,"EE00A","EE007",130,"all"
"alutaguse vald","Iisaku rural municipality",2005,"dwelling",717,"EE00A","EE007",130,"all"
"alutaguse vald","Illuka rural municipality",2003,"dwelling",624,"EE00A","EE007",130,"all"
"alutaguse vald","Illuka rural municipality",2004,"dwelling",625,"EE00A","EE007",130,"all"
"alutaguse vald","Illuka rural municipality",2005,"dwelling",629,"EE00A","EE007",130,"all"
"alutaguse vald","Mäetaguse rural municipality",2003,"dwelling",736,"EE00A","EE007",130,"all"
"alutaguse vald","Mäetaguse rural municipality",2004,"dwelling",739,"EE00A","EE007",130,"all"
"alutaguse vald","Mäetaguse rural municipality",2005,"dwelling",750,"EE00A","EE007",130,"all"
"alutaguse vald","Tudulinna rural municipality",2003,"dwelling",369,"EE00A","EE007",130,"all"
"alutaguse vald","Tudulinna rural municipality",2004,"dwelling",367,"EE00A","EE007",130,"all"
"alutaguse vald","Tudulinna rural municipality",2005,"dwelling",368,"EE00A","EE007",130,"all"
"alutaguse vald","Alajõe rural municipality",2006,"dwelling",784,"EE00A","EE007",130,"all"
"alutaguse vald","Alajõe rural municipality",2007,"dwelling",787,"EE00A","EE007",130,"all"
"alutaguse vald","Iisaku rural municipality",2006,"dwelling",818,"EE00A","EE007",130,"all"
"alutaguse vald","Iisaku rural municipality",2007,"dwelling",821,"EE00A","EE007",130,"all"
"alutaguse vald","Illuka rural municipality",2006,"dwelling",734,"EE00A","EE007",130,"all"
"alutaguse vald","Illuka rural municipality",2007,"dwelling",734,"EE00A","EE007",130,"all"
"alutaguse vald","Mäetaguse rural municipality",2006,"dwelling",763,"EE00A","EE007",130,"all"
"alutaguse vald","Mäetaguse rural municipality",2007,"dwelling",765,"EE00A","EE007",130,"all"
"alutaguse vald","Tudulinna rural municipality",2006,"dwelling",406,"EE00A","EE007",130,"all"
"alutaguse vald","Tudulinna rural municipality",2007,"dwelling",406,"EE00A","EE007",130,"all"
"anija vald","Aegviidu rural municipality",2003,"dwelling",493,"EE001","EE001",141,"all"
"anija vald","Aegviidu rural municipality",2004,"dwelling",499,"EE001","EE001",141,"all"
"anija vald","Aegviidu rural municipality",2005,"dwelling",501,"EE001","EE001",141,"all"
"anija vald","Anija rural municipality",2003,"dwelling",2855,"EE001","EE001",141,"all"
"anija vald","Anija rural municipality",2004,"dwelling",2939,"EE001","EE001",141,"all"
"anija vald","Anija rural municipality",2005,"dwelling",2958,"EE001","EE001",141,"all"
"anija vald","Aegviidu rural municipality",2006,"dwelling",507,"EE001","EE001",141,"all"
"anija vald","Aegviidu rural municipality",2007,"dwelling",507,"EE001","EE001",141,"all"
"anija vald","Anija rural municipality",2006,"dwelling",3113,"EE001","EE001",141,"all"
"anija vald","Anija rural municipality",2007,"dwelling",3117,"EE001","EE001",141,"all"
"antsla vald","Antsla rural municipality",2003,"dwelling",1898,"EE008","EE008",142,"all"
"antsla vald","Antsla rural municipality",2004,"dwelling",1908,"EE008","EE008",142,"all"
"antsla vald","Antsla rural municipality",2005,"dwelling",1928,"EE008","EE008",142,"all"
"antsla vald","Urvaste rural municipality",2003,"dwelling",637,"EE008","EE008",142,"all"
"antsla vald","Urvaste rural municipality",2004,"dwelling",641,"EE008","EE008",142,"all"
"antsla vald","Urvaste rural municipality",2005,"dwelling",650,"EE008","EE008",142,"all"
"antsla vald","Antsla rural municipality",2006,"dwelling",1946,"EE008","EE008",142,"all"
"antsla vald","Antsla rural municipality",2007,"dwelling",1946,"EE008","EE008",142,"all"
"antsla vald","Urvaste rural municipality",2006,"dwelling",656,"EE008","EE008",142,"all"
"antsla vald","Urvaste rural municipality",2007,"dwelling",656,"EE008","EE008",142,"all"
"elva vald","Elva city",2003,"dwelling",2602,"EE008","EE008",171,"all"
"elva vald","Elva city",2004,"dwelling",2607,"EE008","EE008",171,"all"
"elva vald","Elva city",2005,"dwelling",2656,"EE008","EE008",171,"all"
"elva vald","Konguta rural municipality",2003,"dwelling",617,"EE008","EE008",171,"all"
"elva vald","Konguta rural municipality",2004,"dwelling",630,"EE008","EE008",171,"all"
"elva vald","Konguta rural municipality",2005,"dwelling",644,"EE008","EE008",171,"all"
"elva vald","Palupera rural municipality",2003,"dwelling",477,"EE008","EE008",171,"all"
"elva vald","Palupera rural municipality",2004,"dwelling",494,"EE008","EE008",171,"all"
"elva vald","Palupera rural municipality",2005,"dwelling",514,"EE008","EE008",171,"all"
"elva vald","Puhja rural municipality",2003,"dwelling",1089,"EE008","EE008",171,"all"
"elva vald","Puhja rural municipality",2004,"dwelling",1098,"EE008","EE008",171,"all"
"elva vald","Puhja rural municipality",2005,"dwelling",1108,"EE008","EE008",171,"all"
"elva vald","Puka rural municipality",2003,"dwelling",838,"EE008","EE008",171,"all"
"elva vald","Puka rural municipality",2004,"dwelling",872,"EE008","EE008",171,"all"
"elva vald","Puka rural municipality",2005,"dwelling",894,"EE008","EE008",171,"all"
"elva vald","Rannu rural municipality",2003,"dwelling",753,"EE008","EE008",171,"all"
"elva vald","Rannu rural municipality",2004,"dwelling",766,"EE008","EE008",171,"all"
"elva vald","Rannu rural municipality",2005,"dwelling",776,"EE008","EE008",171,"all"
"elva vald","Rõngu rural municipality",2003,"dwelling",1154,"EE008","EE008",171,"all"
"elva vald","Rõngu rural municipality",2004,"dwelling",1161,"EE008","EE008",171,"all"
"elva vald","Rõngu rural municipality",2005,"dwelling",1195,"EE008","EE008",171,"all"
"elva vald","Elva city",2006,"dwelling",2757,"EE008","EE008",171,"all"
"elva vald","Elva city",2007,"dwelling",2778,"EE008","EE008",171,"all"
"elva vald","Konguta rural municipality",2006,"dwelling",681,"EE008","EE008",171,"all"
"elva vald","Konguta rural municipality",2007,"dwelling",683,"EE008","EE008",171,"all"
"elva vald","Palupera rural municipality",2006,"dwelling",523,"EE008","EE008",171,"all"
"elva vald","Palupera rural municipality",2007,"dwelling",523,"EE008","EE008",171,"all"
"elva vald","Puhja rural municipality",2006,"dwelling",1132,"EE008","EE008",171,"all"
"elva vald","Puhja rural municipality",2007,"dwelling",1132,"EE008","EE008",171,"all"
"elva vald","Puka rural municipality",2006,"dwelling",908,"EE008","EE008",171,"all"
"elva vald","Puka rural municipality",2007,"dwelling",910,"EE008","EE008",171,"all"
"elva vald","Rannu rural municipality",2006,"dwelling",845,"EE008","EE008",171,"all"
"elva vald","Rannu rural municipality",2007,"dwelling",846,"EE008","EE008",171,"all"
"elva vald","Rõngu rural municipality",2006,"dwelling",1217,"EE008","EE008",171,"all"
"elva vald","Rõngu rural municipality",2007,"dwelling",1217,"EE008","EE008",171,"all"
"haapsalu linn","Haapsalu city",2003,"dwelling",6171,"EE004","EE004",184,"all"
"haapsalu linn","Haapsalu city",2004,"dwelling",6185,"EE004","EE004",184,"all"
"haapsalu linn","Haapsalu city",2005,"dwelling",6285,"EE004","EE004",184,"all"
"haapsalu linn","Ridala rural municipality",2003,"dwelling",1389,"EE004","EE004",184,"all"
"haapsalu linn","Ridala rural municipality",2004,"dwelling",1401,"EE004","EE004",184,"all"
"haapsalu linn","Ridala rural municipality",2005,"dwelling",1467,"EE004","EE004",184,"all"
"haapsalu linn","Haapsalu city",2006,"dwelling",6372,"EE004","EE004",184,"all"
"haapsalu linn","Haapsalu city",2007,"dwelling",6411,"EE004","EE004",184,"all"
"haapsalu linn","Ridala rural municipality",2006,"dwelling",2091,"EE004","EE004",184,"all"
"haapsalu linn","Ridala rural municipality",2007,"dwelling",2110,"EE004","EE004",184,"all"
"haljala vald","Haljala rural municipality",2003,"dwelling",1324,"EE009","EE006",191,"all"
"haljala vald","Haljala rural municipality",2004,"dwelling",1329,"EE009","EE006",191,"all"
