"LAU CODE","lau_name","type","NUTS 3 CODE 2016","NUTS 3 CODE 2021","value","all_value","share_on_all"
130,"alutaguse vald","all","EE007","EE00A",177281,177281,1
130,"alutaguse vald","flat","EE007","EE00A",44836,177281,0.252909223210609
130,"alutaguse vald","house","EE007","EE00A",132268,177281,0.746092361843627
141,"anija vald","all","EE001","EE001",247454,247454,1
141,"anija vald","flat","EE001","EE001",99255,247454,0.401104851810842
141,"anija vald","house","EE001","EE001",147508,247454,0.596102709998626
142,"antsla vald","all","EE008","EE008",191249,191249,1
142,"antsla vald","flat","EE008","EE008",44963,191249,0.235101882885662
142,"antsla vald","house","EE008","EE008",145690,191249,0.761781760950384
171,"elva vald","all","EE008","EE008",629107,629107,1
171,"elva vald","flat","EE008","EE008",190819,629107,0.303317241741071
171,"elva vald","house","EE008","EE008",437347,629107,0.695186987269256
184,"haapsalu linn","all","EE004","EE004",517167,517167,1
184,"haapsalu linn","flat","EE004","EE004",288083,517167,0.557040569100503
184,"haapsalu linn","house","EE004","EE004",228148,517167,0.441149570641592
191,"haljala vald","all","EE006","EE009",230510,230510,1
191,"haljala vald","flat","EE006","EE009",51631,230510,0.223985944210663
191,"haljala vald","house","EE006","EE009",178162,230510,0.772903561667607
198,"harku vald","all","EE001","EE001",645929,645929,1
198,"harku vald","flat","EE001","EE001",187394,645929,0.290115477088039
198,"harku vald","house","EE001","EE001",458345,645929,0.709590372935725
205,"hiiumaa vald","all","EE004","EE004",400306,400306,1
205,"hiiumaa vald","flat","EE004","EE004",107984,400306,0.269753638466573
205,"hiiumaa vald","house","EE004","EE004",291745,400306,0.728804964202385
214,"häädemeeste vald","all","EE004","EE004",221721,221721,1
214,"häädemeeste vald","flat","EE004","EE004",36491,221721,0.164580711795455
214,"häädemeeste vald","house","EE004","EE004",184894,221721,0.833903870179189
255,"järva vald","all","EE006","EE009",418192,418192,1
255,"järva vald","flat","EE006","EE009",133494,418192,0.319217010368443
255,"järva vald","house","EE006","EE009",282993,418192,0.676705914986418
245,"jõelähtme vald","all","EE001","EE001",287969,287969,1
245,"jõelähtme vald","flat","EE001","EE001",81606,287969,0.28338466987766
245,"jõelähtme vald","house","EE001","EE001",206036,287969,0.715479791227528
247,"jõgeva vald","all","EE008","EE008",530629,530629,1
