"municipality","year","type","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE","all_value","share_on_all"
"alutaguse vald","2021","all",251238,"EE00A","EE007",130,251238,1
"alutaguse vald","2021","house",203873,"EE00A","EE007",130,251238,0.811473582817886
"alutaguse vald","2021","flat",46630,"EE00A","EE007",130,251238,0.185600904321798
"anija vald","2021","all",264145,"EE001","EE001",141,264145,1
"anija vald","2021","house",167015,"EE001","EE001",141,264145,0.632285297847773
"anija vald","2021","flat",94415,"EE001","EE001",141,264145,0.357436256601488
"antsla vald","2021","all",199049,"EE008","EE008",142,199049,1
"antsla vald","2021","house",148114,"EE008","EE008",142,199049,0.744108234655788
"antsla vald","2021","flat",49527,"EE008","EE008",142,199049,0.248818130209144
"elva vald","2021","all",612292,"EE008","EE008",171,612292,1
"elva vald","2021","house",431429,"EE008","EE008",171,612292,0.704613158427678
"elva vald","2021","flat",178074,"EE008","EE008",171,612292,0.290831825338237
"haapsalu linn","2021","all",543393,"EE004","EE004",184,543393,1
"haapsalu linn","2021","house",253854,"EE004","EE004",184,543393,0.467164648790102
"haapsalu linn","2021","flat",280335,"EE004","EE004",184,543393,0.515897333973754
"haljala vald","2021","all",258435,"EE009","EE006",191,258435,1
"haljala vald","2021","house",201928,"EE009","EE006",191,258435,0.781349275446437
"haljala vald","2021","flat",53976,"EE009","EE006",191,258435,0.208857159440478
"harku vald","2021","all",766285,"EE001","EE001",198,766285,1
"harku vald","2021","house",516641,"EE001","EE001",198,766285,0.674215207135726
"harku vald","2021","flat",247634,"EE001","EE001",198,766285,0.323161747913635
"hiiumaa vald","2021","all",443593,"EE004","EE004",205,443593,1
"hiiumaa vald","2021","house",342915,"EE004","EE004",205,443593,0.773039700806821
"hiiumaa vald","2021","flat",97158,"EE004","EE004",205,443593,0.21902509733021
"häädemeeste vald","2021","all",242072,"EE004","EE004",214,242072,1
"häädemeeste vald","2021","house",200863,"EE004","EE004",214,242072,0.829765524306818
"häädemeeste vald","2021","flat",37614,"EE004","EE004",214,242072,0.155383522257841
"järva vald","2021","all",453469,"EE009","EE006",255,453469,1
"järva vald","2021","house",298679,"EE009","EE006",255,453469,0.658653623511199
"järva vald","2021","flat",149261,"EE009","EE006",255,453469,0.329153701796595
"jõelähtme vald","2021","all",352883,"EE001","EE001",245,352883,1
"jõelähtme vald","2021","house",243268,"EE001","EE001",245,352883,0.68937296497706
"jõelähtme vald","2021","flat",108083,"EE001","EE001",245,352883,0.306285652751762
"jõgeva vald","2021","all",583447,"EE008","EE008",247,583447,1
"jõgeva vald","2021","house",343438,"EE008","EE008",247,583447,0.588636157183086
"jõgeva vald","2021","flat",234547,"EE008","EE008",247,583447,0.402002238420971
"jõhvi vald","2021","all",410405,"EE00A","EE007",251,410405,1
"jõhvi vald","2021","house",143598,"EE00A","EE007",251,410405,0.349893397984917
"jõhvi vald","2021","flat",264563,"EE00A","EE007",251,410405,0.6446388323729
"kadrina vald","2021","all",199586,"EE009","EE006",272,199586,1
"kadrina vald","2021","house",125277,"EE009","EE006",272,199586,0.627684306514485
"kadrina vald","2021","flat",73949,"EE009","EE006",272,199586,0.370511959756696
"kambja vald","2021","all",581387,"EE008","EE008",283,581387,1
"kambja vald","2021","house",397404,"EE008","EE008",283,581387,0.68354469570183
"kambja vald","2021","flat",182231,"EE008","EE008",283,581387,0.31344182102455
"kanepi vald","2021","all",236482,"EE008","EE008",284,236482,1
"kanepi vald","2021","house",186428,"EE008","EE008",284,236482,0.788339070204075
"kanepi vald","2021","flat",47834,"EE008","EE008",284,236482,0.202273323128187
"kastre vald","2021","all",261317,"EE008","EE008",291,261317,1
"kastre vald","2021","house",205309,"EE008","EE008",291,261317,0.785670277861754
"kastre vald","2021","flat",54168,"EE008","EE008",291,261317,0.20728846573319
"kehtna vald","2021","all",238363,"EE009","EE006",293,238363,1
"kehtna vald","2021","house",146327,"EE009","EE006",293,238363,0.61388302714767
"kehtna vald","2021","flat",90378,"EE009","EE006",293,238363,0.379161195319743
"keila linn","2021","all",318366,"EE001","EE001",296,318366,1
"keila linn","2021","house",145755,"EE001","EE001",296,318366,0.45782212924747
"keila linn","2021","flat",172131,"EE001","EE001",296,318366,0.540670172066113
"kihnu vald","2021","all",22207,"EE004","EE004",303,22207,1
"kihnu vald","2021","house",21131,"EE004","EE004",303,22207,0.951546809564552
"kihnu vald","2021","flat",865,"EE004","EE004",303,22207,0.0389516819021029
"kiili vald","2021","all",277328,"EE001","EE001",304,277328,1
"kiili vald","2021","house",216831,"EE001","EE001",304,277328,0.781857583799689
"kiili vald","2021","flat",59914,"EE001","EE001",304,277328,0.216040212311775
"kohila vald","2021","all",290984,"EE009","EE006",317,290984,1
"kohila vald","2021","house",219452,"EE009","EE006",317,290984,0.754172050696945
"kohila vald","2021","flat",68561,"EE009","EE006",317,290984,0.235617765925274
"kohtla-järve linn","2021","all",1096055,"EE00A","EE007",321,1096055,1
"kohtla-järve linn","2021","house",87073,"EE00A","EE007",321,1096055,0.0794421812773994
"kohtla-järve linn","2021","flat",1005529,"EE00A","EE007",321,1096055,0.917407429371701
"kose vald","2021","all",316116,"EE001","EE001",338,316116,1
"kose vald","2021","house",207592,"EE001","EE001",338,316116,0.656695643371421
"kose vald","2021","flat",105925,"EE001","EE001",338,316116,0.335082691164003
"kuusalu vald","2021","all",330883,"EE001","EE001",353,330883,1
"kuusalu vald","2021","house",257576,"EE001","EE001",353,330883,0.778450388808129
"kuusalu vald","2021","flat",71607,"EE001","EE001",353,330883,0.216411843461284
"loksa linn","2021","all",94120,"EE001","EE001",424,94120,1
"loksa linn","2021","house",25742,"EE001","EE001",424,94120,0.273501912452189
"loksa linn","2021","flat",67885,"EE001","EE001",424,94120,0.721260093497663
"luunja vald","2021","all",234683,"EE008","EE008",432,234683,1
"luunja vald","2021","house",141374,"EE008","EE008",432,234683,0.602404094033228
"luunja vald","2021","flat",92812,"EE008","EE008",432,234683,0.395478155639735
"lääne-harju vald","2021","all",581192,"EE001","EE001",431,581192,1
"lääne-harju vald","2021","house",323783,"EE001","EE001",431,581192,0.557101611859764
"lääne-harju vald","2021","flat",254826,"EE001","EE001",431,581192,0.438454073696816
"lääne-nigula vald","2021","all",374105,"EE004","EE004",441,374105,1
"lääne-nigula vald","2021","house",248872,"EE004","EE004",441,374105,0.665246388046137
"lääne-nigula vald","2021","flat",109035,"EE004","EE004",441,374105,0.291455607382954
"lääneranna vald","2021","all",322126,"EE004","EE004",430,322126,1
"lääneranna vald","2021","house",227313,"EE004","EE004",430,322126,0.705664864059405
"lääneranna vald","2021","flat",91804,"EE004","EE004",430,322126,0.284994070643164
"lüganuse vald","2021","all",380430,"EE00A","EE007",442,380430,1
"lüganuse vald","2021","house",175684,"EE00A","EE007",442,380430,0.46180374838998
"lüganuse vald","2021","flat",203594,"EE00A","EE007",442,380430,0.535168099256105
"maardu linn","2021","all",519023,"EE001","EE001",446,519023,1
"maardu linn","2021","house",179436,"EE001","EE001",446,519023,0.345718783175312
"maardu linn","2021","flat",337880,"EE001","EE001",446,519023,0.650992345233256
"muhu vald","2021","all",95776,"EE004","EE004",478,95776,1
"muhu vald","2021","house",87493,"EE004","EE004",478,95776,0.913516956231206
"muhu vald","2021","flat",6019,"EE004","EE004",478,95776,0.0628445539592382
"mulgi vald","2021","all",376593,"EE008","EE008",480,376593,1
"mulgi vald","2021","house",261683,"EE008","EE008",480,376593,0.694869527580173
"mulgi vald","2021","flat",113840,"EE008","EE008",480,376593,0.302289208774459
"mustvee vald","2021","all",311148,"EE008","EE008",486,311148,1
"mustvee vald","2021","house",268028,"EE008","EE008",486,311148,0.861416432051628
"mustvee vald","2021","flat",40243,"EE008","EE008",486,311148,0.129337164307661
"märjamaa vald","2021","all",394776,"EE009","EE006",503,394776,1
"märjamaa vald","2021","house",300371,"EE009","EE006",503,394776,0.760864388919286
"märjamaa vald","2021","flat",90968,"EE009","EE006",503,394776,0.230429408069386
"narva linn","2021","all",1455335,"EE00A","EE007",511,1455335,1
"narva linn","2021","house",71414,"EE00A","EE007",511,1455335,0.0490704889252303
"narva linn","2021","flat",1383054,"EE00A","EE007",511,1455335,0.950333771949414
"narva-jõesuu linn","2021","all",240676,"EE00A","EE007",514,240676,1
"narva-jõesuu linn","2021","house",122864,"EE00A","EE007",514,240676,0.510495437850056
"narva-jõesuu linn","2021","flat",115450,"EE00A","EE007",514,240676,0.479690538317074
"nõo vald","2021","all",165119,"EE008","EE008",528,165119,1
"nõo vald","2021","house",129512,"EE008","EE008",528,165119,0.784355525408947
"nõo vald","2021","flat",34946,"EE008","EE008",528,165119,0.211641301122221
"otepää vald","2021","all",349481,"EE008","EE008",557,349481,1
"otepää vald","2021","house",275514,"EE008","EE008",557,349481,0.788351870344883
"otepää vald","2021","flat",70203,"EE008","EE008",557,349481,0.2008778731891
"paide linn","2021","all",416054,"EE009","EE006",567,416054,1
"paide linn","2021","house",181678,"EE009","EE006",567,416054,0.436669278507117
"paide linn","2021","flat",229399,"EE009","EE006",567,416054,0.551368331995366
"peipsiääre vald","2021","all",286720,"EE008","EE008",586,286720,1
"peipsiääre vald","2021","house",223796,"EE008","EE008",586,286720,0.780538504464286
"peipsiääre vald","2021","flat",61349,"EE008","EE008",586,286720,0.213968331473214
"pärnu linn","2021","all",1942752,"EE004","EE004",624,1942752,1
"pärnu linn","2021","house",869876,"EE004","EE004",624,1942752,0.447754525539029
"pärnu linn","2021","flat",1051039,"EE004","EE004",624,1942752,0.541005233812653
"põhja-pärnumaa vald","2021","all",369295,"EE004","EE004",638,369295,1
"põhja-pärnumaa vald","2021","house",229264,"EE004","EE004",638,369295,0.620815337331943
"põhja-pärnumaa vald","2021","flat",137865,"EE004","EE004",638,369295,0.373319432973639
"põhja-sakala vald","2021","all",376812,"EE008","EE008",615,376812,1
"põhja-sakala vald","2021","house",280475,"EE008","EE008",615,376812,0.744336698406633
"põhja-sakala vald","2021","flat",93356,"EE008","EE008",615,376812,0.247752194728406
"põltsamaa vald","2021","all",409736,"EE008","EE008",618,409736,1
"põltsamaa vald","2021","house",263772,"EE008","EE008",618,409736,0.643760860651737
"põltsamaa vald","2021","flat",143671,"EE008","EE008",618,409736,0.350642852958978
"põlva vald","2021","all",564051,"EE008","EE008",622,564051,1
"põlva vald","2021","house",356107,"EE008","EE008",622,564051,0.631338300969239
"põlva vald","2021","flat",204318,"EE008","EE008",622,564051,0.362233202316812
"raasiku vald","2021","all",213375,"EE001","EE001",651,213375,1
"raasiku vald","2021","house",153612,"EE001","EE001",651,213375,0.719915641476274
"raasiku vald","2021","flat",59008,"EE001","EE001",651,213375,0.276545987111892
"rae vald","2021","all",912079,"EE001","EE001",653,912079,1
"rae vald","2021","house",458809,"EE001","EE001",653,912079,0.503036469428635
"rae vald","2021","flat",452658,"EE001","EE001",653,912079,0.496292536063214
"rakvere linn","2021","all",540963,"EE009","EE006",663,540963,1
"rakvere linn","2021","house",229014,"EE009","EE006",663,540963,0.423345034688139
"rakvere linn","2021","flat",307555,"EE009","EE006",663,540963,0.568532413492235
"rakvere vald","2021","all",240497,"EE009","EE006",661,240497,1
"rakvere vald","2021","house",143015,"EE009","EE006",661,240497,0.59466438250789
"rakvere vald","2021","flat",95460,"EE009","EE006",661,240497,0.396928028208252
"rapla vald","2021","all",547585,"EE009","EE006",668,547585,1
"rapla vald","2021","house",358603,"EE009","EE006",668,547585,0.654880977382507
"rapla vald","2021","flat",182787,"EE009","EE006",668,547585,0.333805710528959
"ruhnu vald","2021","all",4271,"EE004","EE004",689,4271,1
"ruhnu vald","2021","house",4271,"EE004","EE004",689,4271,1
"ruhnu vald","2021","flat",0,"EE004","EE004",689,4271,0
"räpina vald","2021","all",293485,"EE008","EE008",708,293485,1
"räpina vald","2021","house",213089,"EE008","EE008",708,293485,0.726064364447928
"räpina vald","2021","flat",78950,"EE008","EE008",708,293485,0.269008637579433
"rõuge vald","2021","all",264616,"EE008","EE008",698,264616,1
"rõuge vald","2021","house",212058,"EE008","EE008",698,264616,0.801380113069505
"rõuge vald","2021","flat",45354,"EE008","EE008",698,264616,0.171395531638299
"saarde vald","2021","all",221288,"EE004","EE004",712,221288,1
"saarde vald","2021","house",148258,"EE004","EE004",712,221288,0.66997758577058
"saarde vald","2021","flat",70462,"EE004","EE004",712,221288,0.31841762770688
"saaremaa vald","2021","all",1319415,"EE004","EE004",714,1319415,1
"saaremaa vald","2021","house",914689,"EE004","EE004",714,1319415,0.693253449445398
"saaremaa vald","2021","flat",395303,"EE004","EE004",714,1319415,0.2996047490744
"saku vald","2021","all",456704,"EE001","EE001",718,456704,1
"saku vald","2021","house",334065,"EE001","EE001",718,456704,0.731469398122197
"saku vald","2021","flat",121370,"EE001","EE001",718,456704,0.26575199691704
"saue vald","2021","all",1013049,"EE001","EE001",726,1013049,1
"saue vald","2021","house",634197,"EE001","EE001",726,1013049,0.626027961135147
"saue vald","2021","flat",375173,"EE001","EE001",726,1013049,0.370340427758183
"setomaa vald","2021","all",157978,"EE008","EE008",732,157978,1
"setomaa vald","2021","house",126525,"EE008","EE008",732,157978,0.800902657332034
"setomaa vald","2021","flat",28435,"EE008","EE008",732,157978,0.179993416804872
"sillamäe linn","2021","all",376988,"EE00A","EE007",735,376988,1
"sillamäe linn","2021","house",2565,"EE00A","EE007",735,376988,0.00680393009857078
"sillamäe linn","2021","flat",371202,"EE00A","EE007",735,376988,0.984652031364394
"tallinn","2021","all",12904618,"EE001","EE001",784,12904618,1
"tallinn","2021","house",1896171,"EE001","EE001",784,12904618,0.146937398689368
"tallinn","2021","flat",10871502,"EE001","EE001",784,12904618,0.842450508802353
"tapa vald","2021","all",467591,"EE009","EE006",792,467591,1
"tapa vald","2021","house",236561,"EE009","EE006",792,467591,0.505914356777611
"tapa vald","2021","flat",226052,"EE009","EE006",792,467591,0.483439587160574
"tartu linn","2021","all",3134800,"EE008","EE008",793,3134800,1
"tartu linn","2021","house",842156,"EE008","EE008",793,3134800,0.26864744162307
"tartu linn","2021","flat",2264709,"EE008","EE008",793,3134800,0.722441304070435
"tartu vald","2021","all",524108,"EE008","EE008",796,524108,1
"tartu vald","2021","house",350736,"EE008","EE008",796,524108,0.66920558358201
"tartu vald","2021","flat",171657,"EE008","EE008",796,524108,0.32752219008296
"toila vald","2021","all",214128,"EE00A","EE007",803,214128,1
"toila vald","2021","house",141809,"EE00A","EE007",803,214128,0.662262758723754
"toila vald","2021","flat",70574,"EE00A","EE007",803,214128,0.329587910035119
"tori vald","2021","all",527319,"EE004","EE004",809,527319,1
"tori vald","2021","house",385051,"EE004","EE004",809,527319,0.730205056142487
"tori vald","2021","flat",139006,"EE004","EE004",809,527319,0.263608935008979
"tõrva vald","2021","all",263233,"EE008","EE008",824,263233,1
"tõrva vald","2021","house",180476,"EE008","EE008",824,263233,0.685613126013836
"tõrva vald","2021","flat",81289,"EE008","EE008",824,263233,0.308810065607276
"türi vald","2021","all",482196,"EE009","EE006",834,482196,1
"türi vald","2021","house",305346,"EE009","EE006",834,482196,0.633240425055372
"türi vald","2021","flat",173316,"EE009","EE006",834,482196,0.359430604982206
"valga vald","2021","all",591491,"EE008","EE008",855,591491,1
"valga vald","2021","house",296255,"EE008","EE008",855,591491,0.500861382506243
"valga vald","2021","flat",291604,"EE008","EE008",855,591491,0.492998202846704
"viimsi vald","2021","all",1072418,"EE001","EE001",890,1072418,1
"viimsi vald","2021","house",679976,"EE001","EE001",890,1072418,0.634058734560591
"viimsi vald","2021","flat",387858,"EE001","EE001",890,1072418,0.361666812753982
"viljandi linn","2021","all",632028,"EE008","EE008",897,632028,1
"viljandi linn","2021","house",272128,"EE008","EE008",897,632028,0.430563202896074
"viljandi linn","2021","flat",354484,"EE008","EE008",897,632028,0.560867556500661
"viljandi vald","2021","all",661043,"EE008","EE008",899,661043,1
"viljandi vald","2021","house",496963,"EE008","EE008",899,661043,0.751786192426211
"viljandi vald","2021","flat",158930,"EE008","EE008",899,661043,0.240423088966981
"vinni vald","2021","all",352003,"EE009","EE006",901,352003,1
"vinni vald","2021","house",245225,"EE009","EE006",901,352003,0.696655994409139
"vinni vald","2021","flat",104902,"EE009","EE006",901,352003,0.298014505558191
"viru-nigula vald","2021","all",249189,"EE009","EE006",903,249189,1
"viru-nigula vald","2021","house",98320,"EE009","EE006",903,249189,0.394559952485864
"viru-nigula vald","2021","flat",148926,"EE009","EE006",903,249189,0.597642753091027
"vormsi vald","2021","all",21491,"EE004","EE004",907,21491,1
"vormsi vald","2021","house",19053,"EE004","EE004",907,21491,0.886557163463776
"vormsi vald","2021","flat",2152,"EE004","EE004",907,21491,0.100134940207529
"väike-maarja vald","2021","all",283181,"EE009","EE006",928,283181,1
"väike-maarja vald","2021","house",175020,"EE009","EE006",928,283181,0.618049939791158
"väike-maarja vald","2021","flat",106338,"EE009","EE006",928,283181,0.375512481416479
"võru linn","2021","all",423736,"EE008","EE008",919,423736,1
"võru linn","2021","house",138318,"EE008","EE008",919,423736,0.326424943832953
"võru linn","2021","flat",282701,"EE008","EE008",919,423736,0.667163044914758
"võru vald","2021","all",484078,"EE008","EE008",917,484078,1
"võru vald","2021","house",374754,"EE008","EE008",917,484078,0.774160362586195
"võru vald","2021","flat",105340,"EE008","EE008",917,484078,0.217609558790112
