"nuts","year","type","indicator","level","value"
"130",2003,"all","totalm2","laucode",211688.9
"130",2004,"all","totalm2","laucode",214804.6
"130",2005,"all","totalm2","laucode",218003.4
"130",2006,"all","totalm2","laucode",260695.8
"130",2007,"all","totalm2","laucode",262185.6
"130",2008,"all","totalm2","laucode",240959.45
"130",2009,"all","totalm2","laucode",219733.3
"130",2010,"all","totalm2","laucode",198507.15
"130",2011,"all","totalm2","laucode",177281
"130",2012,"all","totalm2","laucode",184676.7
"130",2013,"all","totalm2","laucode",192072.4
"130",2014,"all","totalm2","laucode",199468.1
"130",2015,"all","totalm2","laucode",206863.8
"130",2016,"all","totalm2","laucode",214259.5
"130",2017,"all","totalm2","laucode",221655.2
"130",2018,"all","totalm2","laucode",229050.9
"130",2019,"all","totalm2","laucode",236446.6
"130",2020,"all","totalm2","laucode",243842.3
"130",2021,"all","totalm2","laucode",251238
"130",2003,"flat","totalm2","laucode",53538.0752613083
"130",2004,"flat","totalm2","laucode",54326.0645280656
"130",2005,"flat","totalm2","laucode",55135.0705512717
"130",2006,"flat","totalm2","laucode",65932.3722722683
"130",2007,"flat","totalm2","laucode",66309.1564330074
"130",2008,"flat","totalm2","laucode",60940.8673247556
"130",2009,"flat","totalm2","laucode",55572.5782165037
"130",2010,"flat","totalm2","laucode",50204.2891082519
"130",2011,"flat","totalm2","laucode",44836
"130",2012,"flat","totalm2","laucode",45015.4
"130",2013,"flat","totalm2","laucode",45194.8
"130",2014,"flat","totalm2","laucode",45374.2
"130",2015,"flat","totalm2","laucode",45553.6
"130",2016,"flat","totalm2","laucode",45733
"130",2017,"flat","totalm2","laucode",45912.4
"130",2018,"flat","totalm2","laucode",46091.8
"130",2019,"flat","totalm2","laucode",46271.2
"130",2020,"flat","totalm2","laucode",46450.6
"130",2021,"flat","totalm2","laucode",46630
"130",2003,"house","totalm2","laucode",157939.471377079
"130",2004,"house","totalm2","laucode",160264.071348876
"130",2005,"house","totalm2","laucode",162650.671595941
"130",2006,"house","totalm2","laucode",194503.145144714
"130",2007,"house","totalm2","laucode",195614.673545388
"130",2008,"house","totalm2","laucode",179778.005159041
"130",2009,"house","totalm2","laucode",163941.336772694
"130",2010,"house","totalm2","laucode",148104.668386347
"130",2011,"house","totalm2","laucode",132268
"130",2012,"house","totalm2","laucode",139428.5
"130",2013,"house","totalm2","laucode",146589
"130",2014,"house","totalm2","laucode",153749.5
"130",2015,"house","totalm2","laucode",160910
"130",2016,"house","totalm2","laucode",168070.5
"130",2017,"house","totalm2","laucode",175231
"130",2018,"house","totalm2","laucode",182391.5
"130",2019,"house","totalm2","laucode",189552
"130",2020,"house","totalm2","laucode",196712.5
"130",2021,"house","totalm2","laucode",203873
"141",2003,"all","totalm2","laucode",218178.8
"141",2004,"all","totalm2","laucode",222688.6
"141",2005,"all","totalm2","laucode",225303.4
"141",2006,"all","totalm2","laucode",239844.3
"141",2007,"all","totalm2","laucode",240676.9
"141",2008,"all","totalm2","laucode",242371.175
"141",2009,"all","totalm2","laucode",244065.45
"141",2010,"all","totalm2","laucode",245759.725
"141",2011,"all","totalm2","laucode",247454
"141",2012,"all","totalm2","laucode",249123.1
"141",2013,"all","totalm2","laucode",250792.2
"141",2014,"all","totalm2","laucode",252461.3
"141",2015,"all","totalm2","laucode",254130.4
"141",2016,"all","totalm2","laucode",255799.5
"141",2017,"all","totalm2","laucode",257468.6
"141",2018,"all","totalm2","laucode",259137.7
"141",2019,"all","totalm2","laucode",260806.8
"141",2020,"all","totalm2","laucode",262475.9
"141",2021,"all","totalm2","laucode",264145
"141",2003,"flat","totalm2","laucode",87512.5752422673
"141",2004,"flat","totalm2","laucode",89321.4779029639
"141",2005,"flat","totalm2","laucode",90370.2868694789
"141",2006,"flat","totalm2","laucode",96202.7124091751
"141",2007,"flat","totalm2","laucode",96536.6723087928
"141",2008,"flat","totalm2","laucode",97216.2542315946
"141",2009,"flat","totalm2","laucode",97895.8361543964
"141",2010,"flat","totalm2","laucode",98575.4180771982
"141",2011,"flat","totalm2","laucode",99255
"141",2012,"flat","totalm2","laucode",98771
"141",2013,"flat","totalm2","laucode",98287
"141",2014,"flat","totalm2","laucode",97803
"141",2015,"flat","totalm2","laucode",97319
"141",2016,"flat","totalm2","laucode",96835
"141",2017,"flat","totalm2","laucode",96351
"141",2018,"flat","totalm2","laucode",95867
"141",2019,"flat","totalm2","laucode",95383
"141",2020,"flat","totalm2","laucode",94899
"141",2021,"flat","totalm2","laucode",94415
"141",2003,"house","totalm2","laucode",130056.973944248
"141",2004,"house","totalm2","laucode",132745.2779458
"141",2005,"house","totalm2","laucode",134303.967311904
"141",2006,"house","totalm2","laucode",142971.837207723
"141",2007,"house","totalm2","laucode",143468.152324068
"141",2008,"house","totalm2","laucode",144478.114243051
"141",2009,"house","totalm2","laucode",145488.076162034
"141",2010,"house","totalm2","laucode",146498.038081017
