"municipality","year","type","nuts","nuts2016","laucode","indicator","value"
"anija vald",2003,"flat","EE001","EE001",141,"number",23
"harku vald",2003,"flat","EE001","EE001",198,"number",44
"joelahtme vald",2003,"flat","EE001","EE001",245,"number",25
"keila linn",2003,"flat","EE001","EE001",296,"number",90
"kiili vald",2003,"flat","EE001","EE001",304,"number",12
"kose vald",2003,"flat","EE001","EE001",338,"number",30
"kuusalu vald",2003,"flat","EE001","EE001",353,"number",14
"laaneharju vald",2003,"flat","EE001","EE001",431,"number",125
"loksa linn",2003,"flat","EE001","EE001",424,"number",24
"maardu linn",2003,"flat","EE001","EE001",446,"number",216
"raasiku vald",2003,"flat","EE001","EE001",651,"number",9
"rae vald",2003,"flat","EE001","EE001",653,"number",35
"saku vald",2003,"flat","EE001","EE001",718,"number",27
"saue vald",2003,"flat","EE001","EE001",726,"number",101
"tallinn",2003,"flat","EE001","EE001",784,"number",3874
"viimsi vald",2003,"flat","EE001","EE001",890,"number",57
"haademeeste vald",2003,"flat","EE004","EE004",214,"number",NA
"haapsalu linn",2003,"flat","EE004","EE004",184,"number",91
"hiiumaa vald",2003,"flat","EE004","EE004",205,"number",23
"kihnu vald",2003,"flat","EE004","EE004",303,"number",NA
"laanenigula vald",2003,"flat","EE004","EE004",441,"number",21
"laaneranna vald",2003,"flat","EE004","EE004",430,"number",NA
"muhu vald",2003,"flat","EE004","EE004",478,"number",NA
"parnu linn",2003,"flat","EE004","EE004",624,"number",NA
"pohjaparnumaa vald",2003,"flat","EE004","EE004",638,"number",NA
"ruhnu vald",2003,"flat","EE004","EE004",689,"number",NA
"saarde vald",2003,"flat","EE004","EE004",712,"number",NA
"saaremaa vald",2003,"flat","EE004","EE004",714,"number",133
"tori vald",2003,"flat","EE004","EE004",809,"number",NA
"vormsi vald",2003,"flat","EE004","EE004",907,"number",NA
"antsla vald",2003,"flat","EE008","EE008",142,"number",4
"elva vald",2003,"flat","EE008","EE008",171,"number",55
"jogeva vald",2003,"flat","EE008","EE008",247,"number",108
"kambja vald",2003,"flat","EE008","EE008",283,"number",34
"kanepi vald",2003,"flat","EE008","EE008",284,"number",19
"kastre vald",2003,"flat","EE008","EE008",291,"number",10
"luunja vald",2003,"flat","EE008","EE008",432,"number",14
"mulgi vald",2003,"flat","EE008","EE008",480,"number",7
"mustvee vald",2003,"flat","EE008","EE008",486,"number",2
"noo vald",2003,"flat","EE008","EE008",528,"number",12
