"municipality","indicator","year","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE","county"
"alutaguse vald","avg_wage","2021",1547,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","avg_wage","2022",1701,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","avg_wage","2023",1884,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","avg_wage","2024",1988,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","employees","2021",2188,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","employees","2022",2416,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","employees","2023",2537,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","employees","2024",2257,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","median_wage","2021",1362,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","median_wage","2022",1490,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","median_wage","2023",1686,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","median_wage","2024",1790,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","%change","2021",NA,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","%change","2022",9.9,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","%change","2023",10.8,"EE00A","EE007",130,"Ida-Viru county"
"alutaguse vald","%change","2024",5.5,"EE00A","EE007",130,"Ida-Viru county"
"anija vald","avg_wage","2021",1246,"EE001","EE001",141,"Harju county"
"anija vald","avg_wage","2022",1397,"EE001","EE001",141,"Harju county"
"anija vald","avg_wage","2023",1446,"EE001","EE001",141,"Harju county"
"anija vald","avg_wage","2024",1584,"EE001","EE001",141,"Harju county"
"anija vald","employees","2021",1658,"EE001","EE001",141,"Harju county"
"anija vald","employees","2022",1648,"EE001","EE001",141,"Harju county"
"anija vald","employees","2023",1602,"EE001","EE001",141,"Harju county"
"anija vald","employees","2024",1580,"EE001","EE001",141,"Harju county"
"anija vald","median_wage","2021",1107,"EE001","EE001",141,"Harju county"
"anija vald","median_wage","2022",1230,"EE001","EE001",141,"Harju county"
"anija vald","median_wage","2023",1281,"EE001","EE001",141,"Harju county"
"anija vald","median_wage","2024",1386,"EE001","EE001",141,"Harju county"
"anija vald","%change","2021",NA,"EE001","EE001",141,"Harju county"
"anija vald","%change","2022",12.1,"EE001","EE001",141,"Harju county"
"anija vald","%change","2023",3.6,"EE001","EE001",141,"Harju county"
"anija vald","%change","2024",9.5,"EE001","EE001",141,"Harju county"
"antsla vald","avg_wage","2021",NA,"EE008","EE008",142,"Võru county"
"antsla vald","avg_wage","2022",NA,"EE008","EE008",142,"Võru county"
"antsla vald","avg_wage","2023",NA,"EE008","EE008",142,"Võru county"
"antsla vald","avg_wage","2024",1355,"EE008","EE008",142,"Võru county"
"antsla vald","employees","2021",NA,"EE008","EE008",142,"Võru county"
"antsla vald","employees","2022",NA,"EE008","EE008",142,"Võru county"
"antsla vald","employees","2023",NA,"EE008","EE008",142,"Võru county"
"antsla vald","employees","2024",1022,"EE008","EE008",142,"Võru county"
"antsla vald","median_wage","2021",NA,"EE008","EE008",142,"Võru county"
"antsla vald","median_wage","2022",NA,"EE008","EE008",142,"Võru county"
"antsla vald","median_wage","2023",NA,"EE008","EE008",142,"Võru county"
"antsla vald","median_wage","2024",1155,"EE008","EE008",142,"Võru county"
"antsla vald","%change","2021",NA,"EE008","EE008",142,"Võru county"
"antsla vald","%change","2022",NA,"EE008","EE008",142,"Võru county"
"antsla vald","%change","2023",NA,"EE008","EE008",142,"Võru county"
"antsla vald","%change","2024",NA,"EE008","EE008",142,"Võru county"
"antsla vald, until 2023","avg_wage","2021",1079,NA,NA,NA,NA
"antsla vald, until 2023","avg_wage","2022",1163,NA,NA,NA,NA
"antsla vald, until 2023","avg_wage","2023",1275,NA,NA,NA,NA
"antsla vald, until 2023","avg_wage","2024",NA,NA,NA,NA,NA
"antsla vald, until 2023","employees","2021",1064,NA,NA,NA,NA
"antsla vald, until 2023","employees","2022",1097,NA,NA,NA,NA
"antsla vald, until 2023","employees","2023",1041,NA,NA,NA,NA
"antsla vald, until 2023","employees","2024",NA,NA,NA,NA,NA
"antsla vald, until 2023","median_wage","2021",900,NA,NA,NA,NA
"antsla vald, until 2023","median_wage","2022",1000,NA,NA,NA,NA
"antsla vald, until 2023","median_wage","2023",1100,NA,NA,NA,NA
"antsla vald, until 2023","median_wage","2024",NA,NA,NA,NA,NA
"antsla vald, until 2023","%change","2021",NA,NA,NA,NA,NA
"antsla vald, until 2023","%change","2022",7.7,NA,NA,NA,NA
"antsla vald, until 2023","%change","2023",9.6,NA,NA,NA,NA
"antsla vald, until 2023","%change","2024",NA,NA,NA,NA,NA
"elva vald","avg_wage","2021",1224,"EE008","EE008",171,"Tartu county"
"elva vald","avg_wage","2022",1343,"EE008","EE008",171,"Tartu county"
"elva vald","avg_wage","2023",1493,"EE008","EE008",171,"Tartu county"
"elva vald","avg_wage","2024",1619,"EE008","EE008",171,"Tartu county"
"elva vald","employees","2021",4958,"EE008","EE008",171,"Tartu county"
"elva vald","employees","2022",5055,"EE008","EE008",171,"Tartu county"
"elva vald","employees","2023",5145,"EE008","EE008",171,"Tartu county"
"elva vald","employees","2024",5038,"EE008","EE008",171,"Tartu county"
"elva vald","median_wage","2021",1100,"EE008","EE008",171,"Tartu county"
"elva vald","median_wage","2022",1198,"EE008","EE008",171,"Tartu county"
"elva vald","median_wage","2023",1335,"EE008","EE008",171,"Tartu county"
"elva vald","median_wage","2024",1444,"EE008","EE008",171,"Tartu county"
"elva vald","%change","2021",NA,"EE008","EE008",171,"Tartu county"
"elva vald","%change","2022",9.8,"EE008","EE008",171,"Tartu county"
"elva vald","%change","2023",11.2,"EE008","EE008",171,"Tartu county"
"elva vald","%change","2024",8.4,"EE008","EE008",171,"Tartu county"
"haapsalu linn","avg_wage","2021",1197,"EE004","EE004",184,"Lääne county"
"haapsalu linn","avg_wage","2022",1314,"EE004","EE004",184,"Lääne county"
"haapsalu linn","avg_wage","2023",1447,"EE004","EE004",184,"Lääne county"
"haapsalu linn","avg_wage","2024",1543,"EE004","EE004",184,"Lääne county"
"haapsalu linn","employees","2021",5354,"EE004","EE004",184,"Lääne county"
"haapsalu linn","employees","2022",5408,"EE004","EE004",184,"Lääne county"
"haapsalu linn","employees","2023",5317,"EE004","EE004",184,"Lääne county"
"haapsalu linn","employees","2024",5263,"EE004","EE004",184,"Lääne county"
"haapsalu linn","median_wage","2021",1054,"EE004","EE004",184,"Lääne county"
"haapsalu linn","median_wage","2022",1167,"EE004","EE004",184,"Lääne county"
"haapsalu linn","median_wage","2023",1279,"EE004","EE004",184,"Lääne county"
"haapsalu linn","median_wage","2024",1353,"EE004","EE004",184,"Lääne county"
"haapsalu linn","%change","2021",NA,"EE004","EE004",184,"Lääne county"
