"County","Year","Indicator","value","nuts"
"Harju county","2000","avg_gross_wage",378.25,"EE001"
"Harju county","2001","avg_gross_wage",423,"EE001"
"Harju county","2002","avg_gross_wage",472.75,"EE001"
"Harju county","2003","avg_gross_wage",515.25,"EE001"
"Harju county","2004","avg_gross_wage",547,"EE001"
"Harju county","2005","avg_gross_wage",593.5,"EE001"
"Harju county","2006","avg_gross_wage",687.75,"EE001"
"Harju county","2007","avg_gross_wage",817.25,"EE001"
"Harju county","2008","avg_gross_wage",916.75,"EE001"
"Harju county","2009","avg_gross_wage",880.75,"EE001"
"Harju county","2010","avg_gross_wage",881,"EE001"
"Harju county","2011","avg_gross_wage",935.75,"EE001"
"Harju county","2012","avg_gross_wage",991.25,"EE001"
"Harju county","2013","avg_gross_wage",1070.75,"EE001"
"Harju county","2014","avg_gross_wage",1124,"EE001"
"Harju county","2015","avg_gross_wage",1179.75,"EE001"
"Harju county","2016","avg_gross_wage",1262.75,"EE001"
"Harju county","2017","avg_gross_wage",1349,"EE001"
"Harju county","2018","avg_gross_wage",1455.25,"EE001"
"Hiiu county","2000","avg_gross_wage",256,"EE004"
"Hiiu county","2001","avg_gross_wage",309,"EE004"
"Hiiu county","2002","avg_gross_wage",316.5,"EE004"
"Hiiu county","2003","avg_gross_wage",349,"EE004"
"Hiiu county","2004","avg_gross_wage",381.75,"EE004"
"Hiiu county","2005","avg_gross_wage",433.25,"EE004"
"Hiiu county","2006","avg_gross_wage",478.25,"EE004"
"Hiiu county","2007","avg_gross_wage",551.5,"EE004"
"Hiiu county","2008","avg_gross_wage",623.5,"EE004"
"Hiiu county","2009","avg_gross_wage",603.75,"EE004"
"Hiiu county","2010","avg_gross_wage",627,"EE004"
"Hiiu county","2011","avg_gross_wage",679.25,"EE004"
"Hiiu county","2012","avg_gross_wage",771.25,"EE004"
"Hiiu county","2013","avg_gross_wage",811,"EE004"
"Hiiu county","2014","avg_gross_wage",973.75,"EE004"
"Hiiu county","2015","avg_gross_wage",864,"EE004"
"Hiiu county","2016","avg_gross_wage",894.5,"EE004"
"Hiiu county","2017","avg_gross_wage",875.75,"EE004"
"Hiiu county","2018","avg_gross_wage",944.75,"EE004"
"Ida-Viru county","2000","avg_gross_wage",245,"EE007"
"Ida-Viru county","2001","avg_gross_wage",285.5,"EE007"
"Ida-Viru county","2002","avg_gross_wage",299.25,"EE007"
"Ida-Viru county","2003","avg_gross_wage",317,"EE007"
"Ida-Viru county","2004","avg_gross_wage",345.75,"EE007"
"Ida-Viru county","2005","avg_gross_wage",385.75,"EE007"
"Ida-Viru county","2006","avg_gross_wage",435.25,"EE007"
"Ida-Viru county","2007","avg_gross_wage",534.25,"EE007"
