NUTS 3 CODE 2021,NUTS 3 CODE 2016,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (m2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME,county
EE00A,EE007,511,Narva linn,Narva linn,no,54409,68720000,1,no,no,no,EE003C1,no,Narva linn,,,,EE003L0,no,,Ida-Viru county
EE001,EE001,784,Tallinn,Tallinn,no,437619,159370000,1,no,yes,no,EE001C1,no,Tallinn,,,,EE001L1,no,Harju,Harju county
EE008,EE008,793,Tartu linn,Tartu linn,no,96123,153990000,1,no,no,no,EE002C2,no,Tartu linn,,,,EE002L2,no,Tartu,Tartu county
EE004,EE004,184,Haapsalu linn,Haapsalu linn,no,13075,271820000,2,no,yes,no,,,,,,,,,,L‰‰ne county
EE00A,EE007,251,Jıhvi vald,Jıhvi vald,no,11852,123930000,2,no,no,no,,,,,,,,,,Ida-Viru county
EE001,EE001,296,Keila linn,Keila linn,no,10044,11220000,2,no,yes,no,,,,,,,,,,Harju county
EE00A,EE007,321,Kohtla-J‰rve linn,Kohtla-J‰rve linn,no,33197,39340000,2,no,yes,no,,,,,,,,,,Ida-Viru county
EE001,EE001,446,Maardu linn,Maardu linn,no,15445,23440000,2,no,yes,no,,,,,,,,,,Harju county
EE009,EE006,567,Paide linn,Paide linn,no,10463,442870000,2,no,no,no,,,,,,,,,,J‰rva county
EE004,EE004,624,P‰rnu linn,P‰rnu linn,no,50914,857940000,2,no,yes,no,,,,,,,,,,P‰rnu county
EE009,EE006,663,Rakvere linn,Rakvere linn,no,15085,10750000,2,no,no,no,,,,,,,,,,L‰‰ne-Viru county
EE001,EE001,726,Saue vald,Saue vald,no,22929,627610000,2,no,no,no,,,,,,,,,,Harju county
EE00A,EE007,735,Sillam‰e linn,Sillam‰e linn,no,12480,11910000,2,no,yes,no,,,,,,,,,,Ida-Viru county
EE008,EE008,855,Valga vald,Valga vald,no,15680,749660000,2,no,no,no,,,,,,,,,,Valga county
EE001,EE001,890,Viimsi vald,Viimsi vald,no,20553,73260000,2,no,yes,no,,,,,,,,,,Harju county
EE008,EE008,897,Viljandi linn,Viljandi linn,no,17104,14670000,2,no,no,no,,,,,,,,,,Viljandi county
EE008,EE008,919,Vıru linn,Vıru linn,no,11727,14010000,2,no,no,no,,,,,,,,,,Vıru county
EE00A,EE007,130,Alutaguse vald,Alutaguse vald,no,4680,1458610000,3,no,no,no,,,,,,,,,,Ida-Viru county
EE001,EE001,141,Anija vald,Anija vald,no,6217,532970000,3,no,no,no,,,,,,,,,,Harju county
EE008,EE008,142,Antsla vald,Antsla vald,no,4398,410520000,3,no,no,no,,,,,,,,,,Vıru county
EE008,EE008,171,Elva vald,Elva vald,no,14630,732270000,3,no,no,no,,,,,,,,,,Tartu county
EE009,EE006,191,Haljala vald,Haljala vald,no,4312,549090000,3,no,yes,no,,,,,,,,,,L‰‰ne-Viru county
EE001,EE001,198,Harku vald,Harku vald,no,15197,159020000,3,no,yes,no,,,,,,,,,,Harju county
EE004,EE004,205,Hiiumaa vald,Hiiumaa vald,no,9315,1032440000,3,no,yes,no,,,,,,,,,,Hiiu county
EE004,EE004,214,H‰‰demeeste vald,H‰‰demeeste vald,no,4823,494330000,3,no,yes,no,,,,,,,,,,P‰rnu county
EE001,EE001,245,Jıel‰htme vald,Jıel‰htme vald,no,6553,211410000,3,no,yes,no,,,,,,,,,,Harju county
EE008,EE008,247,Jıgeva vald,Jıgeva vald,no,13407,1039660000,3,no,no,no,,,,,,,,,,Jıgeva county
EE009,EE006,255,J‰rva vald,J‰rva vald,no,8937,1222820000,3,no,no,no,,,,,,,,,,J‰rva county
EE009,EE006,272,Kadrina vald,Kadrina vald,no,4790,353920000,3,no,no,no,,,,,,,,,,L‰‰ne-Viru county
EE008,EE008,283,Kambja vald,Kambja vald,no,11477,275120000,3,no,no,no,,,,,,,,,,Tartu county
EE008,EE008,284,Kanepi vald,Kanepi vald,no,4662,524670000,3,no,no,no,,,,,,,,,,Pılva county
EE008,EE008,291,Kastre vald,Kastre vald,no,5263,492740000,3,no,no,no,,,,,,,,,,Tartu county
EE009,EE006,293,Kehtna vald,Kehtna vald,no,5460,511970000,3,no,no,no,,,,,,,,,,Rapla county
EE004,EE004,303,Kihnu vald,Kihnu vald,no,690,17330000,3,no,yes,no,,,,,,,,,,P‰rnu county
EE001,EE001,304,Kiili vald,Kiili vald,no,5657,100880000,3,no,no,no,,,,,,,,,,Harju county
EE009,EE006,317,Kohila vald,Kohila vald,no,7286,230110000,3,no,no,no,,,,,,,,,,Rapla county
EE001,EE001,338,Kose vald,Kose vald,no,7177,532810000,3,no,no,no,,,,,,,,,,Harju county
EE001,EE001,353,Kuusalu vald,Kuusalu vald,no,6413,709500000,3,no,yes,no,,,,,,,,,,Harju county
EE001,EE001,424,Loksa linn,Loksa linn,no,2541,3820000,3,no,yes,no,,,,,,,,,,Harju county
EE008,EE008,432,Luunja vald,Luunja vald,no,5002,131800000,3,no,no,no,,,,,,,,,,Tartu county
EE001,EE001,431,L‰‰ne-Harju vald,L‰‰ne-Harju vald,no,12558,645710000,3,no,yes,no,,,,,,,,,,Harju county
EE004,EE004,441,L‰‰ne-Nigula vald,L‰‰ne-Nigula vald,no,6983,1448770000,3,no,yes,no,,,,,,,,,,L‰‰ne county
EE004,EE004,430,L‰‰neranna vald,L‰‰neranna vald,no,5242,1362670000,3,no,yes,no,,,,,,,,,,P‰rnu county
EE00A,EE007,442,L¸ganuse vald,L¸ganuse vald,no,8374,598630000,3,no,yes,no,,,,,,,,,,Ida-Viru county
EE004,EE004,478,Muhu vald,Muhu vald,no,1879,207910000,3,no,yes,no,,,,,,,,,,Saare county
EE008,EE008,480,Mulgi vald,Mulgi vald,no,7460,880730000,3,no,no,no,,,,,,,,,,Viljandi county
EE008,EE008,486,Mustvee vald,Mustvee vald,no,5350,615640000,3,no,no,no,,,,,,,,,,Jıgeva county
EE009,EE006,503,M‰rjamaa vald,M‰rjamaa vald,no,7427,1163520000,3,no,no,no,,,,,,,,,,Rapla county
EE00A,EE007,514,Narva-Jıesuu linn,Narva-Jıesuu linn,no,4559,404660000,3,no,yes,no,,,,,,,,,,Ida-Viru county
EE008,EE008,528,Nıo vald,Nıo vald,no,4287,169110000,3,no,no,no,,,,,,,,,,Tartu county
EE008,EE008,557,Otep‰‰ vald,Otep‰‰ vald,no,6404,520210000,3,no,no,no,,,,,,,,,,Valga county
EE008,EE008,586,Peipsi‰‰re vald,Peipsi‰‰re vald,no,5373,652160000,3,no,no,no,,,,,,,,,,Tartu county
EE004,EE004,638,Pıhja-P‰rnumaa vald,Pıhja-P‰rnumaa vald,no,8190,1010530000,3,no,no,no,,,,,,,,,,P‰rnu county
EE008,EE008,615,Pıhja-Sakala vald,Pıhja-Sakala vald,no,7911,1153010000,3,no,no,no,,,,,,,,,,Viljandi county
EE008,EE008,618,Pıltsamaa vald,Pıltsamaa vald,no,9685,889560000,3,no,no,no,,,,,,,,,,Jıgeva county
EE008,EE008,622,Pılva vald,Pılva vald,no,13717,705900000,3,no,no,no,,,,,,,,,,Pılva county
EE001,EE001,651,Raasiku vald,Raasiku vald,no,5050,158950000,3,no,no,no,,,,,,,,,,Harju county
EE001,EE001,653,Rae vald,Rae vald,no,20641,206780000,3,no,no,no,,,,,,,,,,Harju county
EE009,EE006,661,Rakvere vald,Rakvere vald,no,5593,294660000,3,no,no,no,,,,,,,,,,L‰‰ne-Viru county
EE009,EE006,668,Rapla vald,Rapla vald,no,13109,859460000,3,no,no,no,,,,,,,,,,Rapla county
EE004,EE004,689,Ruhnu vald,Ruhnu vald,no,131,11900000,3,no,yes,no,,,,,,,,,,Saare county
EE008,EE008,698,Rıuge vald,Rıuge vald,no,5311,933220000,3,no,no,no,,,,,,,,,,Vıru county
EE008,EE008,708,R‰pina vald,R‰pina vald,no,6268,592770000,3,no,no,no,,,,,,,,,,Pılva county
EE004,EE004,712,Saarde vald,Saarde vald,no,4505,1064800000,3,no,no,no,,,,,,,,,,P‰rnu county
EE004,EE004,714,Saaremaa vald,Saaremaa vald,no,31073,2717840000,3,no,yes,no,,,,,,,,,,Saare county
EE001,EE001,718,Saku vald,Saku vald,no,10435,169950000,3,no,no,no,,,,,,,,,,Harju county
EE008,EE008,732,Setomaa vald,Setomaa vald,no,3175,463100000,3,no,no,no,,,,,,,,,,Vıru county
EE009,EE006,792,Tapa vald,Tapa vald,no,10761,479660000,3,no,no,no,,,,,,,,,,L‰‰ne-Viru county
EE008,EE008,796,Tartu vald,Tartu vald,no,11162,742120000,3,no,no,no,,,,,,,,,,Tartu county
EE00A,EE007,803,Toila vald,Toila vald,no,4708,265780000,3,no,yes,no,,,,,,,,,,Ida-Viru county
EE004,EE004,809,Tori vald,Tori vald,no,11821,611130000,3,no,no,no,,,,,,,,,,P‰rnu county
EE008,EE008,824,Tırva vald,Tırva vald,no,6120,647220000,3,no,no,no,,,,,,,,,,Valga county
EE009,EE006,834,T¸ri vald,T¸ri vald,no,10774,1008460000,3,no,no,no,,,,,,,,,,J‰rva county
EE008,EE008,899,Viljandi vald,Viljandi vald,no,13686,1371640000,3,no,no,no,,,,,,,,,,Viljandi county
EE009,EE006,901,Vinni vald,Vinni vald,no,6849,1012940000,3,no,no,no,,,,,,,,,,L‰‰ne-Viru county
EE009,EE006,903,Viru-Nigula vald,Viru-Nigula vald,no,5690,312230000,3,no,yes,no,,,,,,,,,,L‰‰ne-Viru county
EE004,EE004,907,Vormsi vald,Vormsi vald,no,386,94980000,3,no,yes,no,,,,,,,,,,L‰‰ne county
EE008,EE008,917,Vıru vald,Vıru vald,no,10804,952290000,3,no,no,no,,,,,,,,,,Vıru county
EE009,EE006,928,V‰ike-Maarja vald,V‰ike-Maarja vald,no,5782,682460000,3,no,no,no,,,,,,,,,,L‰‰ne-Viru county
