municipality,lau name,
Keila city,Keila Linn,
Loksa city,,
Maardu city,Maardu linn,
Paldiski city,,
Saue city,Saue vald,
Tallinn,Tallinn,
Aegviidu rural municipality,Anija vald,
Anija rural municipality,Anija vald,
Harku rural municipality,,
Jõelähtme rural municipality,,
Keila rural municipality,,
Kernu rural municipality,Saue vald,
Kiili rural municipality,,
Kose rural municipality,,
Kuusalu rural municipality*,,
Kõue rural municipality,,
Loksa rural municipality*,,
Nissi rural municipality,Saue vald,
Padise rural municipality,,
Raasiku rural municipality,,
Rae rural municipality,,
Saku rural municipality,,
Saue rural municipality,Saue vald,
Vasalemma rural municipality,,
Viimsi rural municipality,Viimsi vald,
Kärdla city,,
Emmaste rural municipality,,
Kõrgessaare rural municipality,,
Käina rural municipality,,
Pühalepa rural municipality,,
Jõhvi city*,Jõhvi vald,
Kiviõli city,,
Kohtla-Järve city,Kohtla-Järve linn,
Narva city,Narva Linn,
Narva-Jõesuu city,,
Püssi city,,
Sillamäe city,Sillamäe linn,
Alajõe rural municipality,Alutaguse vald,
Aseri rural municipality,,
Avinurme rural municipality,,
Iisaku rural municipality,Alutaguse vald,
Illuka rural municipality,Alutaguse vald,
Jõhvi rural municipality*,Jõhvi vald,
Kohtla rural municipality,,
Kohtla-Nõmme rural municipality,,
Lohusuu rural municipality,,
Lüganuse rural municipality,,
Maidla rural municipality,,
Mäetaguse rural municipality,Alutaguse vald,
Sonda rural municipality,,
Toila rural municipality,,
Tudulinna rural municipality,Alutaguse vald,
Vaivara rural municipality,,
Jõgeva city,,
Mustvee city,,
Põltsamaa city,,
Jõgeva rural municipality,,
Kasepää rural municipality,,
Pajusi rural municipality,,
Pala rural municipality,,
Palamuse rural municipality,,
Puurmani rural municipality,,
Põltsamaa rural municipality,,
Saare rural municipality,,
Tabivere rural municipality,,
Torma rural municipality,,
Paide city,,
Türi city*,,
Albu rural municipality,,
Ambla rural municipality,,
Imavere rural municipality,,
Järva-Jaani rural municipality,,
Kabala rural municipality*,,
Kareda rural municipality,,
Koeru rural municipality,,
Koigi rural municipality,,
Lehtse rural municipality*,,
Oisu rural municipality*,,
Paide rural municipality,,
Roosna-Alliku rural municipality,,
Türi rural municipality*,,
Väätsa rural municipality,,
Haapsalu city,Haapsalu Linn,
Hanila rural municipality,,
Kullamaa rural municipality,,
Lihula rural municipality,,
Martna rural municipality,,
Noarootsi rural municipality,,
Nõva rural municipality,,
Oru rural municipality,,
Ridala rural municipality,,
Risti rural municipality,,
Taebla rural municipality,,
Vormsi rural municipality,,
Kunda city,,
Rakvere city,Rakvere linn,
Tamsalu city*,,
Tapa city*,,
Avanduse rural municipality*,,
Haljala rural municipality,Haljala vald,
Kadrina rural municipality*,,
Laekvere rural municipality,,
Rakke rural municipality,,
Rakvere rural municipality,,
Rägavere rural municipality,,
