"parish","year","price_m2","advertisments_sum","actives_sum","type","typev2","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"Alutaguse vald",2005,NA,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2006,NA,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2007,NA,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2008,NA,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2009,NA,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2010,NA,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2011,NA,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2012,NA,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2013,NA,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2014,NA,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2015,149,12,8,"flat","all","EE00A","EE007",130
"Alutaguse vald",2016,146,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2017,146,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2018,146,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2019,146,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2020,146,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2021,146,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2022,146,0,0,"flat","all","EE00A","EE007",130
"Alutaguse vald",2023,294,57,50,"flat","all","EE00A","EE007",130
"Alutaguse vald",2024,439,85,84,"flat","all","EE00A","EE007",130
"Alutaguse vald",2025,422,49,43,"flat","all","EE00A","EE007",130
"Anija vald",2005,1119,8,1,"flat","all","EE001","EE001",141
"Anija vald",2006,1469,112,73,"flat","all","EE001","EE001",141
"Anija vald",2007,743,327,262,"flat","all","EE001","EE001",141
"Anija vald",2008,702,495,421,"flat","all","EE001","EE001",141
"Anija vald",2009,514,507,479,"flat","all","EE001","EE001",141
"Anija vald",2010,399,596,538,"flat","all","EE001","EE001",141
"Anija vald",2011,366,668,607,"flat","all","EE001","EE001",141
"Anija vald",2012,348,669,585,"flat","all","EE001","EE001",141
"Anija vald",2013,319,715,573,"flat","all","EE001","EE001",141
"Anija vald",2014,384,508,375,"flat","all","EE001","EE001",141
"Anija vald",2015,489,339,240,"flat","all","EE001","EE001",141
"Anija vald",2016,599,464,306,"flat","all","EE001","EE001",141
"Anija vald",2017,592,335,214,"flat","all","EE001","EE001",141
"Anija vald",2018,610,334,219,"flat","all","EE001","EE001",141
"Anija vald",2019,875,303,274,"flat","all","EE001","EE001",141
"Anija vald",2020,1180,440,388,"flat","all","EE001","EE001",141
"Anija vald",2021,1252,362,314,"flat","all","EE001","EE001",141
"Anija vald",2022,1670,295,244,"flat","all","EE001","EE001",141
"Anija vald",2023,1559,414,344,"flat","all","EE001","EE001",141
"Anija vald",2024,1442,532,441,"flat","all","EE001","EE001",141
"Anija vald",2025,1543,440,357,"flat","all","EE001","EE001",141
"Antsla vald",2005,NA,0,0,"flat","all","EE008","EE008",142
"Antsla vald",2006,NA,0,0,"flat","all","EE008","EE008",142
"Antsla vald",2007,200,31,18,"flat","all","EE008","EE008",142
"Antsla vald",2008,225,196,88,"flat","all","EE008","EE008",142
"Antsla vald",2009,179,15,11,"flat","all","EE008","EE008",142
"Antsla vald",2010,290,12,8,"flat","all","EE008","EE008",142
"Antsla vald",2011,234,13,12,"flat","all","EE008","EE008",142
"Antsla vald",2012,205,91,80,"flat","all","EE008","EE008",142
"Antsla vald",2013,141,238,194,"flat","all","EE008","EE008",142
"Antsla vald",2014,137,211,182,"flat","all","EE008","EE008",142
"Antsla vald",2015,161,213,184,"flat","all","EE008","EE008",142
"Antsla vald",2016,173,145,121,"flat","all","EE008","EE008",142
"Antsla vald",2017,164,167,142,"flat","all","EE008","EE008",142
"Antsla vald",2018,180,98,89,"flat","all","EE008","EE008",142
"Antsla vald",2019,150,6,2,"flat","all","EE008","EE008",142
"Antsla vald",2020,251,31,23,"flat","all","EE008","EE008",142
"Antsla vald",2021,216,0,0,"flat","all","EE008","EE008",142
"Antsla vald",2022,356,32,27,"flat","all","EE008","EE008",142
"Antsla vald",2023,392,147,115,"flat","all","EE008","EE008",142
