"parish","year","price_m2","advertisments_sum","actives_sum","type","typev2","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"Alutaguse vald",2023,368,57,50,"flat","existing","EE00A","EE007",130
"Alutaguse vald",2024,404,67,68,"flat","existing","EE00A","EE007",130
"Alutaguse vald",2025,384,35,30,"flat","existing","EE00A","EE007",130
"Anija vald",2023,1222,312,245,"flat","existing","EE001","EE001",141
"Anija vald",2024,1230,426,342,"flat","existing","EE001","EE001",141
"Anija vald",2025,1308,355,278,"flat","existing","EE001","EE001",141
"Antsla vald",2023,391,148,115,"flat","existing","EE008","EE008",142
"Antsla vald",2024,375,214,185,"flat","existing","EE008","EE008",142
"Antsla vald",2025,410,171,144,"flat","existing","EE008","EE008",142
"Elva vald",2023,1170,375,293,"flat","existing","EE008","EE008",171
"Elva vald",2024,1187,537,424,"flat","existing","EE008","EE008",171
"Elva vald",2025,1146,484,377,"flat","existing","EE008","EE008",171
"Haapsalu",2023,1609,995,833,"flat","existing","EE004","EE004",184
"Haapsalu",2024,1549,1371,1194,"flat","existing","EE004","EE004",184
"Haapsalu",2025,1444,1656,1469,"flat","existing","EE004","EE004",184
"Haljala vald",2023,902,77,70,"flat","existing","EE009","EE006",191
"Haljala vald",2024,923,103,100,"flat","existing","EE009","EE006",191
"Haljala vald",2025,834,127,119,"flat","existing","EE009","EE006",191
"Harku vald",2023,2447,616,464,"flat","existing","EE001","EE001",198
"Harku vald",2024,2592,756,605,"flat","existing","EE001","EE001",198
"Harku vald",2025,2481,606,467,"flat","existing","EE001","EE001",198
"Hiiumaa vald",2023,977,140,130,"flat","existing","EE004","EE004",205
"Hiiumaa vald",2024,954,162,140,"flat","existing","EE004","EE004",205
"Hiiumaa vald",2025,1034,166,143,"flat","existing","EE004","EE004",205
"Häädemeeste vald",2023,1015,6,6,"flat","existing","EE004","EE004",214
"Häädemeeste vald",2024,1089,104,101,"flat","existing","EE004","EE004",214
"Häädemeeste vald",2025,1039,161,156,"flat","existing","EE004","EE004",214
"Järva vald",2023,465,230,190,"flat","existing","EE009","EE006",255
"Järva vald",2024,406,372,309,"flat","existing","EE009","EE006",255
"Järva vald",2025,365,371,313,"flat","existing","EE009","EE006",255
"Jõelähtme vald",2023,2226,316,240,"flat","existing","EE001","EE001",245
"Jõelähtme vald",2024,2224,487,389,"flat","existing","EE001","EE001",245
"Jõelähtme vald",2025,2382,375,296,"flat","existing","EE001","EE001",245
"Jõgeva vald",2023,537,789,601,"flat","existing","EE008","EE008",247
"Jõgeva vald",2024,564,944,775,"flat","existing","EE008","EE008",247
"Jõgeva vald",2025,584,897,758,"flat","existing","EE008","EE008",247
"Jõhvi vald",2023,686,777,599,"flat","existing","EE00A","EE007",251
"Jõhvi vald",2024,763,890,741,"flat","existing","EE00A","EE007",251
"Jõhvi vald",2025,685,1016,852,"flat","existing","EE00A","EE007",251
"Kadrina vald",2023,801,207,182,"flat","existing","EE009","EE006",272
"Kadrina vald",2024,724,229,194,"flat","existing","EE009","EE006",272
"Kadrina vald",2025,675,235,204,"flat","existing","EE009","EE006",272
"Kambja vald",2023,1700,317,237,"flat","existing","EE008","EE008",283
"Kambja vald",2024,1821,278,218,"flat","existing","EE008","EE008",283
"Kambja vald",2025,1896,388,318,"flat","existing","EE008","EE008",283
"Kanepi vald",2023,485,31,28,"flat","existing","EE008","EE008",284
"Kanepi vald",2024,501,103,96,"flat","existing","EE008","EE008",284
"Kanepi vald",2025,542,149,138,"flat","existing","EE008","EE008",284
"Kastre vald",2023,927,104,74,"flat","existing","EE008","EE008",291
"Kastre vald",2024,1030,140,125,"flat","existing","EE008","EE008",291
"Kastre vald",2025,1062,198,159,"flat","existing","EE008","EE008",291
"Kehtna vald",2023,673,198,168,"flat","existing","EE009","EE006",293
"Kehtna vald",2024,683,405,338,"flat","existing","EE009","EE006",293
"Kehtna vald",2025,646,375,330,"flat","existing","EE009","EE006",293
"Keila",2023,2035,549,331,"flat","existing","EE001","EE001",296
"Keila",2024,2062,686,506,"flat","existing","EE001","EE001",296
"Keila",2025,2282,525,414,"flat","existing","EE001","EE001",296
"Kihnu vald",2023,NA,0,0,"flat","existing","EE004","EE004",303
"Kihnu vald",2024,NA,0,0,"flat","existing","EE004","EE004",303
"Kihnu vald",2025,NA,0,0,"flat","existing","EE004","EE004",303
"Kiili vald",2023,2579,75,67,"flat","existing","EE001","EE001",304
"Kiili vald",2024,2697,126,108,"flat","existing","EE001","EE001",304
"Kiili vald",2025,2741,157,123,"flat","existing","EE001","EE001",304
"Kohila vald",2023,1488,162,136,"flat","existing","EE009","EE006",317
"Kohila vald",2024,1403,207,169,"flat","existing","EE009","EE006",317
"Kohila vald",2025,1543,204,170,"flat","existing","EE009","EE006",317
"Kohtla-Järve",2023,335,2792,2196,"flat","existing","EE00A","EE007",321
"Kohtla-Järve",2024,349,3034,2460,"flat","existing","EE00A","EE007",321
"Kohtla-Järve",2025,328,2993,2519,"flat","existing","EE00A","EE007",321
"Kose vald",2023,1333,221,171,"flat","existing","EE001","EE001",338
"Kose vald",2024,1305,364,302,"flat","existing","EE001","EE001",338
"Kose vald",2025,1284,343,286,"flat","existing","EE001","EE001",338
"Kuusalu vald",2023,1137,165,123,"flat","existing","EE001","EE001",353
"Kuusalu vald",2024,1109,242,190,"flat","existing","EE001","EE001",353
"Kuusalu vald",2025,1026,266,209,"flat","existing","EE001","EE001",353
"Loksa",2023,746,401,312,"flat","existing","EE001","EE001",424
"Loksa",2024,745,372,304,"flat","existing","EE001","EE001",424
"Loksa",2025,755,288,250,"flat","existing","EE001","EE001",424
"Luunja vald",2023,2112,244,200,"flat","existing","EE008","EE008",432
"Luunja vald",2024,2103,268,203,"flat","existing","EE008","EE008",432
"Luunja vald",2025,2110,222,180,"flat","existing","EE008","EE008",432
"Lääne-Harju vald",2023,1100,1582,1249,"flat","existing","EE001","EE001",431
"Lääne-Harju vald",2024,1126,1979,1609,"flat","existing","EE001","EE001",431
"Lääne-Harju vald",2025,1087,1956,1675,"flat","existing","EE001","EE001",431
"Lääne-Nigula vald",2023,472,334,260,"flat","existing","EE004","EE004",441
"Lääne-Nigula vald",2024,581,457,373,"flat","existing","EE004","EE004",441
"Lääne-Nigula vald",2025,575,500,433,"flat","existing","EE004","EE004",441
"Lääneranna vald",2023,500,162,140,"flat","existing","EE004","EE004",430
"Lääneranna vald",2024,516,276,242,"flat","existing","EE004","EE004",430
"Lääneranna vald",2025,456,283,237,"flat","existing","EE004","EE004",430
"Lüganuse vald",2023,173,566,463,"flat","existing","EE00A","EE007",442
"Lüganuse vald",2024,175,558,437,"flat","existing","EE00A","EE007",442
"Lüganuse vald",2025,157,399,307,"flat","existing","EE00A","EE007",442
"Maardu",2023,1799,1294,915,"flat","existing","EE001","EE001",446
"Maardu",2024,1719,1574,1288,"flat","existing","EE001","EE001",446
"Maardu",2025,1732,1386,1107,"flat","existing","EE001","EE001",446
"Muhu vald",2023,NA,0,0,"flat","existing","EE004","EE004",478
"Muhu vald",2024,NA,0,0,"flat","existing","EE004","EE004",478
"Muhu vald",2025,NA,0,0,"flat","existing","EE004","EE004",478
"Mulgi vald",2023,343,234,187,"flat","existing","EE008","EE008",480
"Mulgi vald",2024,393,317,262,"flat","existing","EE008","EE008",480
"Mulgi vald",2025,314,238,206,"flat","existing","EE008","EE008",480
"Mustvee vald",2023,465,34,31,"flat","existing","EE008","EE008",486
"Mustvee vald",2024,537,93,89,"flat","existing","EE008","EE008",486
"Mustvee vald",2025,529,95,89,"flat","existing","EE008","EE008",486
"Märjamaa vald",2023,788,131,112,"flat","existing","EE009","EE006",503
"Märjamaa vald",2024,799,273,234,"flat","existing","EE009","EE006",503
"Märjamaa vald",2025,706,350,299,"flat","existing","EE009","EE006",503
"Narva",2023,745,3101,2236,"flat","existing","EE00A","EE007",511
"Narva",2024,736,4665,3815,"flat","existing","EE00A","EE007",511
"Narva",2025,683,4368,3640,"flat","existing","EE00A","EE007",511
"Narva-Jõesuu",2023,1454,214,171,"flat","existing","EE00A","EE007",514
"Narva-Jõesuu",2024,1230,302,258,"flat","existing","EE00A","EE007",514
"Narva-Jõesuu",2025,1355,196,166,"flat","existing","EE00A","EE007",514
"Nõo vald",2023,1319,14,11,"flat","existing","EE008","EE008",528
"Nõo vald",2024,1431,104,88,"flat","existing","EE008","EE008",528
"Nõo vald",2025,1707,102,93,"flat","existing","EE008","EE008",528
"Otepää vald",2023,1064,142,127,"flat","existing","EE008","EE008",557
"Otepää vald",2024,927,153,133,"flat","existing","EE008","EE008",557
"Otepää vald",2025,1053,187,159,"flat","existing","EE008","EE008",557
"Paide",2023,852,462,365,"flat","existing","EE009","EE006",567
"Paide",2024,868,720,583,"flat","existing","EE009","EE006",567
"Paide",2025,857,813,676,"flat","existing","EE009","EE006",567
