"parish","year","price_m2","advertisments_sum","actives_sum","type","typev2","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"Alutaguse vald",2005,NA,0,0,"house","all","EE00A","EE007",130
"Alutaguse vald",2006,NA,0,0,"house","all","EE00A","EE007",130
"Alutaguse vald",2007,858,177,13,"house","all","EE00A","EE007",130
"Alutaguse vald",2008,825,36,9,"house","all","EE00A","EE007",130
"Alutaguse vald",2009,733,0,0,"house","all","EE00A","EE007",130
"Alutaguse vald",2010,686,70,39,"house","all","EE00A","EE007",130
"Alutaguse vald",2011,619,67,30,"house","all","EE00A","EE007",130
"Alutaguse vald",2012,466,75,63,"house","all","EE00A","EE007",130
"Alutaguse vald",2013,492,334,215,"house","all","EE00A","EE007",130
"Alutaguse vald",2014,509,417,361,"house","all","EE00A","EE007",130
"Alutaguse vald",2015,516,395,336,"house","all","EE00A","EE007",130
"Alutaguse vald",2016,494,438,361,"house","all","EE00A","EE007",130
"Alutaguse vald",2017,445,235,186,"house","all","EE00A","EE007",130
"Alutaguse vald",2018,386,204,168,"house","all","EE00A","EE007",130
"Alutaguse vald",2019,563,106,92,"house","all","EE00A","EE007",130
"Alutaguse vald",2020,655,64,51,"house","all","EE00A","EE007",130
"Alutaguse vald",2021,685,0,0,"house","all","EE00A","EE007",130
"Alutaguse vald",2022,685,0,0,"house","all","EE00A","EE007",130
"Alutaguse vald",2023,932,218,196,"house","all","EE00A","EE007",130
"Alutaguse vald",2024,1118,412,385,"house","all","EE00A","EE007",130
"Alutaguse vald",2025,1159,421,387,"house","all","EE00A","EE007",130
"Anija vald",2005,NA,0,0,"house","all","EE001","EE001",141
"Anija vald",2006,735,6,4,"house","all","EE001","EE001",141
"Anija vald",2007,761,50,42,"house","all","EE001","EE001",141
"Anija vald",2008,725,237,212,"house","all","EE001","EE001",141
"Anija vald",2009,496,182,164,"house","all","EE001","EE001",141
"Anija vald",2010,482,238,151,"house","all","EE001","EE001",141
"Anija vald",2011,481,281,213,"house","all","EE001","EE001",141
"Anija vald",2012,416,363,263,"house","all","EE001","EE001",141
"Anija vald",2013,466,342,262,"house","all","EE001","EE001",141
"Anija vald",2014,432,313,256,"house","all","EE001","EE001",141
"Anija vald",2015,432,277,229,"house","all","EE001","EE001",141
