"LAU CODE","parish","year","price_m2","advertisments_sum","actives_sum","type","typev2","NUTS 3 CODE 2021","NUTS 3 CODE 2016"
130,"Alutaguse vald",2007,881.431017731988,177,13,"house","all","EE00A","EE007"
130,"Alutaguse vald",2008,847.529824742296,36,9,"house","all","EE00A","EE007"
130,"Alutaguse vald",2009,753.017407922549,0,0,"house","all","EE00A","EE007"
130,"Alutaguse vald",2010,704.7338906342,70,39,"house","all","EE00A","EE007"
130,"Alutaguse vald",2011,635.904195776341,67,30,"house","all","EE00A","EE007"
130,"Alutaguse vald",2012,478.725937369588,75,63,"house","all","EE00A","EE007"
130,"Alutaguse vald",2013,505.435968209951,334,215,"house","all","EE00A","EE007"
130,"Alutaguse vald",2014,522.900219144035,417,361,"house","all","EE00A","EE007"
130,"Alutaguse vald",2015,530.091381293363,395,336,"house","all","EE00A","EE007"
130,"Alutaguse vald",2016,507.490585966902,438,361,"house","all","EE00A","EE007"
130,"Alutaguse vald",2017,457.152450921602,235,186,"house","all","EE00A","EE007"
130,"Alutaguse vald",2018,396.541227091547,204,168,"house","all","EE00A","EE007"
130,"Alutaguse vald",2019,578.374898581712,106,92,"house","all","EE00A","EE007"
130,"Alutaguse vald",2020,672.887315401459,64,51,"house","all","EE00A","EE007"
130,"Alutaguse vald",2021,703.706581755724,0,0,"house","all","EE00A","EE007"
130,"Alutaguse vald",2022,703.706581755724,0,0,"house","all","EE00A","EE007"
130,"Alutaguse vald",2023,957.451874739175,218,196,"house","all","EE00A","EE007"
130,"Alutaguse vald",2024,1148.53132613562,412,385,"house","all","EE00A","EE007"
130,"Alutaguse vald",2025,1190.65099015312,421,387,"house","all","EE00A","EE007"
141,"Anija vald",2007,630.239158036555,50,42,"house","all","EE001","EE001"
141,"Anija vald",2008,600.424953451383,237,212,"house","all","EE001","EE001"
141,"Anija vald",2009,410.773485395705,182,164,"house","all","EE001","EE001"
141,"Anija vald",2010,399.179072501471,238,151,"house","all","EE001","EE001"
141,"Anija vald",2011,398.350900151883,281,213,"house","all","EE001","EE001"
141,"Anija vald",2012,344.519697428655,363,263,"house","all","EE001","EE001"
141,"Anija vald",2013,385.928314908061,342,262,"house","all","EE001","EE001"
141,"Anija vald",2014,357.770455022065,313,256,"house","all","EE001","EE001"
141,"Anija vald",2015,357.770455022065,277,229,"house","all","EE001","EE001"
141,"Anija vald",2016,340.378835680715,192,145,"house","all","EE001","EE001"
141,"Anija vald",2017,506.841477947926,237,172,"house","all","EE001","EE001"
141,"Anija vald",2018,652.599811475434,220,151,"house","all","EE001","EE001"
141,"Anija vald",2019,644.318087979553,108,87,"house","all","EE001","EE001"
141,"Anija vald",2020,983.040578961091,29,14,"house","all","EE001","EE001"
141,"Anija vald",2021,990.494130107384,26,25,"house","all","EE001","EE001"
141,"Anija vald",2022,1234.80497323588,36,32,"house","all","EE001","EE001"
141,"Anija vald",2023,1556.96401722565,376,335,"house","all","EE001","EE001"
141,"Anija vald",2024,1619.07694344476,504,445,"house","all","EE001","EE001"
141,"Anija vald",2025,1494.85109100655,573,485,"house","all","EE001","EE001"
142,"Antsla vald",2007,207.151763860571,37,23,"house","all","EE008","EE008"
142,"Antsla vald",2008,483.679825995202,250,159,"house","all","EE008","EE008"
142,"Antsla vald",2009,342.97296752387,236,195,"house","all","EE008","EE008"
142,"Antsla vald",2010,248.191264248043,204,156,"house","all","EE008","EE008"
142,"Antsla vald",2011,225.717252131094,178,161,"house","all","EE008","EE008"
142,"Antsla vald",2012,238.419954631978,149,133,"house","all","EE008","EE008"
142,"Antsla vald",2013,253.076919056075,142,110,"house","all","EE008","EE008"
142,"Antsla vald",2014,262.84822867214,120,94,"house","all","EE008","EE008"
142,"Antsla vald",2015,274.573800211418,168,130,"house","all","EE008","EE008"
142,"Antsla vald",2016,247.214133286436,135,103,"house","all","EE008","EE008"
142,"Antsla vald",2017,268.711014441779,111,102,"house","all","EE008","EE008"
142,"Antsla vald",2018,287.276502712302,110,103,"house","all","EE008","EE008"
142,"Antsla vald",2019,285.322240789089,90,80,"house","all","EE008","EE008"
142,"Antsla vald",2020,375.218289256884,78,62,"house","all","EE008","EE008"
142,"Antsla vald",2021,427.006230222026,86,87,"house","all","EE008","EE008"
142,"Antsla vald",2022,430.914754068452,113,112,"house","all","EE008","EE008"
142,"Antsla vald",2023,522.76506445946,275,221,"house","all","EE008","EE008"
142,"Antsla vald",2024,449.480242338975,302,281,"house","all","EE008","EE008"
142,"Antsla vald",2025,471.954254455924,220,211,"house","all","EE008","EE008"
171,"Elva vald",2007,626.510228171734,396,302,"house","all","EE008","EE008"
171,"Elva vald",2008,599.814719115149,493,388,"house","all","EE008","EE008"
171,"Elva vald",2009,486.358805624662,572,444,"house","all","EE008","EE008"
171,"Elva vald",2010,445.481307381766,848,608,"house","all","EE008","EE008"
171,"Elva vald",2011,438.80743011762,871,551,"house","all","EE008","EE008"
171,"Elva vald",2012,399.59840119076,1100,509,"house","all","EE008","EE008"
171,"Elva vald",2013,392.090289268595,989,406,"house","all","EE008","EE008"
171,"Elva vald",2014,392.090289268595,1161,399,"house","all","EE008","EE008"
171,"Elva vald",2015,411.277686403016,1036,391,"house","all","EE008","EE008"
