"nuts","year","type","nuts2021","nuts2016","variable","value"
130,2007,"house","EE00A","EE007","price_m2",881.431017731988
130,2008,"house","EE00A","EE007","price_m2",847.529824742296
130,2009,"house","EE00A","EE007","price_m2",753.017407922549
130,2010,"house","EE00A","EE007","price_m2",704.7338906342
130,2011,"house","EE00A","EE007","price_m2",635.904195776341
130,2012,"house","EE00A","EE007","price_m2",478.725937369588
130,2013,"house","EE00A","EE007","price_m2",505.435968209951
130,2014,"house","EE00A","EE007","price_m2",522.900219144035
130,2015,"house","EE00A","EE007","price_m2",530.091381293363
130,2016,"house","EE00A","EE007","price_m2",507.490585966902
130,2017,"house","EE00A","EE007","price_m2",457.152450921602
130,2018,"house","EE00A","EE007","price_m2",396.541227091547
130,2019,"house","EE00A","EE007","price_m2",578.374898581712
130,2020,"house","EE00A","EE007","price_m2",672.887315401459
130,2021,"house","EE00A","EE007","price_m2",703.706581755724
130,2022,"house","EE00A","EE007","price_m2",703.706581755724
130,2023,"house","EE00A","EE007","price_m2",957.451874739175
130,2024,"house","EE00A","EE007","price_m2",1148.53132613562
130,2025,"house","EE00A","EE007","price_m2",1190.65099015312
141,2007,"house","EE001","EE001","price_m2",630.239158036555
141,2008,"house","EE001","EE001","price_m2",600.424953451383
141,2009,"house","EE001","EE001","price_m2",410.773485395705
141,2010,"house","EE001","EE001","price_m2",399.179072501471
141,2011,"house","EE001","EE001","price_m2",398.350900151883
141,2012,"house","EE001","EE001","price_m2",344.519697428655
141,2013,"house","EE001","EE001","price_m2",385.928314908061
141,2014,"house","EE001","EE001","price_m2",357.770455022065
141,2015,"house","EE001","EE001","price_m2",357.770455022065
141,2016,"house","EE001","EE001","price_m2",340.378835680715
141,2017,"house","EE001","EE001","price_m2",506.841477947926
141,2018,"house","EE001","EE001","price_m2",652.599811475434
141,2019,"house","EE001","EE001","price_m2",644.318087979553
141,2020,"house","EE001","EE001","price_m2",983.040578961091
141,2021,"house","EE001","EE001","price_m2",990.494130107384
141,2022,"house","EE001","EE001","price_m2",1234.80497323588
141,2023,"house","EE001","EE001","price_m2",1556.96401722565
141,2024,"house","EE001","EE001","price_m2",1619.07694344476
141,2025,"house","EE001","EE001","price_m2",1494.85109100655
142,2007,"house","EE008","EE008","price_m2",207.151763860571
142,2008,"house","EE008","EE008","price_m2",483.679825995202
142,2009,"house","EE008","EE008","price_m2",342.97296752387
142,2010,"house","EE008","EE008","price_m2",248.191264248043
142,2011,"house","EE008","EE008","price_m2",225.717252131094
142,2012,"house","EE008","EE008","price_m2",238.419954631978
142,2013,"house","EE008","EE008","price_m2",253.076919056075
142,2014,"house","EE008","EE008","price_m2",262.84822867214
142,2015,"house","EE008","EE008","price_m2",274.573800211418
142,2016,"house","EE008","EE008","price_m2",247.214133286436
142,2017,"house","EE008","EE008","price_m2",268.711014441779
142,2018,"house","EE008","EE008","price_m2",287.276502712302
142,2019,"house","EE008","EE008","price_m2",285.322240789089
142,2020,"house","EE008","EE008","price_m2",375.218289256884
142,2021,"house","EE008","EE008","price_m2",427.006230222026
142,2022,"house","EE008","EE008","price_m2",430.914754068452
142,2023,"house","EE008","EE008","price_m2",522.76506445946
142,2024,"house","EE008","EE008","price_m2",449.480242338975
142,2025,"house","EE008","EE008","price_m2",471.954254455924
171,2007,"house","EE008","EE008","price_m2",626.510228171734
171,2008,"house","EE008","EE008","price_m2",599.814719115149
171,2009,"house","EE008","EE008","price_m2",486.358805624662
