"source_file","year","price_m2","advertisments_sum","actives_sum","parish","type","typev2"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2005,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2006,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2007,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2008,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2009,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2010,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2011,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2012,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2013,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2014,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2015,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2016,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2017,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2018,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2019,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2020,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2021,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2022,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2023,NA,0,0,"Alutaguse vald","house","rent"
"Hinnastatistika - Majade üürimine - Alutaguse vald VS Alutaguse vald.pdf",2024,NA,0,0,"Alutaguse vald","house","rent"
