"vald_clean","vald","year","type","number","average_price_m2","median_price_m2","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"alutaguse vald","Alutaguse vald","2004","flat",12,44.06,35.91,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2005","flat",10,114.26,93.64,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2006","flat",10,89.58,74.98,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2007","flat",15,159.56,161.12,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2008","flat",16,111.94,76,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2009","flat",18,88.49,49.44,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2010","flat",18,197.9,87.39,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2011","flat",13,139.08,79.56,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2012","flat",29,100.16,51.68,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2013","flat",23,105.32,50.41,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2014","flat",22,131.3,64.72,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2015","flat",33,183.87,137.09,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2016","flat",20,134.86,80.63,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2017","flat",30,132.9,62.57,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2018","flat",23,189.56,138.44,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2019","flat",31,129.77,46.62,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2020","flat",30,173.95,86.46,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2021","flat",34,234.62,146.58,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2022","flat",45,200.63,145.99,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2023","flat",27,284.97,197.04,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2024","flat",36,206.71,149.3,"EE00A","EE007",130
"alutaguse vald","Alutaguse vald","2025","flat",23,89.89,52.85,"EE00A","EE007",130
"anija vald","Anija vald","2003","flat",23,202.69,207.64,"EE001","EE001",141
"anija vald","Anija vald","2004","flat",53,267.95,273.91,"EE001","EE001",141
"anija vald","Anija vald","2005","flat",131,174.81,101.29,"EE001","EE001",141
"anija vald","Anija vald","2006","flat",127,398.37,378.49,"EE001","EE001",141
"anija vald","Anija vald","2007","flat",64,633.99,694.96,"EE001","EE001",141
"anija vald","Anija vald","2008","flat",43,474.28,493.31,"EE001","EE001",141
"anija vald","Anija vald","2009","flat",16,227.85,256.26,"EE001","EE001",141
"anija vald","Anija vald","2010","flat",26,215.71,190.97,"EE001","EE001",141
"anija vald","Anija vald","2011","flat",30,180.53,155.45,"EE001","EE001",141
"anija vald","Anija vald","2012","flat",47,185.51,186.91,"EE001","EE001",141
"anija vald","Anija vald","2013","flat",60,253.78,247.67,"EE001","EE001",141
"anija vald","Anija vald","2014","flat",70,284.11,275.65,"EE001","EE001",141
"anija vald","Anija vald","2015","flat",56,345.18,377.66,"EE001","EE001",141
"anija vald","Anija vald","2016","flat",59,416.18,427.85,"EE001","EE001",141
"anija vald","Anija vald","2017","flat",83,431.68,447.9,"EE001","EE001",141
"anija vald","Anija vald","2018","flat",78,505.35,556.89,"EE001","EE001",141
"anija vald","Anija vald","2019","flat",64,510.86,519.11,"EE001","EE001",141
"anija vald","Anija vald","2020","flat",64,572.38,613.72,"EE001","EE001",141
"anija vald","Anija vald","2021","flat",101,762.25,811.86,"EE001","EE001",141
"anija vald","Anija vald","2022","flat",62,984.45,1078.7,"EE001","EE001",141
"anija vald","Anija vald","2023","flat",71,1187.6,1139.13,"EE001","EE001",141
"anija vald","Anija vald","2024","flat",74,1273.51,1193.56,"EE001","EE001",141
"anija vald","Anija vald","2025","flat",76,1166.49,1103.93,"EE001","EE001",141
"antsla vald","Antsla vald","2003","flat",4,NA,NA,"EE008","EE008",142
"antsla vald","Antsla vald","2004","flat",5,39.2,28,"EE008","EE008",142
"antsla vald","Antsla vald","2005","flat",12,40.61,26.01,"EE008","EE008",142
"antsla vald","Antsla vald","2006","flat",21,65.89,63.49,"EE008","EE008",142
"antsla vald","Antsla vald","2007","flat",29,98.48,77,"EE008","EE008",142
"antsla vald","Antsla vald","2008","flat",35,111.63,89.54,"EE008","EE008",142
"antsla vald","Antsla vald","2009","flat",14,112.9,66.31,"EE008","EE008",142
"antsla vald","Antsla vald","2010","flat",15,101.53,60.87,"EE008","EE008",142
"antsla vald","Antsla vald","2011","flat",19,79.19,61.8,"EE008","EE008",142
"antsla vald","Antsla vald","2012","flat",19,80.74,65.5,"EE008","EE008",142
"antsla vald","Antsla vald","2013","flat",24,60.33,44.53,"EE008","EE008",142
"antsla vald","Antsla vald","2014","flat",31,65.09,54.49,"EE008","EE008",142
"antsla vald","Antsla vald","2015","flat",41,75.39,56.53,"EE008","EE008",142
"antsla vald","Antsla vald","2016","flat",26,92.75,65.71,"EE008","EE008",142
"antsla vald","Antsla vald","2017","flat",26,123.6,96.81,"EE008","EE008",142
"antsla vald","Antsla vald","2018","flat",37,71.92,39.11,"EE008","EE008",142
"antsla vald","Antsla vald","2019","flat",40,95.25,63.24,"EE008","EE008",142
"antsla vald","Antsla vald","2020","flat",63,79.44,45.92,"EE008","EE008",142
"antsla vald","Antsla vald","2021","flat",71,92.52,53.62,"EE008","EE008",142
"antsla vald","Antsla vald","2022","flat",88,202.88,146.69,"EE008","EE008",142
"antsla vald","Antsla vald","2023","flat",36,249.16,216.29,"EE008","EE008",142
"antsla vald","Antsla vald","2024","flat",51,243.52,181.94,"EE008","EE008",142
"antsla vald","Antsla vald","2025","flat",45,380.66,73.31,"EE008","EE008",142
"elva vald","Elva vald","2003","flat",55,175.28,154.62,"EE008","EE008",171
"elva vald","Elva vald","2004","flat",113,201.63,217.88,"EE008","EE008",171
"elva vald","Elva vald","2005","flat",147,254.67,246.34,"EE008","EE008",171
"elva vald","Elva vald","2006","flat",172,457.74,404.35,"EE008","EE008",171
"elva vald","Elva vald","2007","flat",138,496.91,434.29,"EE008","EE008",171
"elva vald","Elva vald","2008","flat",94,446.4,407.72,"EE008","EE008",171
"elva vald","Elva vald","2009","flat",43,181.36,119.83,"EE008","EE008",171
"elva vald","Elva vald","2010","flat",57,291.71,322.49,"EE008","EE008",171
"elva vald","Elva vald","2011","flat",63,336.45,319.15,"EE008","EE008",171
"elva vald","Elva vald","2012","flat",62,277.9,231.75,"EE008","EE008",171
"elva vald","Elva vald","2013","flat",107,287.92,253.49,"EE008","EE008",171
"elva vald","Elva vald","2014","flat",99,328.61,323.28,"EE008","EE008",171
"elva vald","Elva vald","2015","flat",117,356.17,328.57,"EE008","EE008",171
"elva vald","Elva vald","2016","flat",117,389.51,362.47,"EE008","EE008",171
"elva vald","Elva vald","2017","flat",150,387.73,319.5,"EE008","EE008",171
"elva vald","Elva vald","2018","flat",105,438.07,425.53,"EE008","EE008",171
"elva vald","Elva vald","2019","flat",148,528.08,446.93,"EE008","EE008",171
"elva vald","Elva vald","2020","flat",114,530.95,449.21,"EE008","EE008",171
"elva vald","Elva vald","2021","flat",138,623.08,558.52,"EE008","EE008",171
"elva vald","Elva vald","2022","flat",122,800.41,725.79,"EE008","EE008",171
"elva vald","Elva vald","2023","flat",131,917.55,811.97,"EE008","EE008",171
"elva vald","Elva vald","2024","flat",121,984.44,864.21,"EE008","EE008",171
