"year","NUTS 3 CODE 2021","vald_clean","vald","type","LAU CODE","NUTS 3 CODE 2016","number","median_price_final","average_price_final"
2003,"EE001","anija vald","Anija vald","house",141,"EE001",5,156.84,210.05
2003,"EE001","harku vald","Harku vald","house",198,"EE001",16,568.84,599.04
2003,"EE001","joelahtme vald","Jõelähtme vald","house",245,"EE001",6,338.2,348.12
2003,"EE001","keila linn","Keila linn","house",296,"EE001",6,397.99,354.5
2003,"EE001","kiili vald","Kiili vald","house",304,"EE001",7,124.43,236.39
2003,"EE001","kose vald","Kose vald","house",338,"EE001",5,105.16,165.22
2003,"EE001","kuusalu vald","Kuusalu vald","house",353,"EE001",5,137.35,164.8
2003,"EE001","laaneharju vald","Lääne-Harju vald","house",431,"EE001",9,175.93,296.22
2003,"EE001","loksa linn","Loksa linn","house",424,"EE001",2,247.896166202613,269.763734120028
2003,"EE001","maardu linn","Maardu linn","house",446,"EE001",8,354.91,435.62
2003,"EE001","raasiku vald","Raasiku vald","house",651,"EE001",7,172.89,197.92
2003,"EE001","rae vald","Rae vald","house",653,"EE001",7,341.22,448.93
2003,"EE001","saku vald","Saku vald","house",718,"EE001",11,243.88,331.89
2003,"EE001","saue vald","Saue vald","house",726,"EE001",25,876.11,705.3
2003,"EE001","tallinn","Tallinn","house",784,"EE001",156,595.45,684.5
2003,"EE001","viimsi vald","Viimsi vald","house",890,"EE001",25,514.29,514.47
2003,"EE004","haademeeste vald","Häädemeeste vald","house",214,"EE004",6,208.08,272.57
2003,"EE004","haapsalu linn","Haapsalu linn","house",184,"EE004",19,244.5,259.02
2003,"EE004","hiiumaa vald","Hiiumaa vald","house",205,"EE004",9,52.65,123.03
2003,"EE004","kihnu vald","Kihnu vald","house",303,"EE004",NA,156.2,211.133
2003,"EE004","laanenigula vald","Lääne-Nigula vald","house",441,"EE004",9,147.31,144.13
2003,"EE004","laaneranna vald","Lääneranna vald","house",430,"EE004",14,70.48,123.06
2003,"EE004","muhu vald","Muhu vald","house",478,"EE004",NA,294.599786495863,414.978318681614
2003,"EE004","parnu linn","Pärnu linn","house",624,"EE004",59,375.06,432.99
2003,"EE004","pohjaparnumaa vald","Põhja-Pärnumaa vald","house",638,"EE004",7,127.19,149.03
2003,"EE004","ruhnu vald","Ruhnu vald","house",689,"EE004",NA,156.2,211.133
2003,"EE004","saarde vald","Saarde vald","house",712,"EE004",5,70.39,83.29
2003,"EE004","saaremaa vald","Saaremaa vald","house",714,"EE004",29,165.09,231.15
2003,"EE004","tori vald","Tori vald","house",809,"EE004",18,255.46,293.06
2003,"EE004","vormsi vald","Vormsi vald","house",907,"EE004",1,202.400380988666,257.233295806486
2003,"EE008","antsla vald","Antsla vald","house",142,"EE008",3,104.969140525376,117.014326718893
2003,"EE008","elva vald","Elva vald","house",171,"EE008",17,274.98,253.91
2003,"EE008","jogeva vald","Jõgeva vald","house",247,"EE008",11,72.86,122.6
2003,"EE008","kambja vald","Kambja vald","house",283,"EE008",7,180.98,251.91
2003,"EE008","kanepi vald","Kanepi vald","house",284,"EE008",3,113.771140015302,122.020333455278
2003,"EE008","kastre vald","Kastre vald","house",291,"EE008",10,195.76,224.13
2003,"EE008","luunja vald","Luunja vald","house",432,"EE008",2,193.143218566692,212.111162804388
2003,"EE008","mulgi vald","Mulgi vald","house",480,"EE008",14,94.4,76.89
2003,"EE008","mustvee vald","Mustvee vald","house",486,"EE008",13,52.19,63.17
2003,"EE008","noo vald","Nõo vald","house",528,"EE008",2,198.873185411885,214.964327265541
2003,"EE008","otepaa vald","Otepää vald","house",557,"EE008",NA,134.476338851022,166.972931936473
2003,"EE008","peipsiaare vald","Peipsiääre vald","house",586,"EE008",5,60,80.19
2003,"EE008","pohjasakala vald","Põhja-Sakala vald","house",615,"EE008",11,61.85,71.72
2003,"EE008","poltsamaa vald","Põltsamaa vald","house",618,"EE008",15,60.9,77.15
2003,"EE008","polva vald","Põlva vald","house",622,"EE008",11,50.52,82.3
2003,"EE008","rapina vald","Räpina vald","house",708,"EE008",8,47.74,63.27
2003,"EE008","rouge vald","Rõuge vald","house",698,"EE008",3,101.107431777608,108.90442288689
2003,"EE008","setomaa vald","Setomaa vald","house",732,"EE008",3,35.4006018872737,39.8232591153553
2003,"EE008","tartu linn","Tartu linn","house",793,"EE008",62,294.37,301.65
2003,"EE008","tartu vald","Tartu vald","house",796,"EE008",5,106.83,173.13
2003,"EE008","torva vald","Tõrva vald","house",824,"EE008",NA,147.433742291464,127.778691663184
2003,"EE008","valga vald","Valga vald","house",855,"EE008",NA,92.610658876988,122.144996516829
2003,"EE008","viljandi linn","Viljandi linn","house",897,"EE008",20,225.45,250.32
2003,"EE008","viljandi vald","Viljandi vald","house",899,"EE008",16,99.37,120.78
2003,"EE008","voru linn","Võru linn","house",919,"EE008",13,206.7,194.85
2003,"EE008","voru vald","Võru vald","house",917,"EE008",13,69.47,115.45
2003,"EE009","haljala vald","Haljala vald","house",191,"EE006",13,222.53,247.12
