"vald_clean","vald","year","number","average_price_m2","median_price_m2","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE","LAU NAME NATIONAL","type"
"alutaguse vald","Alutaguse vald","2003",8,58.16,60.24,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2004",15,61.46,33.76,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2005",12,154.06,111.98,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2006",12,431.35,415.91,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2007",18,582.42,352.79,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2008",11,335.12,365.02,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2009",10,271.15,246.85,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2010",17,144.54,122.04,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2011",16,179.38,105.38,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2012",15,431.51,276.56,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2013",18,231.15,115.03,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2014",30,267.96,160.84,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2015",21,202.09,134.05,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2016",22,248.35,133.46,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2017",30,257.98,157.73,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2018",24,344.59,217.32,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2019",29,286.45,149.63,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2020",25,204.87,161.97,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2021",33,293.02,227.78,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2022",27,613.83,268.19,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2023",28,349.11,209.53,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2024",21,403.49,234.73,"EE00A","EE007",130,"Alutaguse vald","house"
"alutaguse vald","Alutaguse vald","2025",23,438.92,301.2,"EE00A","EE007",130,"Alutaguse vald","house"
"anija vald","Anija vald","2003",5,210.05,156.84,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2004",24,432.4,357.38,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2005",20,380.53,369.56,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2006",33,494.67,486.88,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2007",24,637.68,586.51,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2008",9,634.77,704.91,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2009",11,312.05,294.63,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2010",9,469.15,441.21,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2011",13,451.65,346.02,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2012",14,501.45,459.88,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2013",27,376.75,296.65,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2014",25,492.03,437.5,"EE001","EE001",141,"Anija vald","house"
"anija vald","Anija vald","2015",13,586.48,581.93,"EE001","EE001",141,"Anija vald","house"
