"Year","Quarter","County","Type of purchase-sale contract","Indicator","value"
"2001","Ascending total","Whole country","Purchase-sale contracts total","Number of contracts",41817
"2001","Ascending total","Whole country","Purchase-sale contracts total","Value of contracts, thousand euros",900634.4
"2001","Ascending total","Whole country","Purchase-sale contracts of real estate","Number of contracts",20433
"2001","Ascending total","Whole country","Purchase-sale contracts of real estate","Value of contracts, thousand euros",607546.2
"2001","Ascending total","Whole country","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",7633
"2001","Ascending total","Whole country","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",248013.5
"2001","Ascending total","Whole country","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",4837
"2001","Ascending total","Whole country","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",164902.4
"2001","Ascending total","Whole country","..purchase-sale contracts of ownership of dwellings","Number of contracts",6837
"2001","Ascending total","Whole country","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",106353.6
"2001","Ascending total","Whole country","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",1126
"2001","Ascending total","Whole country","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",88276.6
"2001","Ascending total","Whole country","Purchase-sale contracts of right of superficies","Number of contracts",126
"2001","Ascending total","Whole country","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",10763
"2001","Ascending total","Whole country","Purchase-sale contracts of movable assets**","Number of contracts",21258
"2001","Ascending total","Whole country","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",282325.2
"2001","Ascending total","Whole country","..purchase-sale contracts of residential buildings**","Number of contracts",3164
"2001","Ascending total","Whole country","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",43662.8
"2001","Ascending total","Whole country","..purchase-sale contracts of dwellings**","Number of contracts",15862
"2001","Ascending total","Whole country","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",170859.5
"2001","Ascending total","Whole country","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",2232
"2001","Ascending total","Whole country","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",67802.8
"2001","Ascending total","Harju county","Purchase-sale contracts total","Number of contracts",18455
"2001","Ascending total","Harju county","Purchase-sale contracts total","Value of contracts, thousand euros",667105.9
"2001","Ascending total","Harju county","Purchase-sale contracts of real estate","Number of contracts",7183
"2001","Ascending total","Harju county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",430547.9
"2001","Ascending total","Harju county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",2803
"2001","Ascending total","Harju county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",187195.2
"2001","Ascending total","Harju county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",1706
"2001","Ascending total","Harju county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",119739.9
"2001","Ascending total","Harju county","..purchase-sale contracts of ownership of dwellings","Number of contracts",2181
"2001","Ascending total","Harju county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",68857.8
"2001","Ascending total","Harju county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",493
"2001","Ascending total","Harju county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",54755
"2001","Ascending total","Harju county","Purchase-sale contracts of right of superficies","Number of contracts",69
"2001","Ascending total","Harju county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",8672.4
"2001","Ascending total","Harju county","Purchase-sale contracts of movable assets**","Number of contracts",11203
"2001","Ascending total","Harju county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",227885.5
"2001","Ascending total","Harju county","..purchase-sale contracts of residential buildings**","Number of contracts",1173
"2001","Ascending total","Harju county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",31055.2
"2001","Ascending total","Harju county","..purchase-sale contracts of dwellings**","Number of contracts",9369
"2001","Ascending total","Harju county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",147577.6
"2001","Ascending total","Harju county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",661
"2001","Ascending total","Harju county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",49252.7
"2001","Ascending total","Hiiu county","Purchase-sale contracts total","Number of contracts",341
"2001","Ascending total","Hiiu county","Purchase-sale contracts total","Value of contracts, thousand euros",2489.6
"2001","Ascending total","Hiiu county","Purchase-sale contracts of real estate","Number of contracts",250
"2001","Ascending total","Hiiu county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",2007
"2001","Ascending total","Hiiu county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",182
"2001","Ascending total","Hiiu county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",1159.4
"2001","Ascending total","Hiiu county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",36
"2001","Ascending total","Hiiu county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",400.6
"2001","Ascending total","Hiiu county","..purchase-sale contracts of ownership of dwellings","Number of contracts",17
"2001","Ascending total","Hiiu county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",80.7
"2001","Ascending total","Hiiu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",15
"2001","Ascending total","Hiiu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",366.3
"2001","Ascending total","Hiiu county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2001","Ascending total","Hiiu county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2001","Ascending total","Hiiu county","Purchase-sale contracts of movable assets**","Number of contracts",91
"2001","Ascending total","Hiiu county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",482.6
"2001","Ascending total","Hiiu county","..purchase-sale contracts of residential buildings**","Number of contracts",18
"2001","Ascending total","Hiiu county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",80.9
