"Year","Object","Location of the object","Indicator","Quarter","value"
"2007","Real estate objects total","Whole country","Number of transactions","1st-4th quarters",49348
"2007","Real estate objects total","Whole country","Number of transactions","1st quarter",13671
"2007","Real estate objects total","Whole country","Number of transactions","2nd quarter",13723
"2007","Real estate objects total","Whole country","Number of transactions","3rd quarter",11254
"2007","Real estate objects total","Whole country","Number of transactions","4th quarter",10700
"2007","Real estate objects total","Whole country","Value of transactions, euros","1st-4th quarters",3738466363
"2007","Real estate objects total","Whole country","Value of transactions, euros","1st quarter",1059279783
"2007","Real estate objects total","Whole country","Value of transactions, euros","2nd quarter",1088429050
"2007","Real estate objects total","Whole country","Value of transactions, euros","3rd quarter",801059425
"2007","Real estate objects total","Whole country","Value of transactions, euros","4th quarter",789698106
"2007","Real estate objects total","Harju county","Number of transactions","1st-4th quarters",21813
"2007","Real estate objects total","Harju county","Number of transactions","1st quarter",6370
"2007","Real estate objects total","Harju county","Number of transactions","2nd quarter",6462
"2007","Real estate objects total","Harju county","Number of transactions","3rd quarter",4593
"2007","Real estate objects total","Harju county","Number of transactions","4th quarter",4388
"2007","Real estate objects total","Harju county","Value of transactions, euros","1st-4th quarters",2442252127
"2007","Real estate objects total","Harju county","Value of transactions, euros","1st quarter",721660153
"2007","Real estate objects total","Harju county","Value of transactions, euros","2nd quarter",736226761
"2007","Real estate objects total","Harju county","Value of transactions, euros","3rd quarter",491068209
"2007","Real estate objects total","Harju county","Value of transactions, euros","4th quarter",493297004
"2007","Real estate objects total","..Tallinn","Number of transactions","1st-4th quarters",13848
"2007","Real estate objects total","..Tallinn","Number of transactions","1st quarter",4044
"2007","Real estate objects total","..Tallinn","Number of transactions","2nd quarter",4140
"2007","Real estate objects total","..Tallinn","Number of transactions","3rd quarter",2873
"2007","Real estate objects total","..Tallinn","Number of transactions","4th quarter",2791
"2007","Real estate objects total","..Tallinn","Value of transactions, euros","1st-4th quarters",1615800117
"2007","Real estate objects total","..Tallinn","Value of transactions, euros","1st quarter",460819988
"2007","Real estate objects total","..Tallinn","Value of transactions, euros","2nd quarter",495073193
"2007","Real estate objects total","..Tallinn","Value of transactions, euros","3rd quarter",333253552
"2007","Real estate objects total","..Tallinn","Value of transactions, euros","4th quarter",326653385
"2007","Real estate objects total","Hiiu county","Number of transactions","1st-4th quarters",538
"2007","Real estate objects total","Hiiu county","Number of transactions","1st quarter",213
"2007","Real estate objects total","Hiiu county","Number of transactions","2nd quarter",117
"2007","Real estate objects total","Hiiu county","Number of transactions","3rd quarter",118
"2007","Real estate objects total","Hiiu county","Number of transactions","4th quarter",90
"2007","Real estate objects total","Hiiu county","Value of transactions, euros","1st-4th quarters",14045868
"2007","Real estate objects total","Hiiu county","Value of transactions, euros","1st quarter",4308665
"2007","Real estate objects total","Hiiu county","Value of transactions, euros","2nd quarter",4093080
"2007","Real estate objects total","Hiiu county","Value of transactions, euros","3rd quarter",2719781
"2007","Real estate objects total","Hiiu county","Value of transactions, euros","4th quarter",2924342
"2007","Real estate objects total","Ida-Viru county","Number of transactions","1st-4th quarters",3978
"2007","Real estate objects total","Ida-Viru county","Number of transactions","1st quarter",1215
"2007","Real estate objects total","Ida-Viru county","Number of transactions","2nd quarter",944
"2007","Real estate objects total","Ida-Viru county","Number of transactions","3rd quarter",875
"2007","Real estate objects total","Ida-Viru county","Number of transactions","4th quarter",944
"2007","Real estate objects total","Ida-Viru county","Value of transactions, euros","1st-4th quarters",174652628
"2007","Real estate objects total","Ida-Viru county","Value of transactions, euros","1st quarter",40485464
"2007","Real estate objects total","Ida-Viru county","Value of transactions, euros","2nd quarter",35208223
"2007","Real estate objects total","Ida-Viru county","Value of transactions, euros","3rd quarter",39652846
"2007","Real estate objects total","Ida-Viru county","Value of transactions, euros","4th quarter",59306095
"2007","Real estate objects total","Jõgeva county","Number of transactions","1st-4th quarters",1276
"2007","Real estate objects total","Jõgeva county","Number of transactions","1st quarter",334
"2007","Real estate objects total","Jõgeva county","Number of transactions","2nd quarter",366
"2007","Real estate objects total","Jõgeva county","Number of transactions","3rd quarter",257
"2007","Real estate objects total","Jõgeva county","Number of transactions","4th quarter",319
"2007","Real estate objects total","Jõgeva county","Value of transactions, euros","1st-4th quarters",25400171
"2007","Real estate objects total","Jõgeva county","Value of transactions, euros","1st quarter",5532092
"2007","Real estate objects total","Jõgeva county","Value of transactions, euros","2nd quarter",7669733
"2007","Real estate objects total","Jõgeva county","Value of transactions, euros","3rd quarter",6262978
"2007","Real estate objects total","Jõgeva county","Value of transactions, euros","4th quarter",5935367
"2007","Real estate objects total","Järva county","Number of transactions","1st-4th quarters",1287
"2007","Real estate objects total","Järva county","Number of transactions","1st quarter",315
"2007","Real estate objects total","Järva county","Number of transactions","2nd quarter",300
"2007","Real estate objects total","Järva county","Number of transactions","3rd quarter",334
"2007","Real estate objects total","Järva county","Number of transactions","4th quarter",338
"2007","Real estate objects total","Järva county","Value of transactions, euros","1st-4th quarters",39886846
"2007","Real estate objects total","Järva county","Value of transactions, euros","1st quarter",8201520
"2007","Real estate objects total","Järva county","Value of transactions, euros","2nd quarter",13230904
"2007","Real estate objects total","Järva county","Value of transactions, euros","3rd quarter",9567446
"2007","Real estate objects total","Järva county","Value of transactions, euros","4th quarter",8886975
