"nuts","year","value","level","indicator","type.of.building"
"SE110","1998",75368,"nuts3","bldn_sec","all"
"SE110","1999",74605,"nuts3","bldn_sec","all"
"SE110","2000",74213,"nuts3","bldn_sec","all"
"SE110","2001",72130,"nuts3","bldn_sec","all"
"SE110","2002",71226,"nuts3","bldn_sec","all"
"SE110","2003",73006,"nuts3","bldn_sec","all"
"SE110","2004",72659,"nuts3","bldn_sec","all"
"SE110","2005",72283,"nuts3","bldn_sec","all"
"SE110","2006",72319,"nuts3","bldn_sec","all"
"SE110","2007",71695,"nuts3","bldn_sec","all"
"SE110","2008",71439,"nuts3","bldn_sec","all"
"SE110","2009",71310,"nuts3","bldn_sec","all"
"SE110","2010",70462,"nuts3","bldn_sec","all"
"SE110","2011",70291,"nuts3","bldn_sec","all"
"SE110","2012",70537,"nuts3","bldn_sec","all"
"SE110","2013",70399,"nuts3","bldn_sec","all"
"SE110","2014",70325,"nuts3","bldn_sec","all"
"SE110","2015",70707,"nuts3","bldn_sec","all"
"SE110","2016",70948,"nuts3","bldn_sec","all"
"SE110","2017",70781,"nuts3","bldn_sec","all"
"SE110","2018",73226,"nuts3","bldn_sec","all"
"SE110","2019",72949,"nuts3","bldn_sec","all"
"SE110","2020",72808,"nuts3","bldn_sec","all"
"SE110","2021",73660,"nuts3","bldn_sec","all"
"SE110","2022",73495,"nuts3","bldn_sec","all"
"SE110","2023",73657,"nuts3","bldn_sec","all"
"SE110","2024",74896,"nuts3","bldn_sec","all"
"SE121","1998",19731,"nuts3","bldn_sec","all"
"SE211","1998",13534,"nuts3","bldn_sec","all"
"SE121","1999",19516,"nuts3","bldn_sec","all"
"SE211","1999",13496,"nuts3","bldn_sec","all"
"SE121","2000",19492,"nuts3","bldn_sec","all"
"SE211","2000",13587,"nuts3","bldn_sec","all"
"SE121","2001",18947,"nuts3","bldn_sec","all"
"SE211","2001",13281,"nuts3","bldn_sec","all"
"SE121","2002",18617,"nuts3","bldn_sec","all"
"SE211","2002",13283,"nuts3","bldn_sec","all"
"SE121","2003",19485,"nuts3","bldn_sec","all"
"SE211","2003",13665,"nuts3","bldn_sec","all"
"SE121","2004",18866,"nuts3","bldn_sec","all"
"SE211","2004",13664,"nuts3","bldn_sec","all"
"SE121","2005",18990,"nuts3","bldn_sec","all"
"SE211","2005",13849,"nuts3","bldn_sec","all"
"SE121","2006",19086,"nuts3","bldn_sec","all"
"SE211","2006",14021,"nuts3","bldn_sec","all"
"SE121","2007",18790,"nuts3","bldn_sec","all"
"SE211","2007",14037,"nuts3","bldn_sec","all"
"SE121","2008",18692,"nuts3","bldn_sec","all"
"SE211","2008",14161,"nuts3","bldn_sec","all"
"SE121","2009",18629,"nuts3","bldn_sec","all"
"SE211","2009",14229,"nuts3","bldn_sec","all"
