"nuts","year","value","level","type.of.building","indicator"
"SE110","2013",955999,"nuts3","all","dwelling"
"SE110","2014",966339,"nuts3","all","dwelling"
"SE110","2015",981078,"nuts3","all","dwelling"
"SE110","2016",1002174,"nuts3","all","dwelling"
"SE110","2017",1016051,"nuts3","all","dwelling"
"SE110","2018",1031759,"nuts3","all","dwelling"
"SE110","2019",1046789,"nuts3","all","dwelling"
"SE110","2020",1059926,"nuts3","all","dwelling"
"SE121","2013",151343,"nuts3","all","dwelling"
"SE211","2013",160353,"nuts3","all","dwelling"
"SE121","2014",152950,"nuts3","all","dwelling"
"SE211","2014",161502,"nuts3","all","dwelling"
"SE121","2015",155750,"nuts3","all","dwelling"
"SE211","2015",162782,"nuts3","all","dwelling"
"SE121","2016",159370,"nuts3","all","dwelling"
"SE211","2016",165325,"nuts3","all","dwelling"
"SE121","2017",162535,"nuts3","all","dwelling"
"SE211","2017",167493,"nuts3","all","dwelling"
"SE121","2018",166740,"nuts3","all","dwelling"
"SE211","2018",168894,"nuts3","all","dwelling"
"SE121","2019",169855,"nuts3","all","dwelling"
"SE211","2019",170867,"nuts3","all","dwelling"
"SE121","2020",171847,"nuts3","all","dwelling"
"SE211","2020",172581,"nuts3","all","dwelling"
"SE122","2013",129224,"nuts3","all","dwelling"
"SE122","2014",129820,"nuts3","all","dwelling"
"SE122","2015",130706,"nuts3","all","dwelling"
"SE122","2016",132631,"nuts3","all","dwelling"
"SE122","2017",133697,"nuts3","all","dwelling"
"SE122","2018",135425,"nuts3","all","dwelling"
"SE122","2019",136692,"nuts3","all","dwelling"
"SE122","2020",138331,"nuts3","all","dwelling"
"SE123","2013",202806,"nuts3","all","dwelling"
"SE123","2014",204514,"nuts3","all","dwelling"
"SE123","2015",206876,"nuts3","all","dwelling"
"SE123","2016",209378,"nuts3","all","dwelling"
"SE123","2017",212552,"nuts3","all","dwelling"
"SE123","2018",215426,"nuts3","all","dwelling"
"SE123","2019",217686,"nuts3","all","dwelling"
"SE123","2020",219986,"nuts3","all","dwelling"
"SE212","2013",83555,"nuts3","all","dwelling"
"SE212","2014",84408,"nuts3","all","dwelling"
"SE212","2015",85134,"nuts3","all","dwelling"
"SE212","2016",86310,"nuts3","all","dwelling"
"SE212","2017",87315,"nuts3","all","dwelling"
"SE212","2018",88792,"nuts3","all","dwelling"
"SE212","2019",90057,"nuts3","all","dwelling"
"SE212","2020",91272,"nuts3","all","dwelling"
"SE213","2013",113274,"nuts3","all","dwelling"
"SE213","2014",113829,"nuts3","all","dwelling"
"SE213","2015",114660,"nuts3","all","dwelling"
"SE213","2016",116024,"nuts3","all","dwelling"
"SE213","2017",116830,"nuts3","all","dwelling"
"SE213","2018",118159,"nuts3","all","dwelling"
"SE213","2019",118708,"nuts3","all","dwelling"
"SE213","2020",120147,"nuts3","all","dwelling"
"SE214","2013",26143,"nuts3","all","dwelling"
"SE214","2014",26524,"nuts3","all","dwelling"
"SE214","2015",26605,"nuts3","all","dwelling"
"SE214","2016",27065,"nuts3","all","dwelling"
"SE214","2017",27317,"nuts3","all","dwelling"
"SE214","2018",27642,"nuts3","all","dwelling"
"SE214","2019",27720,"nuts3","all","dwelling"
"SE214","2020",28202,"nuts3","all","dwelling"
"SE221","2013",72803,"nuts3","all","dwelling"
"SE221","2014",73085,"nuts3","all","dwelling"
"SE221","2015",73425,"nuts3","all","dwelling"
"SE221","2016",74480,"nuts3","all","dwelling"
"SE221","2017",74992,"nuts3","all","dwelling"
"SE221","2018",75484,"nuts3","all","dwelling"
"SE221","2019",75679,"nuts3","all","dwelling"
"SE221","2020",76346,"nuts3","all","dwelling"
"SE224","2013",572970,"nuts3","all","dwelling"
"SE224","2014",576799,"nuts3","all","dwelling"
"SE224","2015",582271,"nuts3","all","dwelling"
"SE224","2016",590807,"nuts3","all","dwelling"
"SE224","2017",599214,"nuts3","all","dwelling"
"SE224","2018",607263,"nuts3","all","dwelling"
"SE224","2019",614126,"nuts3","all","dwelling"
"SE224","2020",623033,"nuts3","all","dwelling"
"SE231","2013",133005,"nuts3","all","dwelling"
"SE231","2014",134296,"nuts3","all","dwelling"
"SE231","2015",135717,"nuts3","all","dwelling"
"SE231","2016",138549,"nuts3","all","dwelling"
"SE231","2017",141146,"nuts3","all","dwelling"
"SE231","2018",143095,"nuts3","all","dwelling"
"SE231","2019",145040,"nuts3","all","dwelling"
"SE231","2020",147344,"nuts3","all","dwelling"
"SE232","2013",736337,"nuts3","all","dwelling"
"SE232","2014",741214,"nuts3","all","dwelling"
"SE232","2015",748274,"nuts3","all","dwelling"
"SE232","2016",757643,"nuts3","all","dwelling"
"SE232","2017",766205,"nuts3","all","dwelling"
"SE232","2018",774724,"nuts3","all","dwelling"
"SE232","2019",781693,"nuts3","all","dwelling"
"SE232","2020",790214,"nuts3","all","dwelling"
"SE311","2013",134638,"nuts3","all","dwelling"
"SE311","2014",134935,"nuts3","all","dwelling"
"SE311","2015",135676,"nuts3","all","dwelling"
"SE311","2016",136853,"nuts3","all","dwelling"
"SE311","2017",137521,"nuts3","all","dwelling"
"SE311","2018",139304,"nuts3","all","dwelling"
"SE311","2019",139887,"nuts3","all","dwelling"
"SE311","2020",141043,"nuts3","all","dwelling"
"SE124","2013",134501,"nuts3","all","dwelling"
"SE124","2014",134979,"nuts3","all","dwelling"
"SE124","2015",136212,"nuts3","all","dwelling"
"SE124","2016",138211,"nuts3","all","dwelling"
"SE124","2017",140117,"nuts3","all","dwelling"
"SE124","2018",142376,"nuts3","all","dwelling"
"SE124","2019",143068,"nuts3","all","dwelling"
"SE124","2020",144348,"nuts3","all","dwelling"
"SE125","2013",121920,"nuts3","all","dwelling"
"SE125","2014",122457,"nuts3","all","dwelling"
"SE125","2015",123485,"nuts3","all","dwelling"
"SE125","2016",125477,"nuts3","all","dwelling"
"SE125","2017",126547,"nuts3","all","dwelling"
"SE125","2018",128262,"nuts3","all","dwelling"
"SE125","2019",129397,"nuts3","all","dwelling"
"SE125","2020",130541,"nuts3","all","dwelling"
"SE312","2013",135081,"nuts3","all","dwelling"
"SE312","2014",135343,"nuts3","all","dwelling"
"SE312","2015",135876,"nuts3","all","dwelling"
"SE312","2016",137493,"nuts3","all","dwelling"
"SE312","2017",138213,"nuts3","all","dwelling"
"SE312","2018",139206,"nuts3","all","dwelling"
"SE312","2019",139810,"nuts3","all","dwelling"
"SE312","2020",141593,"nuts3","all","dwelling"
"SE313","2013",136440,"nuts3","all","dwelling"
"SE313","2014",136791,"nuts3","all","dwelling"
"SE313","2015",136961,"nuts3","all","dwelling"
"SE313","2016",137764,"nuts3","all","dwelling"
"SE313","2017",138842,"nuts3","all","dwelling"
"SE313","2018",139783,"nuts3","all","dwelling"
"SE313","2019",140489,"nuts3","all","dwelling"
"SE313","2020",141263,"nuts3","all","dwelling"
"SE321","2013",117447,"nuts3","all","dwelling"
"SE321","2014",117686,"nuts3","all","dwelling"
"SE321","2015",117572,"nuts3","all","dwelling"
"SE321","2016",119324,"nuts3","all","dwelling"
"SE321","2017",120034,"nuts3","all","dwelling"
"SE321","2018",120559,"nuts3","all","dwelling"
"SE321","2019",120951,"nuts3","all","dwelling"
"SE321","2020",121468,"nuts3","all","dwelling"
"SE322","2013",64177,"nuts3","all","dwelling"
"SE322","2014",64365,"nuts3","all","dwelling"
"SE322","2015",64515,"nuts3","all","dwelling"
"SE322","2016",65906,"nuts3","all","dwelling"
"SE322","2017",66755,"nuts3","all","dwelling"
"SE322","2018",67498,"nuts3","all","dwelling"
"SE322","2019",68102,"nuts3","all","dwelling"
"SE322","2020",68929,"nuts3","all","dwelling"
"SE331","2013",121057,"nuts3","all","dwelling"
"SE331","2014",121575,"nuts3","all","dwelling"
"SE331","2015",122794,"nuts3","all","dwelling"
"SE331","2016",125508,"nuts3","all","dwelling"
"SE331","2017",127596,"nuts3","all","dwelling"
"SE331","2018",128645,"nuts3","all","dwelling"
"SE331","2019",129335,"nuts3","all","dwelling"
"SE331","2020",129602,"nuts3","all","dwelling"
"SE332","2013",120295,"nuts3","all","dwelling"
"SE332","2014",121053,"nuts3","all","dwelling"
"SE332","2015",121458,"nuts3","all","dwelling"
"SE332","2016",123037,"nuts3","all","dwelling"
"SE332","2017",123811,"nuts3","all","dwelling"
"SE332","2018",124956,"nuts3","all","dwelling"
"SE332","2019",125214,"nuts3","all","dwelling"
"SE332","2020",126281,"nuts3","all","dwelling"
"SE110","2021",1073053,"nuts3","all","dwelling"
"SE110","2022",1086807,"nuts3","all","dwelling"
"SE110","2023",1101187,"nuts3","all","dwelling"
"SE110","2024",1117254,"nuts3","all","dwelling"
"SE121","2021",176027,"nuts3","all","dwelling"
"SE211","2021",174212,"nuts3","all","dwelling"
"SE121","2022",179557,"nuts3","all","dwelling"
"SE211","2022",175981,"nuts3","all","dwelling"
"SE121","2023",182007,"nuts3","all","dwelling"
"SE211","2023",177014,"nuts3","all","dwelling"
"SE121","2024",184786,"nuts3","all","dwelling"
"SE211","2024",178060,"nuts3","all","dwelling"
"SE122","2021",140166,"nuts3","all","dwelling"
"SE122","2022",142545,"nuts3","all","dwelling"
"SE122","2023",144434,"nuts3","all","dwelling"
"SE122","2024",145823,"nuts3","all","dwelling"
"SE123","2021",222726,"nuts3","all","dwelling"
"SE123","2022",224768,"nuts3","all","dwelling"
"SE123","2023",226435,"nuts3","all","dwelling"
"SE123","2024",228391,"nuts3","all","dwelling"
"SE212","2021",92264,"nuts3","all","dwelling"
"SE212","2022",93327,"nuts3","all","dwelling"
"SE212","2023",94887,"nuts3","all","dwelling"
"SE212","2024",95174,"nuts3","all","dwelling"
"SE213","2021",120858,"nuts3","all","dwelling"
"SE213","2022",121961,"nuts3","all","dwelling"
"SE213","2023",122375,"nuts3","all","dwelling"
"SE213","2024",122865,"nuts3","all","dwelling"
"SE214","2021",28456,"nuts3","all","dwelling"
"SE214","2022",28798,"nuts3","all","dwelling"
"SE214","2023",28981,"nuts3","all","dwelling"
"SE214","2024",29106,"nuts3","all","dwelling"
"SE221","2021",76926,"nuts3","all","dwelling"
"SE221","2022",77341,"nuts3","all","dwelling"
"SE221","2023",77572,"nuts3","all","dwelling"
