"nuts","sex","year","measure","value","level"
"SE","men",2007,"average_salary",23575,"nuts0"
"SE","men",2008,"average_salary",24778,"nuts0"
"SE","men",2009,"average_salary",25427,"nuts0"
"SE","men",2010,"average_salary",25771,"nuts0"
"SE","men",2011,"average_salary",26305,"nuts0"
"SE","men",2012,"average_salary",26930,"nuts0"
"SE","men",2013,"average_salary",27739,"nuts0"
"SE","men",2014,"average_salary",28491,"nuts0"
"SE","men",2015,"average_salary",29068,"nuts0"
"SE","men",2016,"average_salary",29804,"nuts0"
"SE","men",2017,"average_salary",30570,"nuts0"
"SE","men",2018,"average_salary",31293,"nuts0"
"SE","men",2019,"average_salary",32061,"nuts0"
"SE","men",2020,"average_salary",32734,"nuts0"
"SE","men",2021,"average_salary",33488,"nuts0"
"SE","men",2022,"average_salary",34217,"nuts0"
"SE","men",2023,"average_salary",35342,"nuts0"
"SE","men",2024,"average_salary",36557,"nuts0"
"SE","total",2007,"average_salary",21925,"nuts0"
"SE","total",2008,"average_salary",23295,"nuts0"
"SE","total",2009,"average_salary",24161,"nuts0"
"SE","total",2010,"average_salary",24607,"nuts0"
"SE","total",2011,"average_salary",25126,"nuts0"
"SE","total",2012,"average_salary",25645,"nuts0"
"SE","total",2013,"average_salary",26532,"nuts0"
"SE","total",2014,"average_salary",27333,"nuts0"
"SE","total",2015,"average_salary",28100,"nuts0"
"SE","total",2016,"average_salary",29083,"nuts0"
"SE","total",2017,"average_salary",29911,"nuts0"
"SE","total",2018,"average_salary",30697,"nuts0"
"SE","total",2019,"average_salary",31568,"nuts0"
"SE","total",2020,"average_salary",32357,"nuts0"
"SE","total",2021,"average_salary",33182,"nuts0"
"SE","total",2022,"average_salary",33917,"nuts0"
"SE","total",2023,"average_salary",35056,"nuts0"
"SE","total",2024,"average_salary",36313,"nuts0"
"SE","women",2007,"average_salary",21504,"nuts0"
"SE","women",2008,"average_salary",22913,"nuts0"
"SE","women",2009,"average_salary",23842,"nuts0"
"SE","women",2010,"average_salary",24292,"nuts0"
"SE","women",2011,"average_salary",24825,"nuts0"
"SE","women",2012,"average_salary",25326,"nuts0"
