nuts,year,type.of.building,value,level
SE221,2013,all,95.5545980695045,nuts3
SE221,2013,flat,64.8840250936115,nuts3
SE221,2013,house,117.765481059264,nuts3
SE221,2013,other,74.2279410807536,nuts3
SE110,2013,all,85.1030395072895,nuts3
SE110,2013,flat,67.975368067364,nuts3
SE110,2013,house,123.281572674802,nuts3
SE110,2013,other,69.906999440128,nuts3
SE224,2013,all,96.5469091664928,nuts3
SE224,2013,flat,69.2740590077651,nuts3
SE224,2013,house,124.108177924536,nuts3
SE224,2013,other,80.3262397335122,nuts3
SE231,2013,all,103.983612988963,nuts3
SE231,2013,flat,69.3298565277824,nuts3
SE231,2013,house,124.339685430789,nuts3
SE231,2013,other,76.9156778656193,nuts3
SE232,2013,all,91.8515659114918,nuts3
SE232,2013,flat,66.3917125599174,nuts3
SE232,2013,house,119.515279135188,nuts3
SE232,2013,other,72.5339898807585,nuts3
SE311,2013,all,94.5500575895684,nuts3
SE311,2013,flat,65.2811272114624,nuts3
SE311,2013,house,118.020135683926,nuts3
SE311,2013,other,72.1880540342473,nuts3
SE124,2013,all,92.0451444873847,nuts3
SE124,2013,flat,67.3477150980361,nuts3
SE124,2013,house,117.722173287899,nuts3
SE124,2013,other,71.9312277246724,nuts3
SE125,2013,all,91.3796901993383,nuts3
SE125,2013,flat,67.8169068491304,nuts3
SE125,2013,house,121.474492486075,nuts3
SE125,2013,other,81.0763122318708,nuts3
SE312,2013,all,94.0247403029053,nuts3
SE312,2013,flat,63.7560798605006,nuts3
SE312,2013,house,114.043842340258,nuts3
SE312,2013,other,72.6271545091305,nuts3
SE313,2013,all,91.5063923395196,nuts3
SE313,2013,flat,64.4584192616988,nuts3
SE313,2013,house,113.923612235171,nuts3
SE313,2013,other,75.511021001341,nuts3
SE321,2013,all,94.825050903137,nuts3
SE321,2013,flat,67.1189876606777,nuts3
SE321,2013,house,118.581834471072,nuts3
SE321,2013,other,74.0565843472819,nuts3
SE322,2013,all,92.4852149802139,nuts3
SE322,2013,flat,65.9518192092873,nuts3
SE322,2013,house,112.917163025403,nuts3
SE322,2013,other,67.7269251247264,nuts3
SE331,2013,all,94.6648450370776,nuts3
SE331,2013,flat,67.3739599495093,nuts3
SE331,2013,house,119.930103503256,nuts3
SE331,2013,other,69.9973641952713,nuts3
SE332,2013,all,91.6222135122042,nuts3
SE332,2013,flat,65.2347256562001,nuts3
SE332,2013,house,114.245376652844,nuts3
SE332,2013,other,71.1630312721305,nuts3
SE121,2013,all,94.0829135221557,nuts3
SE121,2013,flat,68.8740117232222,nuts3
SE121,2013,house,121.336348917605,nuts3
SE121,2013,other,76.7373120480834,nuts3
SE122,2013,all,91.2677914517147,nuts3
SE122,2013,flat,68.0441587490758,nuts3
SE122,2013,house,117.848564826574,nuts3
SE122,2013,other,76.0384250686209,nuts3
SE123,2013,all,91.8614148738431,nuts3
SE123,2013,flat,68.5702420617318,nuts3
SE123,2013,house,120.764265438244,nuts3
SE123,2013,other,73.4068764697428,nuts3
SE211,2013,all,100.720855660101,nuts3
SE211,2013,flat,68.1934812323738,nuts3
SE211,2013,house,126.034825964096,nuts3
SE211,2013,other,75.3639524489969,nuts3
SE212,2013,all,103.491284487198,nuts3
SE212,2013,flat,67.9969852749533,nuts3
SE212,2013,house,125.780970111485,nuts3
