year,LAU_CODE,type.of.building,avg_floor_m2
2013,114,house,124
2014,114,house,124.1
2015,114,house,124
2016,114,house,124
2017,114,house,124.2
2018,114,house,124
2013,114,flat,69.5
2014,114,flat,69.3
2015,114,flat,69.3
2016,114,flat,69.4
2017,114,flat,69.5
2018,114,flat,69.1
2013,114,other,83.1
2014,114,other,83.8
2015,114,other,93.5
2016,114,other,84.7
2017,114,other,83.4
2018,114,other,83.4
2013,115,house,121.8
2014,115,house,121.9
2015,115,house,122
2016,115,house,122.5
2017,115,house,122.9
2018,115,house,123.1
2013,115,flat,71.6
2014,115,flat,71.6
2015,115,flat,71.6
2016,115,flat,71.1
2017,115,flat,71.1
2018,115,flat,69.9
2013,115,other,82.5
2014,115,other,83.4
2015,115,other,81.5
2016,115,other,80.5
2017,115,other,80.5
2018,115,other,80.2
2013,117,house,121.1
2014,117,house,121.6
2015,117,house,122
2016,117,house,122.4
2017,117,house,122.9
2018,117,house,123.1
2013,117,flat,70
2014,117,flat,70.2
2015,117,flat,70.5
2016,117,flat,70.8
2017,117,flat,71
2018,117,flat,70.7
2013,117,other,66.9
2014,117,other,66.9
2015,117,other,67
2016,117,other,67
2017,117,other,66.9
2018,117,other,66.9
2013,120,house,106.1
2014,120,house,105.7
2015,120,house,105.3
2016,120,house,105.1
2017,120,house,105.9
2018,120,house,106.7
2013,120,flat,67.9
2014,120,flat,67.9
2015,120,flat,67.8
2016,120,flat,67.1
2017,120,flat,66.3
2018,120,flat,65.7
2013,120,other,84.2
2014,120,other,84.2
2015,120,other,84.7
2016,120,other,85
2017,120,other,85.5
2018,120,other,85.9
2013,123,house,123.3
2014,123,house,123.2
2015,123,house,123.2
2016,123,house,123.2
2017,123,house,123.2
2018,123,house,123.2
2013,123,flat,72.1
2014,123,flat,71.9
2015,123,flat,71.7
2016,123,flat,71.5
2017,123,flat,71.1
2018,123,flat,70.9
2013,123,other,73.6
2014,123,other,74.7
2015,123,other,74.6
2016,123,other,74.2
2017,123,other,74.5
2018,123,other,67.2
2013,125,house,119.6
2014,125,house,119.4
2015,125,house,119.6
2016,125,house,119.4
2017,125,house,119.9
2018,125,house,120.4
2013,125,flat,73.6
2014,125,flat,73.6
2015,125,flat,73.6
2016,125,flat,73.4
2017,125,flat,73.2
2018,125,flat,73.4
2013,125,other,76.9
2014,125,other,76.9
2015,125,other,77.4
2016,125,other,77.4
2017,125,other,77.4
2018,125,other,78.1
2013,126,house,120.9
2014,126,house,120.9
2015,126,house,121.3
2016,126,house,121.6
2017,126,house,121.9
2018,126,house,121.9
2013,126,flat,67.5
2014,126,flat,67.5
2015,126,flat,67.3
2016,126,flat,67.3
2017,126,flat,67
2018,126,flat,66.7
2013,126,other,70.8
2014,126,other,70.8
2015,126,other,70.5
2016,126,other,70.2
2017,126,other,69.9
2018,126,other,69.1
2013,127,house,123.2
2014,127,house,123.1
2015,127,house,123.4
2016,127,house,123.2
2017,127,house,123.2
2018,127,house,123.2
2013,127,flat,72.1
2014,127,flat,72
2015,127,flat,71.8
2016,127,flat,71.4
2017,127,flat,70.9
2018,127,flat,70
2013,127,other,62.1
2014,127,other,62.4
2015,127,other,69.5
2016,127,other,64.9
2017,127,other,65
2018,127,other,64.9
2013,128,house,128
2014,128,house,128
2015,128,house,128.1
2016,128,house,128.1
2017,128,house,128.3
2018,128,house,128.5
2013,128,flat,73.9
2014,128,flat,74
2015,128,flat,74
2016,128,flat,74.1
2017,128,flat,74
2018,128,flat,74
2013,128,other,135.5
2014,128,other,121.5
2015,128,other,143
2016,128,other,72
2017,128,other,71.8
2018,128,other,71.8
2013,136,house,114.6
2014,136,house,114.8
2015,136,house,115.1
2016,136,house,115.3
2017,136,house,115.3
2018,136,house,115.4
2013,136,flat,71.7
2014,136,flat,71.7
2015,136,flat,71.6
2016,136,flat,71.3
2017,136,flat,70.9
2018,136,flat,70.5
2013,136,other,74.6
2014,136,other,74.6
2015,136,other,73.5
2016,136,other,73.5
2017,136,other,73.2
2018,136,other,72.9
2013,138,house,119.5
2014,138,house,119.4
2015,138,house,119.7
2016,138,house,119.8
2017,138,house,119.6
2018,138,house,119.6
2013,138,flat,75.8
2014,138,flat,75.8
2015,138,flat,75.6
2016,138,flat,74.9
2017,138,flat,74.3
2018,138,flat,73.8
2013,138,other,65.2
2014,138,other,65.7
2015,138,other,66.6
2016,138,other,67.3
2017,138,other,67.3
2018,138,other,67.5
2013,139,house,120.6
2014,139,house,120.3
2015,139,house,120.2
2016,139,house,120.8
2017,139,house,120.7
2018,139,house,120.7
2013,139,flat,72.4
2014,139,flat,71.9
2015,139,flat,71.9
2016,139,flat,71.6
2017,139,flat,71.2
2018,139,flat,70
2013,139,other,89.9
2014,139,other,89.9
2015,139,other,89.9
2016,139,other,82.1
2017,139,other,90.4
2018,139,other,113.6
2013,140,house,118.8
2014,140,house,118.6
2015,140,house,119.2
2016,140,house,119
2017,140,house,119
2018,140,house,118.6
2013,140,flat,63.2
2014,140,flat,63.8
2015,140,flat,65.2
2016,140,flat,65.1
2017,140,flat,64.5
2018,140,flat,63.7
2013,140,other,75.9
2014,140,other,75.9
2015,140,other,72.4
2016,140,other,75.5
2017,140,other,75.5
2018,140,other,75.1
2013,160,house,137.7
2014,160,house,137.8
2015,160,house,137.9
2016,160,house,137.9
2017,160,house,138
2018,160,house,138
2013,160,flat,75.7
2014,160,flat,75.8
2015,160,flat,75.9
2016,160,flat,75.5
2017,160,flat,74.9
2018,160,flat,74.2
2013,160,other,84.5
2014,160,other,84.2
2015,160,other,87.8
2016,160,other,87.2
