"year","LAU_CODE","type.of.building","avg_floor_m2"
2013,"114","house",766922
2014,"114","house",770362
2015,"114","house",785387
2016,"114","house",793986
2017,"114","house",813812
2018,"114","house",832200
2019,"114","house",840836
2020,"114","house",846010
2013,"114","flat",794650
2014,"114","flat",800750
2015,"114","flat",827506
2016,"114","flat",842166
2017,"114","flat",850810
2018,"114","flat",866156
2019,"114","flat",889720
2020,"114","flat",904262
2013,"114","other",12302
2014,"114","other",11899
2015,"114","other",6358
2016,"114","other",3896
2017,"114","other",3836
2018,"114","other",3836
2019,"114","other",3836
2020,"114","other",4046
2013,"115","house",976214
2014,"115","house",988842
2015,"115","house",1003926
2016,"115","house",1020114
2017,"115","house",1036492
2018,"115","house",1047450
2019,"115","house",1056940
2020,"115","house",1062402
2013,"115","flat",276975
2014,"115","flat",278358
2015,"115","flat",279813
2016,"115","flat",284369
2017,"115","flat",284648
2018,"115","flat",292732
2019,"115","flat",300197
2020,"115","flat",303502
2013,"115","other",5860
2014,"115","other",4839
2015,"115","other",3828
2016,"115","other",3703
2017,"115","other",3703
2018,"115","other",3768
2019,"115","other",3768
2020,"115","other",3768
2013,"117","house",1418166
2014,"117","house",1434230
2015,"117","house",1447428
2016,"117","house",1472922
2017,"117","house",1491802
2018,"117","house",1510360
2019,"117","house",1543246
2020,"117","house",1565396
2013,"117","flat",291078
2014,"117","flat",298435
2015,"117","flat",318804
2016,"117","flat",324546
2017,"117","flat",335412
2018,"117","flat",338214
2019,"117","flat",349598
2020,"117","flat",366068
2013,"117","other",17596
2014,"117","other",18205
2015,"117","other",18215
2016,"117","other",18170
2017,"117","other",18260
2018,"117","other",18260
2019,"117","other",18260
2020,"117","other",22568
2013,"120","house",1193976
2014,"120","house",1201460
2015,"120","house",1203492
2016,"120","house",1209397
2017,"120","house",1244519
2018,"120","house",1268128
2019,"120","house",1270134
2020,"120","house",1299196
2013,"120","flat",293436
2014,"120","flat",305702
2015,"120","flat",320815
2016,"120","flat",333530
2017,"120","flat",371598
2018,"120","flat",399611
2019,"120","flat",408163
2020,"120","flat",409086
2013,"120","other",12800
2014,"120","other",12800
2015,"120","other",12795
2016,"120","other",12920
2017,"120","other",12905
2018,"120","other",14268
2019,"120","other",14408
2020,"120","other",14218
2013,"123","house",1381574
2014,"123","house",1384634
2015,"123","house",1385858
2016,"123","house",1386103
2017,"123","house",1382946
2018,"123","house",1385276
2019,"123","house",1384435
2020,"123","house",1384716
2013,"123","flat",1255458
2014,"123","flat",1285842
2015,"123","flat",1350538
2016,"123","flat",1392348
2017,"123","flat",1437549
2018,"123","flat",1461060
2019,"123","flat",1516388
2020,"123","flat",1555050
2013,"123","other",12956
2014,"123","other",13811
2015,"123","other",13650
2016,"123","other",13731
2017,"123","other",13489
2018,"123","other",14305
2019,"123","other",14305
2020,"123","other",14305
2013,"125","house",950344
2014,"125","house",957756
2015,"125","house",965950
2016,"125","house",968462
2017,"125","house",981946
2018,"125","house",998182
2019,"125","house",998316
2020,"125","house",1001266
2013,"125","flat",88152
2014,"125","flat",88152
2015,"125","flat",87855
2016,"125","flat",95090
2017,"125","flat",95933
2018,"125","flat",99098
2019,"125","flat",99098
2020,"125","flat",99098
2013,"125","other",5767
2014,"125","other",5767
2015,"125","other",6189
2016,"125","other",6350
2017,"125","other",6350
2018,"125","other",6324
2019,"125","other",6324
2020,"125","other",6324
2013,"126","house",2200788
2014,"126","house",2222798
2015,"126","house",2244394
2016,"126","house",2268420
2017,"126","house",2298483
