"year","level","code","type.of.building","value","measure"
2018,"laucode","114","all",3535,"offer_pricem2"
2018,"laucode","114","flat",3533,"offer_pricem2"
2018,"laucode","114","house",3554,"offer_pricem2"
2018,"laucode","115","all",3300,"offer_pricem2"
2018,"laucode","115","flat",3178,"offer_pricem2"
2018,"laucode","115","house",3445,"offer_pricem2"
2018,"laucode","117","all",3737,"offer_pricem2"
2018,"laucode","117","flat",3808,"offer_pricem2"
2018,"laucode","117","house",3711,"offer_pricem2"
2018,"laucode","120","all",4297,"offer_pricem2"
2018,"laucode","120","flat",4710,"offer_pricem2"
2018,"laucode","120","house",3963,"offer_pricem2"
2018,"laucode","123","all",3854,"offer_pricem2"
2018,"laucode","123","flat",3862,"offer_pricem2"
2018,"laucode","123","house",3421,"offer_pricem2"
2018,"laucode","125","all",3940,"offer_pricem2"
2018,"laucode","125","flat",3882,"offer_pricem2"
2018,"laucode","125","house",3941,"offer_pricem2"
2018,"laucode","126","all",3977,"offer_pricem2"
2018,"laucode","126","flat",4004,"offer_pricem2"
2018,"laucode","126","house",3787,"offer_pricem2"
2018,"laucode","127","all",3328,"offer_pricem2"
2018,"laucode","127","flat",3350,"offer_pricem2"
2018,"laucode","127","house",3242,"offer_pricem2"
2018,"laucode","128","all",3281,"offer_pricem2"
2018,"laucode","128","flat",3381,"offer_pricem2"
2018,"laucode","128","house",2764,"offer_pricem2"
2018,"laucode","136","all",3460,"offer_pricem2"
2018,"laucode","136","flat",3459,"offer_pricem2"
2018,"laucode","136","house",3467,"offer_pricem2"
2018,"laucode","138","all",3874,"offer_pricem2"
2018,"laucode","138","flat",3832,"offer_pricem2"
2018,"laucode","138","house",3984,"offer_pricem2"
2018,"laucode","139","all",3265,"offer_pricem2"
2018,"laucode","139","flat",3252,"offer_pricem2"
2018,"laucode","139","house",3376,"offer_pricem2"
2018,"laucode","140","all",3232,"offer_pricem2"
2018,"laucode","140","flat",3568,"offer_pricem2"
2018,"laucode","140","house",2897,"offer_pricem2"
2018,"laucode","160","all",4759,"offer_pricem2"
2018,"laucode","160","flat",4757,"offer_pricem2"
2018,"laucode","160","house",4770,"offer_pricem2"
2018,"laucode","162","all",5797,"offer_pricem2"
2018,"laucode","162","flat",5622,"offer_pricem2"
2018,"laucode","162","house",6603,"offer_pricem2"
2018,"laucode","163","all",4263,"offer_pricem2"
2018,"laucode","163","flat",4230,"offer_pricem2"
2018,"laucode","163","house",4525,"offer_pricem2"
2018,"laucode","180","all",6354,"offer_pricem2"
2018,"laucode","180","flat",6363,"offer_pricem2"
2018,"laucode","180","house",4685,"offer_pricem2"
2018,"laucode","181","all",3003,"offer_pricem2"
2018,"laucode","181","flat",3000,"offer_pricem2"
2018,"laucode","181","house",3013,"offer_pricem2"
2018,"laucode","182","all",5474,"offer_pricem2"
2018,"laucode","182","flat",5495,"offer_pricem2"
2018,"laucode","182","house",5224,"offer_pricem2"
2018,"laucode","183","all",5063,"offer_pricem2"
2018,"laucode","183","flat",5066,"offer_pricem2"
2018,"laucode","183","house",4718,"offer_pricem2"
2018,"laucode","184","all",5531,"offer_pricem2"
2018,"laucode","184","flat",5529,"offer_pricem2"
2018,"laucode","184","house",6073,"offer_pricem2"
2018,"laucode","186","all",5848,"offer_pricem2"
2018,"laucode","186","flat",5780,"offer_pricem2"
2018,"laucode","186","house",6251,"offer_pricem2"
2018,"laucode","187","all",3945,"offer_pricem2"
2018,"laucode","187","flat",3843,"offer_pricem2"
2018,"laucode","187","house",4234,"offer_pricem2"
2018,"laucode","188","all",2818,"offer_pricem2"
2018,"laucode","188","flat",2957,"offer_pricem2"
2018,"laucode","188","house",2593,"offer_pricem2"
2018,"laucode","191","all",3394,"offer_pricem2"
2018,"laucode","191","flat",3400,"offer_pricem2"
2018,"laucode","191","house",3380,"offer_pricem2"
2018,"laucode","192","all",2728,"offer_pricem2"
2018,"laucode","192","flat",2524,"offer_pricem2"
2018,"laucode","192","house",2804,"offer_pricem2"
2018,"laucode","305","all",2775,"offer_pricem2"
2018,"laucode","305","flat",3002,"offer_pricem2"
2018,"laucode","305","house",2724,"offer_pricem2"
2018,"laucode","319","all",1540,"offer_pricem2"
2018,"laucode","319","flat",1245,"offer_pricem2"
2018,"laucode","319","house",1546,"offer_pricem2"
2018,"laucode","330","all",3369,"offer_pricem2"
2018,"laucode","330","flat",3511,"offer_pricem2"
2018,"laucode","330","house",2999,"offer_pricem2"
2018,"laucode","331","all",1475,"offer_pricem2"
2018,"laucode","331","flat",1182,"offer_pricem2"
2018,"laucode","331","house",1481,"offer_pricem2"
2018,"laucode","360","all",1387,"offer_pricem2"
2018,"laucode","360","flat",1362,"offer_pricem2"
2018,"laucode","360","house",1394,"offer_pricem2"
2018,"laucode","380","all",3757,"offer_pricem2"
2018,"laucode","380","flat",3777,"offer_pricem2"
2018,"laucode","380","house",3349,"offer_pricem2"
2018,"laucode","381","all",2358,"offer_pricem2"
2018,"laucode","381","flat",2368,"offer_pricem2"
2018,"laucode","381","house",2334,"offer_pricem2"
2018,"laucode","382","all",1775,"offer_pricem2"
2018,"laucode","382","flat",1838,"offer_pricem2"
2018,"laucode","382","house",1669,"offer_pricem2"
2018,"laucode","428","all",1432,"offer_pricem2"
2018,"laucode","428","flat",453,"offer_pricem2"
2018,"laucode","428","house",1436,"offer_pricem2"
2018,"laucode","461","all",1959,"offer_pricem2"
2018,"laucode","461","flat",2059,"offer_pricem2"
2018,"laucode","461","house",1895,"offer_pricem2"
2018,"laucode","480","all",2231,"offer_pricem2"
2018,"laucode","480","flat",2180,"offer_pricem2"
2018,"laucode","480","house",2508,"offer_pricem2"
2018,"laucode","481","all",1084,"offer_pricem2"
2018,"laucode","481","flat",773,"offer_pricem2"
2018,"laucode","481","house",1395,"offer_pricem2"
2018,"laucode","482","all",1504,"offer_pricem2"
2018,"laucode","482","flat",620,"offer_pricem2"
2018,"laucode","482","house",1839,"offer_pricem2"
2018,"laucode","483","all",1634,"offer_pricem2"
2018,"laucode","483","flat",1423,"offer_pricem2"
2018,"laucode","483","house",1904,"offer_pricem2"
2018,"laucode","484","all",2460,"offer_pricem2"
2018,"laucode","484","flat",2523,"offer_pricem2"
2018,"laucode","484","house",2207,"offer_pricem2"
2018,"laucode","488","all",2731,"offer_pricem2"
2018,"laucode","488","flat",2715,"offer_pricem2"
2018,"laucode","488","house",2754,"offer_pricem2"
2018,"laucode","509","all",1034,"offer_pricem2"
2018,"laucode","509","flat",2828,"offer_pricem2"
2018,"laucode","509","house",781,"offer_pricem2"
2018,"laucode","512","all",546,"offer_pricem2"
2018,"laucode","512","house",546,"offer_pricem2"
2018,"laucode","513","all",1712,"offer_pricem2"
2018,"laucode","513","house",1712,"offer_pricem2"
2018,"laucode","560","all",961,"offer_pricem2"
2018,"laucode","560","flat",783,"offer_pricem2"
2018,"laucode","560","house",980,"offer_pricem2"
2018,"laucode","561","all",1216,"offer_pricem2"
2018,"laucode","561","flat",1280,"offer_pricem2"
2018,"laucode","561","house",1102,"offer_pricem2"
2018,"laucode","562","all",987,"offer_pricem2"
2018,"laucode","562","flat",623,"offer_pricem2"
2018,"laucode","562","house",1220,"offer_pricem2"
2018,"laucode","563","all",1109,"offer_pricem2"
2018,"laucode","563","house",1109,"offer_pricem2"
2018,"laucode","580","all",3401,"offer_pricem2"
2018,"laucode","580","flat",3456,"offer_pricem2"
2018,"laucode","580","house",2452,"offer_pricem2"
2018,"laucode","581","all",2589,"offer_pricem2"
2018,"laucode","581","flat",2556,"offer_pricem2"
2018,"laucode","581","house",2711,"offer_pricem2"
2018,"laucode","582","all",3085,"offer_pricem2"
2018,"laucode","582","flat",2176,"offer_pricem2"
