"year","type","nuts","value","level","measure"
2013,"all","SE110",3644,"nuts3","price_m2"
2013,"flat","SE110",4284,"nuts3","price_m2"
2013,"house","SE110",1768,"nuts3","price_m2"
2014,"all","SE110",3978,"nuts3","price_m2"
2014,"flat","SE110",4720,"nuts3","price_m2"
2014,"house","SE110",1938,"nuts3","price_m2"
2015,"all","SE110",4434,"nuts3","price_m2"
2015,"flat","SE110",5315,"nuts3","price_m2"
2015,"house","SE110",2168,"nuts3","price_m2"
2016,"all","SE110",4775,"nuts3","price_m2"
2016,"flat","SE110",5760,"nuts3","price_m2"
2016,"house","SE110",2334,"nuts3","price_m2"
2017,"all","SE110",5007,"nuts3","price_m2"
2017,"flat","SE110",6061,"nuts3","price_m2"
2017,"house","SE110",2448,"nuts3","price_m2"
2018,"all","SE110",4796,"nuts3","price_m2"
2018,"flat","SE110",5776,"nuts3","price_m2"
2018,"house","SE110",2333,"nuts3","price_m2"
2019,"all","SE110",4771,"nuts3","price_m2"
2019,"flat","SE110",5737,"nuts3","price_m2"
2019,"house","SE110",2317,"nuts3","price_m2"
2020,"all","SE110",5062,"nuts3","price_m2"
2020,"flat","SE110",6121,"nuts3","price_m2"
2020,"house","SE110",2464,"nuts3","price_m2"
2021,"all","SE110",5870,"nuts3","price_m2"
2021,"flat","SE110",7178,"nuts3","price_m2"
2021,"house","SE110",2865,"nuts3","price_m2"
2022,"all","SE110",6083,"nuts3","price_m2"
2022,"flat","SE110",7451,"nuts3","price_m2"
2022,"house","SE110",2969,"nuts3","price_m2"
2023,"all","SE110",5492,"nuts3","price_m2"
2023,"flat","SE110",6746,"nuts3","price_m2"
2023,"house","SE110",2663,"nuts3","price_m2"
2024,"all","SE110",5520,"nuts3","price_m2"
2024,"flat","SE110",6723,"nuts3","price_m2"
2024,"house","SE110",2652,"nuts3","price_m2"
2013,"all","SE121",1763,"nuts3","price_m2"
2013,"flat","SE121",2148,"nuts3","price_m2"
2013,"house","SE121",1030,"nuts3","price_m2"
2014,"all","SE121",1845,"nuts3","price_m2"
2014,"flat","SE121",2283,"nuts3","price_m2"
2014,"house","SE121",1089,"nuts3","price_m2"
2015,"all","SE121",1995,"nuts3","price_m2"
2015,"flat","SE121",2500,"nuts3","price_m2"
2015,"house","SE121",1183,"nuts3","price_m2"
2016,"all","SE121",2141,"nuts3","price_m2"
2016,"flat","SE121",2691,"nuts3","price_m2"
2016,"house","SE121",1268,"nuts3","price_m2"
2017,"all","SE121",2291,"nuts3","price_m2"
2017,"flat","SE121",2927,"nuts3","price_m2"
2017,"house","SE121",1356,"nuts3","price_m2"
2018,"all","SE121",2322,"nuts3","price_m2"
2018,"flat","SE121",2968,"nuts3","price_m2"
2018,"house","SE121",1369,"nuts3","price_m2"
2019,"all","SE121",2400,"nuts3","price_m2"
2019,"flat","SE121",3093,"nuts3","price_m2"
2019,"house","SE121",1407,"nuts3","price_m2"
