"laucode","year","value","type.of.building"
"1060",1990,491,"all"
"1060",1991,502,"all"
"1060",1992,500,"all"
"1060",1993,493,"all"
"1060",1994,497,"all"
"1060",1995,497,"all"
"1060",1996,498,"all"
"1060",1997,502,"all"
"1060",1998,506,"all"
"1060",1999,514,"all"
"1060",2000,525,"all"
"1060",2001,535,"all"
"1060",2002,541,"all"
"1060",2003,549,"all"
"1060",2004,559,"all"
"1060",2005,579,"all"
"1060",2006,604,"all"
"1060",2007,626,"all"
"1060",2008,641,"all"
"1060",2009,658,"all"
"1060",2010,677,"all"
"1060",2011,679,"all"
"1060",2012,681,"all"
"1060",2013,695,"all"
"1060",2014,672,"all"
"1060",2015,696,"all"
"1060",2016,739,"all"
"1060",2017,774,"all"
"1060",2018,810,"all"
"1060",2019,785,"all"
"1060",2020,805,"all"
"1060",2021,852,"all"
"1060",2022,862,"all"
"1060",2023,819,"all"
"1060",2024,806,"all"
"1080",1990,1012,"all"
"1080",1991,1034,"all"
"1080",1992,1030,"all"
"1080",1993,1015,"all"
"1080",1994,1024,"all"
"1080",1995,1024,"all"
"1080",1996,1026,"all"
"1080",1997,1034,"all"
"1080",1998,1042,"all"
"1080",1999,1058,"all"
"1080",2000,1084,"all"
"1080",2001,1101,"all"
"1080",2002,1113,"all"
"1080",2003,1132,"all"
"1080",2004,1153,"all"
"1080",2005,1211,"all"
"1080",2006,1281,"all"
"1080",2007,1346,"all"
"1080",2008,1394,"all"
"1080",2009,1447,"all"
"1080",2010,1506,"all"
"1080",2011,1528,"all"
"1080",2012,1552,"all"
"1080",2013,1598,"all"
"1080",2014,1642,"all"
"1080",2015,1725,"all"
"1080",2016,1849,"all"
"1080",2017,1952,"all"
"1080",2018,2053,"all"
"1080",2019,2046,"all"
"1080",2020,2107,"all"
"1080",2021,2238,"all"
"1080",2022,2282,"all"
"1080",2023,2204,"all"
"1080",2024,2210,"all"
"1081",1990,696,"all"
"1081",1991,712,"all"
"1081",1992,709,"all"
"1081",1993,699,"all"
"1081",1994,705,"all"
"1081",1995,705,"all"
"1081",1996,706,"all"
"1081",1997,712,"all"
"1081",1998,717,"all"
"1081",1999,729,"all"
"1081",2000,745,"all"
"1081",2001,758,"all"
"1081",2002,766,"all"
"1081",2003,779,"all"
"1081",2004,794,"all"
"1081",2005,834,"all"
"1081",2006,882,"all"
"1081",2007,928,"all"
"1081",2008,962,"all"
"1081",2009,999,"all"
"1081",2010,1040,"all"
"1081",2011,1055,"all"
"1081",2012,1072,"all"
"1081",2013,1105,"all"
"1081",2014,1139,"all"
"1081",2015,1172,"all"
"1081",2016,1237,"all"
"1081",2017,1284,"all"
"1081",2018,1334,"all"
"1081",2019,1260,"all"
"1081",2020,1279,"all"
"1081",2021,1342,"all"
"1081",2022,1348,"all"
"1081",2023,1243,"all"
"1081",2024,1296,"all"
"1082",1990,649,"all"
"1082",1991,663,"all"
"1082",1992,661,"all"
"1082",1993,651,"all"
"1082",1994,656,"all"
"1082",1995,656,"all"
"1082",1996,658,"all"
"1082",1997,663,"all"
"1082",1998,668,"all"
"1082",1999,679,"all"
"1082",2000,694,"all"
"1082",2001,706,"all"
