"year","laucode","type.of.building","nuts3","value","avg_floor_m2"
1990,"1060","house","SE221",507,114.7
1990,"1080","house","SE221",919,119.8
1990,"1081","house","SE221",689,116.2
1990,"1082","house","SE221",752,117.8
1990,"1083","house","SE221",707,116.6
1990,"114","house","SE110",1661,124
1990,"115","house","SE110",1633,121.8
1990,"117","house","SE110",1675,121.1
1990,"120","house","SE110",2163,106.1
1990,"1214","house","SE224",683,119.4
1990,"123","house","SE110",1807,123.3
1990,"1230","house","SE224",1412,131
1990,"1231","house","SE224",1256,128.9
1990,"1233","house","SE224",1745,140.3
1990,"125","house","SE110",2007,119.6
1990,"1256","house","SE224",369,121.7
1990,"1257","house","SE224",559,116.5
1990,"126","house","SE110",1816,120.9
1990,"1260","house","SE224",644,116.7
1990,"1261","house","SE224",1340,127.5
1990,"1262","house","SE224",1678,134.8
1990,"1263","house","SE224",1292,125.6
1990,"1264","house","SE224",1012,119.5
1990,"1265","house","SE224",654,113.2
1990,"1266","house","SE224",662,116.8
1990,"1267","house","SE224",665,119.9
1990,"127","house","SE110",1489,123.2
1990,"1270","house","SE224",664,116.5
1990,"1272","house","SE224",610,112.9
1990,"1273","house","SE224",390,122
1990,"1275","house","SE224",535,118.1
1990,"1276","house","SE224",577,118.9
1990,"1277","house","SE224",731,120.6
1990,"1278","house","SE224",1246,123.2
1990,"128","house","SE110",1740,128
1990,"1280","house","SE224",1833,126.7
1990,"1281","house","SE224",1585,125.9
1990,"1282","house","SE224",1244,121.7
1990,"1283","house","SE224",1441,125.7
1990,"1284","house","SE224",1339,126.1
1990,"1285","house","SE224",959,121.2
1990,"1286","house","SE224",1159,124.9
1990,"1287","house","SE224",1100,125.2
1990,"1290","house","SE224",788,120.8
1990,"1291","house","SE224",1005,117.5
1990,"1292","house","SE224",1078,125.6
1990,"1293","house","SE224",559,121.4
1990,"1315","house","SE231",396,115.7
1990,"136","house","SE110",1696,114.6
1990,"138","house","SE110",1975,119.5
1990,"1380","house","SE231",1137,126
1990,"1381","house","SE231",772,117.9
1990,"1382","house","SE231",811,122.7
1990,"1383","house","SE231",1138,123.3
1990,"1384","house","SE231",1650,127.8
1990,"139","house","SE110",1576,120.6
1990,"140","house","SE110",1543,118.8
1990,"1401","house","SE232",1585,117.1
1990,"1402","house","SE232",1668,127.1
1990,"1407","house","SE232",1822,122.8
1990,"1415","house","SE232",1392,116.4
1990,"1419","house","SE232",1299,109.3
1990,"1421","house","SE232",1046,108.4
1990,"1427","house","SE232",1356,108
1990,"1430","house","SE232",592,107.9
1990,"1435","house","SE232",1089,108.1
1990,"1438","house","SE232",576,111.1
1990,"1439","house","SE232",433,107.6
1990,"1440","house","SE232",1201,116.4
1990,"1441","house","SE232",1401,119.5
1990,"1442","house","SE232",835,117.1
1990,"1443","house","SE232",1128,121
1990,"1444","house","SE232",448,120.2
1990,"1445","house","SE232",498,115.3
1990,"1446","house","SE232",441,117.6
1990,"1447","house","SE232",311,111.8
1990,"1452","house","SE232",374,118
1990,"1460","house","SE232",414,111.8
1990,"1461","house","SE232",500,112.3
1990,"1462","house","SE232",686,109.3
1990,"1463","house","SE232",723,114.5
1990,"1465","house","SE232",522,115.3
1990,"1466","house","SE232",483,117.4
1990,"1470","house","SE232",359,121.1
1990,"1471","house","SE232",484,119.6
1990,"1472","house","SE232",514,120.1
1990,"1473","house","SE232",358,117.3
1990,"1480","house","SE232",1894,126
1990,"1481","house","SE232",1758,119.1
1990,"1482","house","SE232",1578,114.4
1990,"1484","house","SE232",1018,112.9
1990,"1485","house","SE232",988,116.7
1990,"1486","house","SE232",1241,110.5
1990,"1487","house","SE232",709,118.5
1990,"1488","house","SE232",948,122.7
1990,"1489","house","SE232",1170,119.3
1990,"1490","house","SE232",927,121.7
1990,"1491","house","SE232",556,122.2
1990,"1492","house","SE232",512,119.7
1990,"1493","house","SE232",664,119
1990,"1494","house","SE232",885,124
1990,"1495","house","SE232",646,123.1
1990,"1496","house","SE232",785,124.1
