Municipality.code,year,type.of.building,variable,value
0114,1986,house,Number of purchases,187
0114,1987,house,Number of purchases,187
0114,1988,house,Number of purchases,187
0114,1989,house,Number of purchases,187
0114,1990,house,Number of purchases,187
0114,1991,house,Number of purchases,187
0114,1992,house,Number of purchases,187
0114,1993,house,Number of purchases,187
0114,1994,house,Number of purchases,187
0114,1995,house,Number of purchases,187
0114,1996,house,Number of purchases,187
0114,1997,house,Number of purchases,187
0114,1998,house,Number of purchases,187
0114,1999,house,Number of purchases,187
0114,2000,house,Number of purchases,187
0114,2001,house,Number of purchases,187
0114,2002,house,Number of purchases,187
0114,2003,house,Number of purchases,187
0114,2004,house,Number of purchases,187
0114,2005,house,Number of purchases,187
0114,2006,house,Number of purchases,187
0114,2007,house,Number of purchases,187
0114,2008,house,Number of purchases,187
0114,2009,house,Number of purchases,187
0114,2010,house,Number of purchases,187
0114,2011,house,Number of purchases,187
0114,2012,house,Number of purchases,187
0114,2013,house,Number of purchases,187
0114,2014,house,Number of purchases,187
0114,2015,house,Number of purchases,187
0114,2016,house,Number of purchases,187
0114,2017,house,Number of purchases,187
0114,2018,house,Number of purchases,187
0114,2019,house,Number of purchases,187
0114,2020,house,Number of purchases,187
0114,2021,house,Number of purchases,187
0114,2022,house,Number of purchases,187
0114,2023,house,Number of purchases,187
0114,2024,house,Number of purchases,187
0115,1986,house,Number of purchases,318
0115,1987,house,Number of purchases,318
0115,1988,house,Number of purchases,318
0115,1989,house,Number of purchases,318
0115,1990,house,Number of purchases,318
0115,1991,house,Number of purchases,318
0115,1992,house,Number of purchases,318
0115,1993,house,Number of purchases,318
0115,1994,house,Number of purchases,318
0115,1995,house,Number of purchases,318
0115,1996,house,Number of purchases,318
0115,1997,house,Number of purchases,318
0115,1998,house,Number of purchases,318
0115,1999,house,Number of purchases,318
0115,2000,house,Number of purchases,318
0115,2001,house,Number of purchases,318
0115,2002,house,Number of purchases,318
0115,2003,house,Number of purchases,318
0115,2004,house,Number of purchases,318
0115,2005,house,Number of purchases,318
0115,2006,house,Number of purchases,318
0115,2007,house,Number of purchases,318
0115,2008,house,Number of purchases,318
0115,2009,house,Number of purchases,318
0115,2010,house,Number of purchases,318
0115,2011,house,Number of purchases,318
0115,2012,house,Number of purchases,318
0115,2013,house,Number of purchases,318
0115,2014,house,Number of purchases,318
0115,2015,house,Number of purchases,318
0115,2016,house,Number of purchases,318
0115,2017,house,Number of purchases,318
0115,2018,house,Number of purchases,318
0115,2019,house,Number of purchases,318
0115,2020,house,Number of purchases,318
0115,2021,house,Number of purchases,318
0115,2022,house,Number of purchases,318
0115,2023,house,Number of purchases,318
0115,2024,house,Number of purchases,318
0117,1986,house,Number of purchases,482
0117,1987,house,Number of purchases,482
0117,1988,house,Number of purchases,482
0117,1989,house,Number of purchases,482
0117,1990,house,Number of purchases,482
0117,1991,house,Number of purchases,482
0117,1992,house,Number of purchases,482
0117,1993,house,Number of purchases,482
0117,1994,house,Number of purchases,482
0117,1995,house,Number of purchases,482
0117,1996,house,Number of purchases,482
0117,1997,house,Number of purchases,482
0117,1998,house,Number of purchases,482
0117,1999,house,Number of purchases,482
0117,2000,house,Number of purchases,482
0117,2001,house,Number of purchases,482
0117,2002,house,Number of purchases,482
0117,2003,house,Number of purchases,482
0117,2004,house,Number of purchases,482
0117,2005,house,Number of purchases,482
0117,2006,house,Number of purchases,482
0117,2007,house,Number of purchases,482
0117,2008,house,Number of purchases,482
0117,2009,house,Number of purchases,482
0117,2010,house,Number of purchases,482
0117,2011,house,Number of purchases,482
0117,2012,house,Number of purchases,482
0117,2013,house,Number of purchases,482
0117,2014,house,Number of purchases,482
0117,2015,house,Number of purchases,482
0117,2016,house,Number of purchases,482
0117,2017,house,Number of purchases,482
0117,2018,house,Number of purchases,482
0117,2019,house,Number of purchases,482
0117,2020,house,Number of purchases,482
0117,2021,house,Number of purchases,482
0117,2022,house,Number of purchases,482
0117,2023,house,Number of purchases,482
0117,2024,house,Number of purchases,482
0120,1986,house,Number of purchases,411
0120,1987,house,Number of purchases,411
0120,1988,house,Number of purchases,411
0120,1989,house,Number of purchases,411
0120,1990,house,Number of purchases,411
0120,1991,house,Number of purchases,411
0120,1992,house,Number of purchases,411
0120,1993,house,Number of purchases,411
0120,1994,house,Number of purchases,411
0120,1995,house,Number of purchases,411
0120,1996,house,Number of purchases,411
0120,1997,house,Number of purchases,411
0120,1998,house,Number of purchases,411
0120,1999,house,Number of purchases,411
0120,2000,house,Number of purchases,411
0120,2001,house,Number of purchases,411
0120,2002,house,Number of purchases,411
0120,2003,house,Number of purchases,411
0120,2004,house,Number of purchases,411
0120,2005,house,Number of purchases,411
0120,2006,house,Number of purchases,411
0120,2007,house,Number of purchases,411
0120,2008,house,Number of purchases,411
0120,2009,house,Number of purchases,411
0120,2010,house,Number of purchases,411
0120,2011,house,Number of purchases,411
0120,2012,house,Number of purchases,411
0120,2013,house,Number of purchases,411
0120,2014,house,Number of purchases,411
0120,2015,house,Number of purchases,411
0120,2016,house,Number of purchases,411
0120,2017,house,Number of purchases,411
0120,2018,house,Number of purchases,411
0120,2019,house,Number of purchases,411
0120,2020,house,Number of purchases,411
0120,2021,house,Number of purchases,411
0120,2022,house,Number of purchases,411
0120,2023,house,Number of purchases,411
0120,2024,house,Number of purchases,411
0123,1986,house,Number of purchases,340
0123,1987,house,Number of purchases,340
0123,1988,house,Number of purchases,340
0123,1989,house,Number of purchases,340
0123,1990,house,Number of purchases,340
0123,1991,house,Number of purchases,340
0123,1992,house,Number of purchases,340
0123,1993,house,Number of purchases,340
0123,1994,house,Number of purchases,340
0123,1995,house,Number of purchases,340
0123,1996,house,Number of purchases,340
0123,1997,house,Number of purchases,340
0123,1998,house,Number of purchases,340
0123,1999,house,Number of purchases,340
0123,2000,house,Number of purchases,340
0123,2001,house,Number of purchases,340
0123,2002,house,Number of purchases,340
0123,2003,house,Number of purchases,340
0123,2004,house,Number of purchases,340
0123,2005,house,Number of purchases,340
0123,2006,house,Number of purchases,340
0123,2007,house,Number of purchases,340
0123,2008,house,Number of purchases,340
0123,2009,house,Number of purchases,340
0123,2010,house,Number of purchases,340
0123,2011,house,Number of purchases,340
0123,2012,house,Number of purchases,340
0123,2013,house,Number of purchases,340
0123,2014,house,Number of purchases,340
0123,2015,house,Number of purchases,340
0123,2016,house,Number of purchases,340
0123,2017,house,Number of purchases,340
0123,2018,house,Number of purchases,340
0123,2019,house,Number of purchases,340
0123,2020,house,Number of purchases,340
0123,2021,house,Number of purchases,340
0123,2022,house,Number of purchases,340
0123,2023,house,Number of purchases,340
0123,2024,house,Number of purchases,340
0125,1986,house,Number of purchases,231
0125,1987,house,Number of purchases,231
0125,1988,house,Number of purchases,231
0125,1989,house,Number of purchases,231
0125,1990,house,Number of purchases,231
0125,1991,house,Number of purchases,231
0125,1992,house,Number of purchases,231
0125,1993,house,Number of purchases,231
0125,1994,house,Number of purchases,231
0125,1995,house,Number of purchases,231
0125,1996,house,Number of purchases,231
0125,1997,house,Number of purchases,231
0125,1998,house,Number of purchases,231
0125,1999,house,Number of purchases,231
0125,2000,house,Number of purchases,231
0125,2001,house,Number of purchases,231
0125,2002,house,Number of purchases,231
0125,2003,house,Number of purchases,231
0125,2004,house,Number of purchases,231
0125,2005,house,Number of purchases,231
0125,2006,house,Number of purchases,231
0125,2007,house,Number of purchases,231
0125,2008,house,Number of purchases,231
0125,2009,house,Number of purchases,231
0125,2010,house,Number of purchases,231
0125,2011,house,Number of purchases,231
0125,2012,house,Number of purchases,231
0125,2013,house,Number of purchases,231
0125,2014,house,Number of purchases,231
0125,2015,house,Number of purchases,231
0125,2016,house,Number of purchases,231
0125,2017,house,Number of purchases,231
0125,2018,house,Number of purchases,231
0125,2019,house,Number of purchases,231
0125,2020,house,Number of purchases,231
0125,2021,house,Number of purchases,231
0125,2022,house,Number of purchases,231
0125,2023,house,Number of purchases,231
0125,2024,house,Number of purchases,231
0126,1986,house,Number of purchases,624
0126,1987,house,Number of purchases,624
0126,1988,house,Number of purchases,624
0126,1989,house,Number of purchases,624
0126,1990,house,Number of purchases,624
0126,1991,house,Number of purchases,624
0126,1992,house,Number of purchases,624
0126,1993,house,Number of purchases,624
