"year","level","nuts","type.of.building","value","measure"
2013,"laucode","1060","all",695,"price_m2"
2014,"laucode","1060","all",672,"price_m2"
2015,"laucode","1060","all",696,"price_m2"
2016,"laucode","1060","all",739,"price_m2"
2017,"laucode","1060","all",774,"price_m2"
2018,"laucode","1060","all",810,"price_m2"
2019,"laucode","1060","all",785,"price_m2"
2020,"laucode","1060","all",805,"price_m2"
2021,"laucode","1060","all",852,"price_m2"
2022,"laucode","1060","all",862,"price_m2"
2023,"laucode","1060","all",819,"price_m2"
2024,"laucode","1060","all",806,"price_m2"
2013,"laucode","1060","flat",451,"price_m2"
2014,"laucode","1060","flat",436,"price_m2"
2015,"laucode","1060","flat",451,"price_m2"
2016,"laucode","1060","flat",480,"price_m2"
2017,"laucode","1060","flat",502,"price_m2"
2018,"laucode","1060","flat",526,"price_m2"
2019,"laucode","1060","flat",509,"price_m2"
2020,"laucode","1060","flat",522,"price_m2"
2021,"laucode","1060","flat",553,"price_m2"
2022,"laucode","1060","flat",559,"price_m2"
2023,"laucode","1060","flat",531,"price_m2"
2024,"laucode","1060","flat",523,"price_m2"
2013,"laucode","1060","house",717,"price_m2"
2014,"laucode","1060","house",693,"price_m2"
2015,"laucode","1060","house",718,"price_m2"
2016,"laucode","1060","house",763,"price_m2"
2017,"laucode","1060","house",799,"price_m2"
2018,"laucode","1060","house",836,"price_m2"
2019,"laucode","1060","house",810,"price_m2"
2020,"laucode","1060","house",831,"price_m2"
2021,"laucode","1060","house",879,"price_m2"
2022,"laucode","1060","house",890,"price_m2"
2023,"laucode","1060","house",845,"price_m2"
2024,"laucode","1060","house",832,"price_m2"
2013,"laucode","1080","all",1598,"price_m2"
2014,"laucode","1080","all",1642,"price_m2"
2015,"laucode","1080","all",1725,"price_m2"
2016,"laucode","1080","all",1849,"price_m2"
2017,"laucode","1080","all",1952,"price_m2"
2018,"laucode","1080","all",2053,"price_m2"
2019,"laucode","1080","all",2046,"price_m2"
2020,"laucode","1080","all",2107,"price_m2"
2021,"laucode","1080","all",2238,"price_m2"
2022,"laucode","1080","all",2282,"price_m2"
2023,"laucode","1080","all",2204,"price_m2"
2024,"laucode","1080","all",2210,"price_m2"
2013,"laucode","1080","flat",1710,"price_m2"
2014,"laucode","1080","flat",1758,"price_m2"
2015,"laucode","1080","flat",1846,"price_m2"
2016,"laucode","1080","flat",1979,"price_m2"
2017,"laucode","1080","flat",2089,"price_m2"
2018,"laucode","1080","flat",2197,"price_m2"
2019,"laucode","1080","flat",2190,"price_m2"
2020,"laucode","1080","flat",2255,"price_m2"
2021,"laucode","1080","flat",2395,"price_m2"
2022,"laucode","1080","flat",2443,"price_m2"
2023,"laucode","1080","flat",2359,"price_m2"
2024,"laucode","1080","flat",2366,"price_m2"
2013,"laucode","1080","house",1451,"price_m2"
2014,"laucode","1080","house",1491,"price_m2"
2015,"laucode","1080","house",1566,"price_m2"
2016,"laucode","1080","house",1679,"price_m2"
2017,"laucode","1080","house",1772,"price_m2"
2018,"laucode","1080","house",1864,"price_m2"
2019,"laucode","1080","house",1858,"price_m2"
2020,"laucode","1080","house",1913,"price_m2"
2021,"laucode","1080","house",2032,"price_m2"
2022,"laucode","1080","house",2072,"price_m2"
2023,"laucode","1080","house",2001,"price_m2"
2024,"laucode","1080","house",2007,"price_m2"
2013,"laucode","1081","all",1105,"price_m2"
2014,"laucode","1081","all",1139,"price_m2"
2015,"laucode","1081","all",1172,"price_m2"
2016,"laucode","1081","all",1237,"price_m2"
2017,"laucode","1081","all",1284,"price_m2"
2018,"laucode","1081","all",1334,"price_m2"
2019,"laucode","1081","all",1260,"price_m2"
2020,"laucode","1081","all",1279,"price_m2"
2021,"laucode","1081","all",1342,"price_m2"
2022,"laucode","1081","all",1348,"price_m2"
2023,"laucode","1081","all",1243,"price_m2"
2024,"laucode","1081","all",1296,"price_m2"
2013,"laucode","1081","flat",1477,"price_m2"
2014,"laucode","1081","flat",1522,"price_m2"
2015,"laucode","1081","flat",1567,"price_m2"
2016,"laucode","1081","flat",1653,"price_m2"
2017,"laucode","1081","flat",1717,"price_m2"
2018,"laucode","1081","flat",1783,"price_m2"
2019,"laucode","1081","flat",1684,"price_m2"
2020,"laucode","1081","flat",1710,"price_m2"
2021,"laucode","1081","flat",1794,"price_m2"
2022,"laucode","1081","flat",1802,"price_m2"
2023,"laucode","1081","flat",1661,"price_m2"
2024,"laucode","1081","flat",1733,"price_m2"
2013,"laucode","1081","house",1094,"price_m2"
2014,"laucode","1081","house",1128,"price_m2"
2015,"laucode","1081","house",1161,"price_m2"
2016,"laucode","1081","house",1225,"price_m2"
2017,"laucode","1081","house",1272,"price_m2"
2018,"laucode","1081","house",1321,"price_m2"
2019,"laucode","1081","house",1248,"price_m2"
2020,"laucode","1081","house",1267,"price_m2"
2021,"laucode","1081","house",1329,"price_m2"
2022,"laucode","1081","house",1335,"price_m2"
2023,"laucode","1081","house",1231,"price_m2"
2024,"laucode","1081","house",1284,"price_m2"
2013,"laucode","1082","all",1067,"price_m2"
2014,"laucode","1082","all",1120,"price_m2"
2015,"laucode","1082","all",1167,"price_m2"
2016,"laucode","1082","all",1245,"price_m2"
2017,"laucode","1082","all",1308,"price_m2"
2018,"laucode","1082","all",1369,"price_m2"
2019,"laucode","1082","all",1336,"price_m2"
2020,"laucode","1082","all",1360,"price_m2"
2021,"laucode","1082","all",1427,"price_m2"
2022,"laucode","1082","all",1439,"price_m2"
2023,"laucode","1082","all",1324,"price_m2"
2024,"laucode","1082","all",1457,"price_m2"
2013,"laucode","1082","flat",827,"price_m2"
2014,"laucode","1082","flat",869,"price_m2"
2015,"laucode","1082","flat",905,"price_m2"
2016,"laucode","1082","flat",965,"price_m2"
2017,"laucode","1082","flat",1014,"price_m2"
2018,"laucode","1082","flat",1062,"price_m2"
2019,"laucode","1082","flat",1036,"price_m2"
2020,"laucode","1082","flat",1055,"price_m2"
2021,"laucode","1082","flat",1106,"price_m2"
2022,"laucode","1082","flat",1116,"price_m2"
2023,"laucode","1082","flat",1027,"price_m2"
2024,"laucode","1082","flat",1130,"price_m2"
2013,"laucode","1082","house",1237,"price_m2"
2014,"laucode","1082","house",1299,"price_m2"
2015,"laucode","1082","house",1353,"price_m2"
2016,"laucode","1082","house",1443,"price_m2"
2017,"laucode","1082","house",1516,"price_m2"
2018,"laucode","1082","house",1587,"price_m2"
2019,"laucode","1082","house",1549,"price_m2"
2020,"laucode","1082","house",1577,"price_m2"
2021,"laucode","1082","house",1654,"price_m2"
2022,"laucode","1082","house",1668,"price_m2"
2023,"laucode","1082","house",1535,"price_m2"
2024,"laucode","1082","house",1689,"price_m2"
2013,"laucode","1083","all",1084,"price_m2"
2014,"laucode","1083","all",1126,"price_m2"
2015,"laucode","1083","all",1165,"price_m2"
2016,"laucode","1083","all",1235,"price_m2"
2017,"laucode","1083","all",1291,"price_m2"
2018,"laucode","1083","all",1346,"price_m2"
2019,"laucode","1083","all",1294,"price_m2"
2020,"laucode","1083","all",1358,"price_m2"
2021,"laucode","1083","all",1466,"price_m2"
2022,"laucode","1083","all",1517,"price_m2"
2023,"laucode","1083","all",1527,"price_m2"
2024,"laucode","1083","all",1565,"price_m2"
2013,"laucode","1083","flat",834,"price_m2"
2014,"laucode","1083","flat",867,"price_m2"
2015,"laucode","1083","flat",896,"price_m2"
2016,"laucode","1083","flat",950,"price_m2"
2017,"laucode","1083","flat",993,"price_m2"
2018,"laucode","1083","flat",1036,"price_m2"
2019,"laucode","1083","flat",996,"price_m2"
2020,"laucode","1083","flat",1045,"price_m2"
2021,"laucode","1083","flat",1128,"price_m2"
2022,"laucode","1083","flat",1168,"price_m2"
2023,"laucode","1083","flat",1175,"price_m2"
2024,"laucode","1083","flat",1204,"price_m2"
2013,"laucode","1083","house",1144,"price_m2"
2014,"laucode","1083","house",1188,"price_m2"
2015,"laucode","1083","house",1229,"price_m2"
2016,"laucode","1083","house",1303,"price_m2"
2017,"laucode","1083","house",1362,"price_m2"
2018,"laucode","1083","house",1420,"price_m2"
2019,"laucode","1083","house",1366,"price_m2"
2020,"laucode","1083","house",1433,"price_m2"
2021,"laucode","1083","house",1547,"price_m2"
2022,"laucode","1083","house",1601,"price_m2"
2023,"laucode","1083","house",1611,"price_m2"
2024,"laucode","1083","house",1651,"price_m2"
2013,"laucode","114","all",3095,"price_m2"
2014,"laucode","114","all",3197,"price_m2"
2015,"laucode","114","all",3381,"price_m2"
2016,"laucode","114","all",3522,"price_m2"
2017,"laucode","114","all",3631,"price_m2"
2018,"laucode","114","all",3615,"price_m2"
2019,"laucode","114","all",3526,"price_m2"
2020,"laucode","114","all",3610,"price_m2"
2021,"laucode","114","all",3836,"price_m2"
2022,"laucode","114","all",3896,"price_m2"
2023,"laucode","114","all",3634,"price_m2"
2024,"laucode","114","all",3680,"price_m2"
2013,"laucode","114","flat",3091,"price_m2"
2014,"laucode","114","flat",3192,"price_m2"
2015,"laucode","114","flat",3376,"price_m2"
2016,"laucode","114","flat",3517,"price_m2"
2017,"laucode","114","flat",3625,"price_m2"
2018,"laucode","114","flat",3610,"price_m2"
2019,"laucode","114","flat",3521,"price_m2"
2020,"laucode","114","flat",3605,"price_m2"
2021,"laucode","114","flat",3830,"price_m2"
2022,"laucode","114","flat",3890,"price_m2"
2023,"laucode","114","flat",3628,"price_m2"
2024,"laucode","114","flat",3674,"price_m2"
2013,"laucode","114","house",3109,"price_m2"
2014,"laucode","114","house",3211,"price_m2"
2015,"laucode","114","house",3396,"price_m2"
2016,"laucode","114","house",3538,"price_m2"
2017,"laucode","114","house",3647,"price_m2"
2018,"laucode","114","house",3631,"price_m2"
2019,"laucode","114","house",3542,"price_m2"
2020,"laucode","114","house",3626,"price_m2"
2021,"laucode","114","house",3853,"price_m2"
2022,"laucode","114","house",3913,"price_m2"
2023,"laucode","114","house",3650,"price_m2"
2024,"laucode","114","house",3696,"price_m2"
2013,"laucode","115","all",2920,"price_m2"
2014,"laucode","115","all",3009,"price_m2"
2015,"laucode","115","all",3179,"price_m2"
2016,"laucode","115","all",3300,"price_m2"
2017,"laucode","115","all",3398,"price_m2"
2018,"laucode","115","all",3374,"price_m2"
2019,"laucode","115","all",3300,"price_m2"
2020,"laucode","115","all",3389,"price_m2"
2021,"laucode","115","all",3621,"price_m2"
2022,"laucode","115","all",3685,"price_m2"
2023,"laucode","115","all",3446,"price_m2"
2024,"laucode","115","all",3600,"price_m2"
2013,"laucode","115","flat",2808,"price_m2"
2014,"laucode","115","flat",2894,"price_m2"
2015,"laucode","115","flat",3057,"price_m2"
2016,"laucode","115","flat",3173,"price_m2"
2017,"laucode","115","flat",3267,"price_m2"
2018,"laucode","115","flat",3244,"price_m2"
2019,"laucode","115","flat",3173,"price_m2"
2020,"laucode","115","flat",3259,"price_m2"
2021,"laucode","115","flat",3481,"price_m2"
2022,"laucode","115","flat",3543,"price_m2"
2023,"laucode","115","flat",3313,"price_m2"
2024,"laucode","115","flat",3462,"price_m2"
2013,"laucode","115","house",3043,"price_m2"
2014,"laucode","115","house",3136,"price_m2"
2015,"laucode","115","house",3313,"price_m2"
2016,"laucode","115","house",3439,"price_m2"
2017,"laucode","115","house",3541,"price_m2"
2018,"laucode","115","house",3516,"price_m2"
2019,"laucode","115","house",3439,"price_m2"
2020,"laucode","115","house",3532,"price_m2"
2021,"laucode","115","house",3773,"price_m2"
2022,"laucode","115","house",3840,"price_m2"
2023,"laucode","115","house",3591,"price_m2"
2024,"laucode","115","house",3752,"price_m2"
2013,"laucode","117","all",3175,"price_m2"
2014,"laucode","117","all",3274,"price_m2"
2015,"laucode","117","all",3456,"price_m2"
2016,"laucode","117","all",3599,"price_m2"
2017,"laucode","117","all",3708,"price_m2"
2018,"laucode","117","all",3689,"price_m2"
2019,"laucode","117","all",3624,"price_m2"
2020,"laucode","117","all",3753,"price_m2"
2021,"laucode","117","all",4031,"price_m2"
2022,"laucode","117","all",4132,"price_m2"
2023,"laucode","117","all",3977,"price_m2"
2024,"laucode","117","all",4029,"price_m2"
2013,"laucode","117","flat",3227,"price_m2"
2014,"laucode","117","flat",3327,"price_m2"
2015,"laucode","117","flat",3513,"price_m2"
2016,"laucode","117","flat",3658,"price_m2"
2017,"laucode","117","flat",3768,"price_m2"
2018,"laucode","117","flat",3749,"price_m2"
2019,"laucode","117","flat",3683,"price_m2"
2020,"laucode","117","flat",3815,"price_m2"
2021,"laucode","117","flat",4097,"price_m2"
2022,"laucode","117","flat",4199,"price_m2"
2023,"laucode","117","flat",4041,"price_m2"
2024,"laucode","117","flat",4095,"price_m2"
2013,"laucode","117","house",3144,"price_m2"
2014,"laucode","117","house",3242,"price_m2"
2015,"laucode","117","house",3423,"price_m2"
2016,"laucode","117","house",3564,"price_m2"
2017,"laucode","117","house",3672,"price_m2"
2018,"laucode","117","house",3653,"price_m2"
2019,"laucode","117","house",3589,"price_m2"
2020,"laucode","117","house",3717,"price_m2"
2021,"laucode","117","house",3992,"price_m2"
2022,"laucode","117","house",4092,"price_m2"
2023,"laucode","117","house",3938,"price_m2"
2024,"laucode","117","house",3990,"price_m2"
2013,"laucode","120","all",4449,"price_m2"
2014,"laucode","120","all",4638,"price_m2"
2015,"laucode","120","all",4866,"price_m2"
2016,"laucode","120","all",5028,"price_m2"
2017,"laucode","120","all",5101,"price_m2"
2018,"laucode","120","all",4979,"price_m2"
2019,"laucode","120","all",4686,"price_m2"
2020,"laucode","120","all",4915,"price_m2"
2021,"laucode","120","all",5323,"price_m2"
2022,"laucode","120","all",5547,"price_m2"
2023,"laucode","120","all",5538,"price_m2"
2024,"laucode","120","all",5504,"price_m2"
2013,"laucode","120","flat",4856,"price_m2"
2014,"laucode","120","flat",5062,"price_m2"
2015,"laucode","120","flat",5310,"price_m2"
2016,"laucode","120","flat",5487,"price_m2"
2017,"laucode","120","flat",5567,"price_m2"
2018,"laucode","120","flat",5434,"price_m2"
2019,"laucode","120","flat",5114,"price_m2"
2020,"laucode","120","flat",5364,"price_m2"
2021,"laucode","120","flat",5810,"price_m2"
2022,"laucode","120","flat",6053,"price_m2"
2023,"laucode","120","flat",6044,"price_m2"
2024,"laucode","120","flat",6007,"price_m2"
2013,"laucode","120","house",4083,"price_m2"
2014,"laucode","120","house",4256,"price_m2"
2015,"laucode","120","house",4465,"price_m2"
2016,"laucode","120","house",4614,"price_m2"
2017,"laucode","120","house",4681,"price_m2"
2018,"laucode","120","house",4569,"price_m2"
2019,"laucode","120","house",4300,"price_m2"
2020,"laucode","120","house",4510,"price_m2"
2021,"laucode","120","house",4885,"price_m2"
2022,"laucode","120","house",5090,"price_m2"
2023,"laucode","120","house",5082,"price_m2"
2024,"laucode","120","house",5051,"price_m2"
2013,"laucode","1214","all",1125,"price_m2"
2014,"laucode","1214","all",1142,"price_m2"
2015,"laucode","1214","all",1205,"price_m2"
2016,"laucode","1214","all",1287,"price_m2"
2017,"laucode","1214","all",1367,"price_m2"
2018,"laucode","1214","all",1426,"price_m2"
2019,"laucode","1214","all",1440,"price_m2"
2020,"laucode","1214","all",1507,"price_m2"
2021,"laucode","1214","all",1628,"price_m2"
2022,"laucode","1214","all",1686,"price_m2"
2023,"laucode","1214","all",1639,"price_m2"
2024,"laucode","1214","all",1681,"price_m2"
2013,"laucode","1214","flat",783,"price_m2"
2014,"laucode","1214","flat",795,"price_m2"
2015,"laucode","1214","flat",839,"price_m2"
2016,"laucode","1214","flat",896,"price_m2"
2017,"laucode","1214","flat",952,"price_m2"
2018,"laucode","1214","flat",993,"price_m2"
2019,"laucode","1214","flat",1002,"price_m2"
2020,"laucode","1214","flat",1049,"price_m2"
2021,"laucode","1214","flat",1133,"price_m2"
2022,"laucode","1214","flat",1174,"price_m2"
2023,"laucode","1214","flat",1141,"price_m2"
2024,"laucode","1214","flat",1170,"price_m2"
2013,"laucode","1214","house",1149,"price_m2"
2014,"laucode","1214","house",1167,"price_m2"
2015,"laucode","1214","house",1231,"price_m2"
2016,"laucode","1214","house",1315,"price_m2"
2017,"laucode","1214","house",1397,"price_m2"
2018,"laucode","1214","house",1457,"price_m2"
2019,"laucode","1214","house",1471,"price_m2"
2020,"laucode","1214","house",1540,"price_m2"
2021,"laucode","1214","house",1663,"price_m2"
2022,"laucode","1214","house",1723,"price_m2"
2023,"laucode","1214","house",1675,"price_m2"
2024,"laucode","1214","house",1717,"price_m2"
2013,"laucode","123","all",3708,"price_m2"
2014,"laucode","123","all",3802,"price_m2"
2015,"laucode","123","all",4005,"price_m2"
2016,"laucode","123","all",4160,"price_m2"
2017,"laucode","123","all",4282,"price_m2"
2018,"laucode","123","all",4244,"price_m2"
2019,"laucode","123","all",4099,"price_m2"
2020,"laucode","123","all",4228,"price_m2"
2021,"laucode","123","all",4523,"price_m2"
2022,"laucode","123","all",4630,"price_m2"
2023,"laucode","123","all",4397,"price_m2"
2024,"laucode","123","all",4320,"price_m2"
2013,"laucode","123","flat",3759,"price_m2"
2014,"laucode","123","flat",3855,"price_m2"
2015,"laucode","123","flat",4060,"price_m2"
2016,"laucode","123","flat",4217,"price_m2"
2017,"laucode","123","flat",4341,"price_m2"
2018,"laucode","123","flat",4303,"price_m2"
2019,"laucode","123","flat",4155,"price_m2"
2020,"laucode","123","flat",4286,"price_m2"
2021,"laucode","123","flat",4585,"price_m2"
2022,"laucode","123","flat",4694,"price_m2"
2023,"laucode","123","flat",4458,"price_m2"
2024,"laucode","123","flat",4380,"price_m2"
2013,"laucode","123","house",3329,"price_m2"
2014,"laucode","123","house",3414,"price_m2"
2015,"laucode","123","house",3596,"price_m2"
2016,"laucode","123","house",3735,"price_m2"
2017,"laucode","123","house",3845,"price_m2"
2018,"laucode","123","house",3811,"price_m2"
2019,"laucode","123","house",3680,"price_m2"
2020,"laucode","123","house",3796,"price_m2"
2021,"laucode","123","house",4061,"price_m2"
2022,"laucode","123","house",4157,"price_m2"
2023,"laucode","123","house",3948,"price_m2"
2024,"laucode","123","house",3879,"price_m2"
2013,"laucode","1230","all",2232,"price_m2"
2014,"laucode","1230","all",2255,"price_m2"
2015,"laucode","1230","all",2347,"price_m2"
2016,"laucode","1230","all",2478,"price_m2"
2017,"laucode","1230","all",2613,"price_m2"
2018,"laucode","1230","all",2698,"price_m2"
2019,"laucode","1230","all",2624,"price_m2"
2020,"laucode","1230","all",2732,"price_m2"
2021,"laucode","1230","all",2926,"price_m2"
2022,"laucode","1230","all",3011,"price_m2"
2023,"laucode","1230","all",2868,"price_m2"
2024,"laucode","1230","all",2886,"price_m2"
2013,"laucode","1230","flat",2137,"price_m2"
2014,"laucode","1230","flat",2160,"price_m2"
2015,"laucode","1230","flat",2247,"price_m2"
2016,"laucode","1230","flat",2373,"price_m2"
2017,"laucode","1230","flat",2502,"price_m2"
2018,"laucode","1230","flat",2584,"price_m2"
2019,"laucode","1230","flat",2513,"price_m2"
2020,"laucode","1230","flat",2616,"price_m2"
2021,"laucode","1230","flat",2802,"price_m2"
2022,"laucode","1230","flat",2884,"price_m2"
2023,"laucode","1230","flat",2746,"price_m2"
2024,"laucode","1230","flat",2764,"price_m2"
2013,"laucode","1230","house",2364,"price_m2"
2014,"laucode","1230","house",2389,"price_m2"
2015,"laucode","1230","house",2486,"price_m2"
2016,"laucode","1230","house",2625,"price_m2"
2017,"laucode","1230","house",2768,"price_m2"
2018,"laucode","1230","house",2858,"price_m2"
2019,"laucode","1230","house",2780,"price_m2"
2020,"laucode","1230","house",2894,"price_m2"
2021,"laucode","1230","house",3099,"price_m2"
2022,"laucode","1230","house",3190,"price_m2"
2023,"laucode","1230","house",3038,"price_m2"
2024,"laucode","1230","house",3057,"price_m2"
2013,"laucode","1231","all",1995,"price_m2"
2014,"laucode","1231","all",2027,"price_m2"
2015,"laucode","1231","all",2138,"price_m2"
2016,"laucode","1231","all",2284,"price_m2"
2017,"laucode","1231","all",2428,"price_m2"
2018,"laucode","1231","all",2526,"price_m2"
2019,"laucode","1231","all",2553,"price_m2"
2020,"laucode","1231","all",2631,"price_m2"
2021,"laucode","1231","all",2800,"price_m2"
2022,"laucode","1231","all",2859,"price_m2"
2023,"laucode","1231","all",2641,"price_m2"
2024,"laucode","1231","all",2730,"price_m2"
2013,"laucode","1231","flat",1685,"price_m2"
2014,"laucode","1231","flat",1713,"price_m2"
2015,"laucode","1231","flat",1806,"price_m2"
2016,"laucode","1231","flat",1930,"price_m2"
2017,"laucode","1231","flat",2051,"price_m2"
2018,"laucode","1231","flat",2134,"price_m2"
2019,"laucode","1231","flat",2157,"price_m2"
2020,"laucode","1231","flat",2222,"price_m2"
2021,"laucode","1231","flat",2366,"price_m2"
2022,"laucode","1231","flat",2416,"price_m2"
2023,"laucode","1231","flat",2231,"price_m2"
2024,"laucode","1231","flat",2306,"price_m2"
2013,"laucode","1231","house",2119,"price_m2"
2014,"laucode","1231","house",2153,"price_m2"
2015,"laucode","1231","house",2271,"price_m2"
2016,"laucode","1231","house",2426,"price_m2"
2017,"laucode","1231","house",2579,"price_m2"
2018,"laucode","1231","house",2683,"price_m2"
2019,"laucode","1231","house",2712,"price_m2"
2020,"laucode","1231","house",2794,"price_m2"
