"year","value","laucode","level"
2016,NA,114,"laucode"
2017,1218,114,"laucode"
2018,1175,114,"laucode"
2019,1201,114,"laucode"
2020,1229,114,"laucode"
2021,1255,114,"laucode"
2022,1290,114,"laucode"
2023,1404,114,"laucode"
2024,1484,114,"laucode"
2025,1616,114,"laucode"
2016,NA,114,"laucode"
2017,1226,114,"laucode"
2018,1189,114,"laucode"
2019,1220,114,"laucode"
2020,1291,114,"laucode"
2021,1330,114,"laucode"
2022,1373,114,"laucode"
2023,1447,114,"laucode"
2024,1551,114,"laucode"
2025,1642,114,"laucode"
2016,NA,114,"laucode"
2017,101,114,"laucode"
2018,98,114,"laucode"
2019,100,114,"laucode"
2020,102,114,"laucode"
2021,105,114,"laucode"
2022,109,114,"laucode"
2023,117,114,"laucode"
2024,124,114,"laucode"
2025,135,114,"laucode"
2016,NA,114,"laucode"
2017,102,114,"laucode"
2018,99,114,"laucode"
2019,102,114,"laucode"
2020,108,114,"laucode"
2021,111,114,"laucode"
2022,115,114,"laucode"
2023,121,114,"laucode"
2024,130,114,"laucode"
2025,137,114,"laucode"
2016,1057,115,"laucode"
2017,1025,115,"laucode"
2018,1053,115,"laucode"
2019,1117,115,"laucode"
2020,1413,115,"laucode"
2021,1811,115,"laucode"
2022,1924,115,"laucode"
2023,2149,115,"laucode"
2024,2338,115,"laucode"
2025,2384,115,"laucode"
2016,1073,115,"laucode"
2017,1037,115,"laucode"
2018,1103,115,"laucode"
2019,1286,115,"laucode"
2020,1534,115,"laucode"
2021,1738,115,"laucode"
2022,1789,115,"laucode"
2023,1937,115,"laucode"
2024,2167,115,"laucode"
2025,2204,115,"laucode"
2016,88,115,"laucode"
2017,86,115,"laucode"
2018,88,115,"laucode"
2019,93,115,"laucode"
2020,119,115,"laucode"
2021,151,115,"laucode"
2022,161,115,"laucode"
2023,179,115,"laucode"
2024,196,115,"laucode"
2025,199,115,"laucode"
2016,90,115,"laucode"
2017,87,115,"laucode"
2018,92,115,"laucode"
2019,107,115,"laucode"
2020,129,115,"laucode"
2021,145,115,"laucode"
2022,149,115,"laucode"
2023,162,115,"laucode"
2024,182,115,"laucode"
2025,185,115,"laucode"
2016,1105,117,"laucode"
2017,1137,117,"laucode"
2018,1148,117,"laucode"
2019,1197,117,"laucode"
2020,1265,117,"laucode"
2021,1284,117,"laucode"
2022,1428,117,"laucode"
2023,1520,117,"laucode"
2024,1558,117,"laucode"
2025,1544,117,"laucode"
2016,1153,117,"laucode"
2017,1198,117,"laucode"
2018,1208,117,"laucode"
2019,1218,117,"laucode"
2020,1306,117,"laucode"
2021,1401,117,"laucode"
2022,1509,117,"laucode"
2023,1569,117,"laucode"
2024,1621,117,"laucode"
2025,1688,117,"laucode"
2016,92,117,"laucode"
2017,95,117,"laucode"
2018,96,117,"laucode"
2019,100,117,"laucode"
2020,106,117,"laucode"
2021,107,117,"laucode"
2022,119,117,"laucode"
2023,128,117,"laucode"
2024,130,117,"laucode"
2025,129,117,"laucode"
2016,96,117,"laucode"
2017,100,117,"laucode"
2018,101,117,"laucode"
2019,102,117,"laucode"
2020,109,117,"laucode"
2021,117,117,"laucode"
2022,126,117,"laucode"
2023,131,117,"laucode"
2024,135,117,"laucode"
2025,141,117,"laucode"
2016,1052,120,"laucode"
2017,1080,120,"laucode"
2018,1115,120,"laucode"
2019,1167,120,"laucode"
2020,1216,120,"laucode"
2021,1286,120,"laucode"
2022,1429,120,"laucode"
2023,1490,120,"laucode"
2024,1573,120,"laucode"
2025,1733,120,"laucode"
2016,1144,120,"laucode"
2017,1186,120,"laucode"
2018,1282,120,"laucode"
2019,1263,120,"laucode"
2020,1357,120,"laucode"
2021,1421,120,"laucode"
2022,1449,120,"laucode"
2023,1508,120,"laucode"
2024,1612,120,"laucode"
2025,1743,120,"laucode"
2016,88,120,"laucode"
2017,90,120,"laucode"
2018,93,120,"laucode"
2019,98,120,"laucode"
2020,102,120,"laucode"
2021,107,120,"laucode"
2022,119,120,"laucode"
2023,125,120,"laucode"
2024,131,120,"laucode"
2025,144,120,"laucode"
2016,96,120,"laucode"
2017,99,120,"laucode"
2018,107,120,"laucode"
2019,106,120,"laucode"
2020,114,120,"laucode"
2021,119,120,"laucode"
2022,121,120,"laucode"
2023,126,120,"laucode"
2024,135,120,"laucode"
2025,146,120,"laucode"
2016,1032,123,"laucode"
2017,1065,123,"laucode"
2018,1083,123,"laucode"
2019,1062,123,"laucode"
2020,1088,123,"laucode"
2021,1154,123,"laucode"
2022,1173,123,"laucode"
2023,1229,123,"laucode"
2024,1339,123,"laucode"
2025,1522,123,"laucode"
2016,1071,123,"laucode"
2017,1087,123,"laucode"
2018,1120,123,"laucode"
2019,1150,123,"laucode"
2020,1191,123,"laucode"
2021,1283,123,"laucode"
2022,1346,123,"laucode"
2023,1404,123,"laucode"
2024,1591,123,"laucode"
2025,1776,123,"laucode"
2016,86,123,"laucode"
2017,89,123,"laucode"
2018,90,123,"laucode"
2019,88,123,"laucode"
2020,91,123,"laucode"
2021,96,123,"laucode"
2022,98,123,"laucode"
2023,102,123,"laucode"
2024,112,123,"laucode"
2025,127,123,"laucode"
