"year","observations","region","value"
"1998","Number","Upplands Väsby",243
"1999","Number","Upplands Väsby",247
"2000","Number","Upplands Väsby",269
"2001","Number","Upplands Väsby",219
"2002","Number","Upplands Väsby",203
"2003","Number","Upplands Väsby",188
"2004","Number","Upplands Väsby",182
"2005","Number","Upplands Väsby",161
"2006","Number","Upplands Väsby",175
"2007","Number","Upplands Väsby",141
"2008","Number","Upplands Väsby",135
"2009","Number","Upplands Väsby",156
"2010","Number","Upplands Väsby",114
"2011","Number","Upplands Väsby",122
"2012","Number","Upplands Väsby",122
"2013","Number","Upplands Väsby",121
"2014","Number","Upplands Väsby",111
"2015","Number","Upplands Väsby",108
"2016","Number","Upplands Väsby",117
"2017","Number","Upplands Väsby",127
"2018","Number","Upplands Väsby",142
"2019","Number","Upplands Väsby",146
"2020","Number","Upplands Väsby",154
"2021","Number","Upplands Väsby",163
"2022","Number","Upplands Väsby",164
"2023","Number","Upplands Väsby",168
"2024","Number","Upplands Väsby",153
"1998","Number","Vallentuna",1149
"1999","Number","Vallentuna",1124
"2000","Number","Vallentuna",1134
"2001","Number","Vallentuna",1065
"2002","Number","Vallentuna",1056
"2003","Number","Vallentuna",1150
"2004","Number","Vallentuna",1127
"2005","Number","Vallentuna",1071
"2006","Number","Vallentuna",1043
"2007","Number","Vallentuna",1020
"2008","Number","Vallentuna",1022
"2009","Number","Vallentuna",989
"2010","Number","Vallentuna",980
"2011","Number","Vallentuna",942
"2012","Number","Vallentuna",941
"2013","Number","Vallentuna",929
"2014","Number","Vallentuna",904
"2015","Number","Vallentuna",869
"2016","Number","Vallentuna",863
"2017","Number","Vallentuna",831
"2018","Number","Vallentuna",834
"2019","Number","Vallentuna",822
"2020","Number","Vallentuna",815
"2021","Number","Vallentuna",778
"2022","Number","Vallentuna",742
"2023","Number","Vallentuna",753
"2024","Number","Vallentuna",751
"1998","Number","Österåker",6380
"1999","Number","Österåker",6317
"2000","Number","Österåker",6256
"2001","Number","Österåker",6124
"2002","Number","Österåker",6071
"2003","Number","Österåker",6181
"2004","Number","Österåker",6101
"2005","Number","Österåker",5997
"2006","Number","Österåker",6018
"2007","Number","Österåker",5945
"2008","Number","Österåker",5936
"2009","Number","Österåker",5956
"2010","Number","Österåker",5938
"2011","Number","Österåker",5965
"2012","Number","Österåker",5985
"2013","Number","Österåker",5993
"2014","Number","Österåker",5993
"2015","Number","Österåker",6050
"2016","Number","Österåker",6058
"2017","Number","Österåker",6060
"2018","Number","Österåker",6172
"2019","Number","Österåker",6127
"2020","Number","Österåker",6086
"2021","Number","Österåker",6077
"2022","Number","Österåker",6049
