date_adscrape,date_adcreate,date_adadjust,idhref,type,postcode,city_name,ad_price,ad_price_fx,ad_fx,rooms,floor_m2,construct_year,price_m2,LAU_code,GEOnat_code,NUTS_code,isnew,plot_m2,ad_details,scraper
2018-11-27,,,15355377,house,,Hylte,475000,47500,EUR,4,103,1975,4611.65048543689,SE_1315,,SE231,FALSE,,https://www.hemnet.se/bostad/villa-4rum-hylte-kommun-skogsvagen-15-15355377,luca
2018-11-27,,,15354755,flat,,Halmstad,3460000,346000,EUR,5,147,2018,23537.4149659864,SE_1380,,SE231,TRUE,,https://www.hemnet.se/bostad/bostadsratt-5rum-centrum-halmstads-kommun-bryngelshusgatan-15354755,luca
2018-11-27,,,15353815,house,,Kungsbacka,3395000,339500,EUR,5,117,1968,29017.094017094,SE_1384,,SE231,FALSE,,https://www.hemnet.se/bostad/radhus-5rum-kungsbacka-kungsbacka-kommun-kaprifolvagen-22-15353815,luca
2018-11-27,,,9842136,house,,Falkenberg,795000,79500,EUR,5,132,1983,6022.72727272727,SE_1382,,SE231,FALSE,,https://www.hemnet.se/bostad/villa-5rum-ullared-falkenbergs-kommun-hoghult-bjorkelund-302-9842136,luca
2018-11-27,,,14809655,house,,Laholm,1987000,198700,EUR,7,84,,23654.7619047619,SE_1381,,SE231,FALSE,,https://www.hemnet.se/bostad/villa-7rum-veinge-laholms-kommun-veingevagen-54-14809655,luca
2018-11-27,,,15025435,house,,Kungsbacka,3990000,399000,EUR,6,160,1963,24937.5,SE_1384,,SE231,FALSE,,https://www.hemnet.se/bostad/villa-6rum-anneberg-alvsaker-kungsbacka-kommun-svalvagen-24-15025435,luca
2018-11-27,,,15348075,flat,,Halmstad,1575000,157500,EUR,"4,5",105,1968,15000,SE_1380,,SE231,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-4,5rum-centrum-oster-halmstads-kommun-snostorpsvagen-12a-15348075",luca
2018-11-27,,,13739695,flat,,Kungsbacka,3995000,399500,EUR,5,116,2018,34439.6551724138,SE_1384,,SE231,TRUE,,https://www.hemnet.se/bostad/bostadsratt-5rum-kolla-parkstad-kungsbacka-kommun-smaragdvagen-8-13739695,luca
2018-11-27,,,15343115,house,,Laholm,1850000,185000,EUR,4,126,1963,14682.5396825397,SE_1381,,SE231,FALSE,,https://www.hemnet.se/bostad/villa-4rum-veinge-laholms-kommun-dalgatan-10-15343115,luca
2018-11-27,,,15341255,flat,,Kungsbacka,1750000,175000,EUR,1,30.5,2017,57377.0491803279,SE_1384,,SE231,FALSE,,https://www.hemnet.se/bostad/bostadsratt-1rum-kungsbacka-kungsbacka-kommun-porfyrvagen-10-15341255,luca
