"gender","year","municipalities","value"
"Sex - TOTAL","2000","Ajdovščina",6626
"Sex - TOTAL","2000","Ankaran/Ancarano",NA
"Sex - TOTAL","2000","Apače",NA
"Sex - TOTAL","2000","Beltinci",1274
"Sex - TOTAL","2000","Benedikt",169
"Sex - TOTAL","2000","Bistrica ob Sotli",295
"Sex - TOTAL","2000","Bled",3575
"Sex - TOTAL","2000","Bloke",239
"Sex - TOTAL","2000","Bohinj",1289
"Sex - TOTAL","2000","Borovnica",488
"Sex - TOTAL","2000","Bovec",1023
"Sex - TOTAL","2000","Braslovče",588
"Sex - TOTAL","2000","Brda",542
"Sex - TOTAL","2000","Brezovica",1437
"Sex - TOTAL","2000","Brežice",6517
"Sex - TOTAL","2000","Cankova",256
"Sex - TOTAL","2000","Celje",28681
"Sex - TOTAL","2000","Cerklje na Gorenjskem",1848
"Sex - TOTAL","2000","Cerknica",3024
"Sex - TOTAL","2000","Cerkno",1887
"Sex - TOTAL","2000","Cerkvenjak",123
"Sex - TOTAL","2000","Cirkulane",NA
"Sex - TOTAL","2000","Črenšovci",569
"Sex - TOTAL","2000","Črna na Koroškem",787
"Sex - TOTAL","2000","Črnomelj",4895
"Sex - TOTAL","2000","Destrnik",173
"Sex - TOTAL","2000","Divača",1158
"Sex - TOTAL","2000","Dobje",106
"Sex - TOTAL","2000","Dobrepolje",738
"Sex - TOTAL","2000","Dobrna",451
"Sex - TOTAL","2000","Dobrova - Polhov Gradec",875
"Sex - TOTAL","2000","Dobrovnik/Dobronak",135
"Sex - TOTAL","2000","Dol pri Ljubljani",798
"Sex - TOTAL","2000","Dolenjske Toplice",567
"Sex - TOTAL","2000","Domžale",11152
"Sex - TOTAL","2000","Dornava",616
"Sex - TOTAL","2000","Dravograd",2656
"Sex - TOTAL","2000","Duplek",563
"Sex - TOTAL","2000","Gorenja vas - Poljane",983
"Sex - TOTAL","2000","Gorišnica",608
"Sex - TOTAL","2000","Gorje",NA
"Sex - TOTAL","2000","Gornja Radgona",4238
"Sex - TOTAL","2000","Gornji Grad",374
"Sex - TOTAL","2000","Gornji Petrovci",346
"Sex - TOTAL","2000","Grad",214
"Sex - TOTAL","2000","Grosuplje",4524
"Sex - TOTAL","2000","Hajdina",544
"Sex - TOTAL","2000","Hoče - Slivnica",2820
"Sex - TOTAL","2000","Hodoš/Hodos",51
"Sex - TOTAL","2000","Horjul",599
"Sex - TOTAL","2000","Hrastnik",3344
"Sex - TOTAL","2000","Hrpelje - Kozina",1186
"Sex - TOTAL","2000","Idrija",5198
"Sex - TOTAL","2000","Ig",1022
"Sex - TOTAL","2000","Ilirska Bistrica",3737
"Sex - TOTAL","2000","Ivančna Gorica",2495
"Sex - TOTAL","2000","Izola/Isola",4967
"Sex - TOTAL","2000","Jesenice",7892
"Sex - TOTAL","2000","Jezersko",105
"Sex - TOTAL","2000","Juršinci",116
"Sex - TOTAL","2000","Kamnik",8044
"Sex - TOTAL","2000","Kanal",1375
"Sex - TOTAL","2000","Kidričevo",3410
"Sex - TOTAL","2000","Kobarid",928
"Sex - TOTAL","2000","Kobilje",193
"Sex - TOTAL","2000","Kočevje",5808
"Sex - TOTAL","2000","Komen",661
"Sex - TOTAL","2000","Komenda",852
"Sex - TOTAL","2000","Koper/Capodistria",20417
"Sex - TOTAL","2000","Kostanjevica na Krki",NA
"Sex - TOTAL","2000","Kostel",114
"Sex - TOTAL","2000","Kozje",700
"Sex - TOTAL","2000","Kranj",25414
"Sex - TOTAL","2000","Kranjska Gora",1429
"Sex - TOTAL","2000","Križevci",728
"Sex - TOTAL","2000","Krško",10164
"Sex - TOTAL","2000","Kungota",639
"Sex - TOTAL","2000","Kuzma",99
"Sex - TOTAL","2000","Laško",3927
"Sex - TOTAL","2000","Lenart",3921
"Sex - TOTAL","2000","Lendava/Lendva",4451
"Sex - TOTAL","2000","Litija",4274
"Sex - TOTAL","2000","Ljubljana",174896
"Sex - TOTAL","2000","Ljubno",527
"Sex - TOTAL","2000","Ljutomer",4268
"Sex - TOTAL","2000","Log - Dragomer",NA
"Sex - TOTAL","2000","Logatec",3263
"Sex - TOTAL","2000","Loška dolina",1731
"Sex - TOTAL","2000","Loški Potok",264
"Sex - TOTAL","2000","Lovrenc na Pohorju",536
"Sex - TOTAL","2000","Luče",204
"Sex - TOTAL","2000","Lukovica",753
"Sex - TOTAL","2000","Majšperk",620
"Sex - TOTAL","2000","Makole",NA
"Sex - TOTAL","2000","Maribor",59494
"Sex - TOTAL","2000","Markovci",393
"Sex - TOTAL","2000","Medvode",3265
"Sex - TOTAL","2000","Mengeš",2615
"Sex - TOTAL","2000","Metlika",3369
"Sex - TOTAL","2000","Mežica",1391
"Sex - TOTAL","2000","Miklavž na Dravskem polju",889
"Sex - TOTAL","2000","Miren - Kostanjevica",1125
"Sex - TOTAL","2000","Mirna",NA
"Sex - TOTAL","2000","Mirna Peč",275
"Sex - TOTAL","2000","Mislinja",586
"Sex - TOTAL","2000","Mokronog - Trebelno",NA
"Sex - TOTAL","2000","Moravče",373
"Sex - TOTAL","2000","Moravske Toplice",1251
"Sex - TOTAL","2000","Mozirje",1494
"Sex - TOTAL","2000","Murska Sobota",15798
"Sex - TOTAL","2000","Muta",1164
"Sex - TOTAL","2000","Naklo",2377
"Sex - TOTAL","2000","Nazarje",2381
"Sex - TOTAL","2000","Nova Gorica",17094
"Sex - TOTAL","2000","Novo mesto",22007
"Sex - TOTAL","2000","Odranci",172
"Sex - TOTAL","2000","Oplotnica",456
"Sex - TOTAL","2000","Ormož",4343
"Sex - TOTAL","2000","Osilnica",90
"Sex - TOTAL","2000","Pesnica",1083
"Sex - TOTAL","2000","Piran/Pirano",6809
"Sex - TOTAL","2000","Pivka",1892
"Sex - TOTAL","2000","Podčetrtek",671
"Sex - TOTAL","2000","Podlehnik",311
"Sex - TOTAL","2000","Podvelka",354
"Sex - TOTAL","2000","Poljčane",NA
"Sex - TOTAL","2000","Polzela",1789
"Sex - TOTAL","2000","Postojna",7315
"Sex - TOTAL","2000","Prebold",1337
"Sex - TOTAL","2000","Preddvor",499
"Sex - TOTAL","2000","Prevalje",1762
"Sex - TOTAL","2000","Ptuj",11579
"Sex - TOTAL","2000","Puconci",490
"Sex - TOTAL","2000","Rače - Fram",965
"Sex - TOTAL","2000","Radeče",1196
"Sex - TOTAL","2000","Radenci",1462
"Sex - TOTAL","2000","Radlje ob Dravi",2372
"Sex - TOTAL","2000","Radovljica",5841
"Sex - TOTAL","2000","Ravne na Koroškem",5662
"Sex - TOTAL","2000","Razkrižje",94
"Sex - TOTAL","2000","Rečica ob Savinji",NA
"Sex - TOTAL","2000","Renče - Vogrsko",NA
"Sex - TOTAL","2000","Ribnica",2818
"Sex - TOTAL","2000","Ribnica na Pohorju",144
"Sex - TOTAL","2000","Rogaška Slatina",5194
"Sex - TOTAL","2000","Rogašovci",283
"Sex - TOTAL","2000","Rogatec",751
"Sex - TOTAL","2000","Ruše",2089
"Sex - TOTAL","2000","Selnica ob Dravi",946
"Sex - TOTAL","2000","Semič",1572
"Sex - TOTAL","2000","Sevnica",5716
"Sex - TOTAL","2000","Sežana",5557
"Sex - TOTAL","2000","Slovenj Gradec",8795
"Sex - TOTAL","2000","Slovenska Bistrica",8837
"Sex - TOTAL","2000","Slovenske Konjice",4395
"Sex - TOTAL","2000","Sodražica",531
"Sex - TOTAL","2000","Solčava",91
"Sex - TOTAL","2000","Središče ob Dravi",NA
"Sex - TOTAL","2000","Starše",333
"Sex - TOTAL","2000","Straža",NA
"Sex - TOTAL","2000","Sveta Ana",140
"Sex - TOTAL","2000","Sveta Trojica v Slov. goricah",NA
