"year","observations","sex","region","value"
"2007","Average monthly salary in the municipalities","men","Sweden",23500
"2008","Average monthly salary in the municipalities","men","Sweden",24700
"2009","Average monthly salary in the municipalities","men","Sweden",25400
"2010","Average monthly salary in the municipalities","men","Sweden",25700
"2011","Average monthly salary in the municipalities","men","Sweden",26300
"2012","Average monthly salary in the municipalities","men","Sweden",26900
"2013","Average monthly salary in the municipalities","men","Sweden",27700
"2014","Average monthly salary in the municipalities","men","Sweden",28400
"2015","Average monthly salary in the municipalities","men","Sweden",29000
"2016","Average monthly salary in the municipalities","men","Sweden",29700
"2017","Average monthly salary in the municipalities","men","Sweden",30500
"2018","Average monthly salary in the municipalities","men","Sweden",31200
"2019","Average monthly salary in the municipalities","men","Sweden",32000
"2020","Average monthly salary in the municipalities","men","Sweden",32600
"2021","Average monthly salary in the municipalities","men","Sweden",33400
"2022","Average monthly salary in the municipalities","men","Sweden",34100
"2023","Average monthly salary in the municipalities","men","Sweden",35200
"2024","Average monthly salary in the municipalities","men","Sweden",36400
"2007","Number of employees in the municipalities","men","Sweden",157200
"2008","Number of employees in the municipalities","men","Sweden",155900
"2009","Number of employees in the municipalities","men","Sweden",157000
"2010","Number of employees in the municipalities","men","Sweden",158000
"2011","Number of employees in the municipalities","men","Sweden",158400
"2012","Number of employees in the municipalities","men","Sweden",154800
"2013","Number of employees in the municipalities","men","Sweden",156500
"2014","Number of employees in the municipalities","men","Sweden",165500
"2015","Number of employees in the municipalities","men","Sweden",174100
"2016","Number of employees in the municipalities","men","Sweden",187100
"2017","Number of employees in the municipalities","men","Sweden",191300
"2018","Number of employees in the municipalities","men","Sweden",193700
"2019","Number of employees in the municipalities","men","Sweden",195800
"2020","Number of employees in the municipalities","men","Sweden",198400
"2021","Number of employees in the municipalities","men","Sweden",202200
"2022","Number of employees in the municipalities","men","Sweden",206100
"2023","Number of employees in the municipalities","men","Sweden",211500
"2024","Number of employees in the municipalities","men","Sweden",211700
