NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (m2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
SE110,0114,Upplands Väsby,,no,46786,75000000,2,no,yes,no,,no,,,no,,SE001L1,no,Stockholm
SE110,0115,Vallentuna,,no,34090,357730000,2,no,no,no,,no,,,no,,SE001L1,no,Stockholm
SE110,0117,Österåker,,no,45574,312350000,2,no,yes,no,,no,,,no,,SE001L1,no,Stockholm
SE110,0120,Värmdö,,no,45000,443970000,3,no,yes,no,,no,,,no,,SE001L1,no,Stockholm
SE110,0123,Järfälla,,no,79990,53790000,1,no,yes,no,,no,,SE001K1,no,Stockholm,SE001L1,no,Stockholm
SE110,0125,Ekerö,,no,28690,217380000,2,no,no,no,,no,,,no,,SE001L1,no,Stockholm
SE110,0126,Huddinge,,no,112848,130860000,1,no,no,no,,no,,SE001K1,no,Stockholm,SE001L1,no,Stockholm
SE110,0127,Botkyrka,,no,94606,194040000,2,no,yes,no,,no,,SE001K1,no,Stockholm,SE001L1,no,Stockholm
SE110,0128,Salem,,no,16750,54100000,2,no,yes,no,,no,,,no,,SE001L1,no,Stockholm
SE110,0136,Haninge,,no,92095,455400000,2,no,yes,no,,no,,SE001K1,no,Stockholm,SE001L1,no,Stockholm
SE110,0138,Tyresö,,no,48333,69040000,1,no,yes,no,,no,,SE001K1,no,Stockholm,SE001L1,no,Stockholm
SE110,0139,Upplands-Bro,,no,29346,235300000,2,no,no,no,,no,,,no,,SE001L1,no,Stockholm
SE110,0140,Nykvarn,,no,11014,152680000,2,no,no,no,,no,,,no,,SE001L1,no,Stockholm
SE110,0160,Täby,,no,71874,60690000,1,no,yes,no,,no,,SE001K1,no,Stockholm,SE001L1,no,Stockholm
SE110,0162,Danderyd,,no,32857,26370000,1,no,yes,no,,no,,SE001K1,no,Stockholm,SE001L1,no,Stockholm
SE110,0163,Sollentuna,,no,73857,52610000,1,no,yes,no,,no,,SE001K1,no,Stockholm,SE001L1,no,Stockholm
SE110,0180,Stockholm,,no,974073,187200000,1,no,yes,no,SE001C1,no,Stockholm,SE001K1,no,Stockholm,SE001L1,no,Stockholm
SE110,0181,Södertälje,,no,98979,524010000,1,no,yes,no,SE009C1,no,Södertälje,,no,,SE001L1,no,Stockholm
SE110,0182,Nacka,,no,105189,94930000,2,no,yes,no,,no,,SE001K1,no,Stockholm,SE001L1,no,Stockholm
SE110,0183,Sundbyberg,,no,52414,8690000,1,no,yes,no,,no,,SE001K1,no,Stockholm,SE001L1,no,Stockholm
