time,code,name,level,country,country_name,target,frequency,evolution,dwelling,vintage,index,index_country
01/01/1986,se11,Stockholm (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,100,
01/01/1986,se12,East Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,100,
01/01/1986,se21,Småland with Islands (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,100,
01/01/1986,se22,South Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,100,
01/01/1986,se23,West Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,100,
01/01/1986,se31,North Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,100,
01/01/1986,se32,Central Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,100,
01/01/1986,se33,Upper Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,100,
01/01/1987,se11,Stockholm (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,119.8364008,
01/01/1987,se12,East Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,112.5560538,
01/01/1987,se21,Småland with Islands (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,110.1851852,
01/01/1987,se22,South Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,110.7623318,
01/01/1987,se23,West Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,112.1338912,
01/01/1987,se31,North Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,107.8828829,
01/01/1987,se32,Central Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,107.1895425,
01/01/1987,se33,Upper Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,108.8888889,
01/01/1988,se11,Stockholm (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,152.1472393,
01/01/1988,se12,East Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,129.3721973,
01/01/1988,se21,Småland with Islands (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,122.9166667,
01/01/1988,se22,South Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,130.044843,
01/01/1988,se23,West Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,135.1464435,
01/01/1988,se31,North Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,122.7477477,
01/01/1988,se32,Central Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,117.211329,
01/01/1988,se33,Upper Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,121.3333333,
01/01/1989,se11,Stockholm (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,181.390593,
01/01/1989,se12,East Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,152.9147982,
01/01/1989,se21,Småland with Islands (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,144.212963,
01/01/1989,se22,South Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,158.2959641,
01/01/1989,se23,West Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,162.3430962,
01/01/1989,se31,North Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,141.8918919,
01/01/1989,se32,Central Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,131.1546841,
01/01/1989,se33,Upper Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,142.4444444,
01/01/1990,se11,Stockholm (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,201.8404908,
01/01/1990,se12,East Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,170.8520179,
01/01/1990,se21,Småland with Islands (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,160.6481481,
01/01/1990,se22,South Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,183.1838565,
01/01/1990,se23,West Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,178.2426778,
01/01/1990,se31,North Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,159.9099099,
01/01/1990,se32,Central Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,145.751634,
01/01/1990,se33,Upper Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,159.1111111,
01/01/1991,se11,Stockholm (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,206.7484663,
01/01/1991,se12,East Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,183.4080717,
01/01/1991,se21,Småland with Islands (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,176.1574074,
01/01/1991,se22,South Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,204.2600897,
01/01/1991,se23,West Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,188.7029289,
01/01/1991,se31,North Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,171.3963964,
01/01/1991,se32,Central Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,157.08061,
01/01/1991,se33,Upper Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,172,
01/01/1992,se11,Stockholm (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,177.9141104,
01/01/1992,se12,East Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,169.058296,
01/01/1992,se21,Småland with Islands (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,166.6666667,
01/01/1992,se22,South Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,186.9955157,
01/01/1992,se23,West Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,168.8284519,
01/01/1992,se31,North Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,161.036036,
01/01/1992,se32,Central Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,149.8910675,
01/01/1992,se33,Upper Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,161.3333333,
01/01/1993,se11,Stockholm (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,150.1022495,
01/01/1993,se12,East Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,149.5515695,
01/01/1993,se21,Småland with Islands (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,154.3981481,
01/01/1993,se22,South Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,166.1434978,
01/01/1993,se23,West Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,150.209205,
01/01/1993,se31,North Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,148.6486486,
01/01/1993,se32,Central Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,134.422658,
01/01/1993,se33,Upper Norrland (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,145.5555556,
01/01/1994,se11,Stockholm (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,164.6216769,
01/01/1994,se12,East Middle Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,153.8116592,
01/01/1994,se21,Småland with Islands (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,161.8055556,
01/01/1994,se22,South Sweden (SWE),Small regions,SWE,Sweden,TRUE,Annual data,Nominal,Total,Total,173.3183857,
