"Residential and non-residential floor space within localities, by region by region, type of property, observations and every fifth year",,,,,,,,,,,
,,,,,,,,,,,
region,type of property,Residential floor space in 1000 sq.m 2000,Residential floor space in 1000 sq.m 2005,Residential floor space in 1000 sq.m 2010,Residential floor space in 1000 sq.m 2015,Residential floor space in 1000 sq.m 2020,Non-residential floor space in 1000 sq.m 2000,Non-residential floor space in 1000 sq.m 2005,Non-residential floor space in 1000 sq.m 2010,Non-residential floor space in 1000 sq.m 2015,Non-residential floor space in 1000 sq.m 2020
0114 Upplands Väsby,one- or two dwelling buildings,639,684,722,760,855,..,..,..,..,..
0114 Upplands Väsby,multi-dwelling and commercial buildings,757,775,809,844,909,315,332,387,440,401
0114 Upplands Väsby,industrial buildings,..,..,..,..,..,266,280,373,341,362
0114 Upplands Väsby,total,1396,1459,1531,1603,1765,581,611,760,781,764
0115 Vallentuna,one- or two dwelling buildings,589,626,744,846,911,..,..,..,..,..
0115 Vallentuna,multi-dwelling and commercial buildings,237,265,280,295,318,41,43,70,79,85
0115 Vallentuna,industrial buildings,..,..,..,..,..,96,106,131,144,154
0115 Vallentuna,total,826,891,1024,1141,1228,137,149,202,223,239
0117 Österåker,one- or two dwelling buildings,1001,1169,1241,1488,1656,..,..,..,..,..
0117 Österåker,multi-dwelling and commercial buildings,246,274,291,329,378,99,107,139,171,199
0117 Österåker,industrial buildings,..,..,..,..,..,111,120,127,127,139
0117 Österåker,total,1248,1443,1533,1817,2034,210,227,266,299,337
0120 Värmdö,one- or two dwelling buildings,603,831,923,1562,1689,..,..,..,..,..
0120 Värmdö,multi-dwelling and commercial buildings,252,266,314,354,434,73,129,195,205,215
0120 Värmdö,industrial buildings,..,..,..,..,1,99,123,103,136,112
0120 Värmdö,total,854,1096,1237,1916,2123,172,252,298,341,327
0123 Järfälla,one- or two dwelling buildings,1249,1308,1369,1414,1460,..,..,..,..,..
0123 Järfälla,multi-dwelling and commercial buildings,1173,1234,1288,1394,1627,415,525,548,645,674
0123 Järfälla,industrial buildings,..,..,..,..,..,550,581,586,636,639
0123 Järfälla,total,2423,2542,2657,2808,3088,965,1106,1135,1281,1313
0125 Ekerö,one- or two dwelling buildings,551,628,735,879,996,..,..,..,..,..
0125 Ekerö,multi-dwelling and commercial buildings,93,100,102,101,119,16,18,26,38,65
0125 Ekerö,industrial buildings,..,..,..,..,..,40,40,43,64,64
0125 Ekerö,total,644,728,837,979,1114,56,58,69,101,129
0126 Huddinge,one- or two dwelling buildings,1865,2035,2189,2350,2530,..,..,..,..,..
0126 Huddinge,multi-dwelling and commercial buildings,1363,1407,1469,1518,1656,631,772,829,965,1153
0126 Huddinge,industrial buildings,..,..,..,..,..,548,537,586,632,694
0126 Huddinge,total,3228,3442,3658,3868,4186,1179,1309,1415,1597,1848
0127 Botkyrka,one- or two dwelling buildings,1187,1310,1385,1467,1559,..,..,..,..,..
0127 Botkyrka,multi-dwelling and commercial buildings,1437,1461,1495,1540,1636,405,374,428,394,398
0127 Botkyrka,industrial buildings,..,..,..,..,..,327,426,493,547,570
0127 Botkyrka,total,2623,2771,2880,3007,3195,732,799,921,941,968
0128 Salem,one- or two dwelling buildings,388,426,457,482,498,..,..,..,..,..
0128 Salem,multi-dwelling and commercial buildings,162,185,185,190,203,17,21,23,26,27
0128 Salem,industrial buildings,..,..,..,..,..,8,8,8,8,10
0128 Salem,total,551,611,642,673,702,25,29,31,34,37
0136 Haninge,one- or two dwelling buildings,1266,1365,1466,1747,1887,..,..,..,..,..
0136 Haninge,multi-dwelling and commercial buildings,1295,1322,1364,1439,1574,439,500,503,523,558
0136 Haninge,industrial buildings,..,..,..,..,..,518,626,712,754,850
0136 Haninge,total,2561,2687,2830,3186,3462,957,1125,1215,1277,1408
0138 Tyresö,one- or two dwelling buildings,970,1054,1113,1192,1256,..,..,..,..,..
0138 Tyresö,multi-dwelling and commercial buildings,577,621,635,703,772,86,104,104,121,136
0138 Tyresö,industrial buildings,..,..,..,..,..,158,174,186,188,198
0138 Tyresö,total,1548,1675,1748,1896,2028,244,279,290,309,334
0139 Upplands-Bro,one- or two dwelling buildings,378,414,461,520,586,..,..,..,..,..
0139 Upplands-Bro,multi-dwelling and commercial buildings,354,351,398,409,479,91,79,73,69,108
0139 Upplands-Bro,industrial buildings,..,..,..,..,..,135,147,149,222,413
0139 Upplands-Bro,total,732,765,859,928,1066,226,227,222,291,521
0140 Nykvarn,one- or two dwelling buildings,191,202,225,246,305,..,..,..,..,..
0140 Nykvarn,multi-dwelling and commercial buildings,48,51,59,69,83,10,13,12,9,24
0140 Nykvarn,industrial buildings,..,..,..,..,..,58,70,72,110,214
0140 Nykvarn,total,239,253,285,315,388,68,83,84,119,239
0160 Täby,one- or two dwelling buildings,1777,1835,1914,1998,2099,..,..,..,..,..
0160 Täby,multi-dwelling and commercial buildings,837,875,934,1050,1180,386,399,373,555,603
0160 Täby,industrial buildings,..,..,..,..,4,175,171,162,306,316
0160 Täby,total,2613,2710,2849,3048,3283,561,570,535,861,919
0162 Danderyd,one- or two dwelling buildings,1082,1122,1153,1191,1237,..,..,..,..,..
0162 Danderyd,multi-dwelling and commercial buildings,371,391,400,418,433,275,291,276,297,333
0162 Danderyd,industrial buildings,..,..,..,..,..,48,54,57,68,76
0162 Danderyd,total,1453,1513,1553,1608,1670,322,344,333,365,409
0163 Sollentuna,one- or two dwelling buildings,1485,1566,1671,1732,1822,..,..,..,..,..
0163 Sollentuna,multi-dwelling and commercial buildings,862,904,946,1101,1190,539,611,736,750,766
0163 Sollentuna,industrial buildings,..,..,..,..,3,362,363,355,335,361
0163 Sollentuna,total,2348,2469,2617,2833,3015,901,974,1091,1084,1127
0180 Stockholm,one- or two dwelling buildings,5283,5229,5379,5565,5772,..,..,..,..,..
0180 Stockholm,multi-dwelling and commercial buildings,23372,24217,25985,27511,29128,14254,14662,15458,15732,16149
0180 Stockholm,industrial buildings,..,..,..,1,5,4456,3816,3301,3030,2787
0180 Stockholm,total,28655,29446,31365,33077,34905,18710,18478,18759,18762,18936
0181 Södertälje,one- or two dwelling buildings,978,1071,1145,1247,1379,..,..,..,..,..
0181 Södertälje,multi-dwelling and commercial buildings,1729,1751,1801,1854,1950,567,682,792,799,888
0181 Södertälje,industrial buildings,..,..,..,..,..,1249,1306,1318,1299,1338
0181 Södertälje,total,2708,2822,2946,3101,3329,1817,1989,2111,2098,2226
0182 Nacka,one- or two dwelling buildings,1696,1840,1979,2199,2366,..,..,..,..,..
0182 Nacka,multi-dwelling and commercial buildings,1357,1456,1635,1758,2034,701,787,839,906,981
0182 Nacka,industrial buildings,..,..,..,..,..,304,333,337,313,313
0182 Nacka,total,3052,3295,3614,3957,4399,1005,1120,1176,1220,1294
0183 Sundbyberg,one- or two dwelling buildings,110,111,161,190,214,..,..,..,..,..
0183 Sundbyberg,multi-dwelling and commercial buildings,1134,1150,1222,1405,1605,651,673,733,811,809
0183 Sundbyberg,industrial buildings,..,..,..,..,..,79,121,45,44,50
0183 Sundbyberg,total,1245,1261,1383,1595,1820,729,793,778,855,859
0184 Solna,one- or two dwelling buildings,88,80,86,115,146,..,..,..,..,..
0184 Solna,multi-dwelling and commercial buildings,2057,2229,2417,2676,2833,1648,1917,1994,2410,2681
0184 Solna,industrial buildings,..,..,..,1,18,367,325,305,274,183
0184 Solna,total,2145,2308,2503,2792,2998,2015,2242,2299,2683,2864
0186 Lidingö,one- or two dwelling buildings,996,1046,1086,1125,1173,..,..,..,..,..
0186 Lidingö,multi-dwelling and commercial buildings,806,865,899,940,1003,232,234,245,248,288
0186 Lidingö,industrial buildings,..,..,..,..,9,131,147,131,120,129
0186 Lidingö,total,1802,1911,1985,2065,2186,364,381,376,368,417
0187 Vaxholm,one- or two dwelling buildings,224,245,296,417,433,..,..,..,..,..
0187 Vaxholm,multi-dwelling and commercial buildings,115,124,123,136,172,32,28,25,26,32
0187 Vaxholm,industrial buildings,..,..,..,..,2,8,9,9,20,30
0187 Vaxholm,total,340,369,419,553,606,40,37,35,46,63
0188 Norrtälje,one- or two dwelling buildings,694,696,730,1119,1363,..,..,..,..,..
0188 Norrtälje,multi-dwelling and commercial buildings,618,646,685,742,825,233,247,268,288,337
0188 Norrtälje,industrial buildings,..,..,..,..,..,387,407,430,456,465
0188 Norrtälje,total,1312,1342,1414,1861,2188,619,654,697,744,802
0191 Sigtuna,one- or two dwelling buildings,482,537,572,638,695,..,..,..,..,..
0191 Sigtuna,multi-dwelling and commercial buildings,675,709,754,812,886,200,178,209,167,208
0191 Sigtuna,industrial buildings,..,..,..,1,1,233,187,387,351,488
0191 Sigtuna,total,1157,1246,1327,1451,1582,432,365,596,519,696
0192 Nynäshamn,one- or two dwelling buildings,386,409,458,519,538,..,..,..,..,..
0192 Nynäshamn,multi-dwelling and commercial buildings,388,393,414,446,465,96,140,187,189,164
0192 Nynäshamn,industrial buildings,..,..,..,..,..,117,124,82,83,84
0192 Nynäshamn,total,775,802,872,964,1003,213,264,269,272,248
0305 Håbo,one- or two dwelling buildings,523,583,606,646,712,..,..,..,..,..
0305 Håbo,multi-dwelling and commercial buildings,118,129,145,154,178,58,68,67,73,83
0305 Håbo,industrial buildings,..,..,..,..,..,115,127,148,160,179
0305 Håbo,total,641,712,751,799,890,173,195,215,234,262
0319 Älvkarleby,one- or two dwelling buildings,285,293,298,307,314,..,..,..,..,..
0319 Älvkarleby,multi-dwelling and commercial buildings,90,88,88,85,89,38,44,43,37,41
0319 Älvkarleby,industrial buildings,..,..,..,..,..,178,181,179,187,196
0319 Älvkarleby,total,374,382,386,392,403,216,225,223,224,237
0330 Knivsta,one- or two dwelling buildings,..,260,306,353,389,..,..,..,..,..
0330 Knivsta,multi-dwelling and commercial buildings,..,94,103,133,181,..,19,35,43,47
0330 Knivsta,industrial buildings,..,..,..,..,..,..,15,12,18,18
