"region","type of property","variable","value","year"
"0114 Upplands Väsby","one- or two dwelling buildings","residential","639",2000
"0114 Upplands Väsby","multi-dwelling and commercial buildings","residential","757",2000
"0114 Upplands Väsby","industrial buildings","residential",NA,2000
"0114 Upplands Väsby","total","residential","1396",2000
"0115 Vallentuna","one- or two dwelling buildings","residential","589",2000
"0115 Vallentuna","multi-dwelling and commercial buildings","residential","237",2000
"0115 Vallentuna","industrial buildings","residential",NA,2000
"0115 Vallentuna","total","residential","826",2000
"0117 Österåker","one- or two dwelling buildings","residential","1001",2000
"0117 Österåker","multi-dwelling and commercial buildings","residential","246",2000
"0117 Österåker","industrial buildings","residential",NA,2000
"0117 Österåker","total","residential","1248",2000
"0120 Värmdö","one- or two dwelling buildings","residential","603",2000
"0120 Värmdö","multi-dwelling and commercial buildings","residential","252",2000
"0120 Värmdö","industrial buildings","residential",NA,2000
"0120 Värmdö","total","residential","854",2000
"0123 Järfälla","one- or two dwelling buildings","residential","1249",2000
"0123 Järfälla","multi-dwelling and commercial buildings","residential","1173",2000
"0123 Järfälla","industrial buildings","residential",NA,2000
"0123 Järfälla","total","residential","2423",2000
"0125 Ekerö","one- or two dwelling buildings","residential","551",2000
"0125 Ekerö","multi-dwelling and commercial buildings","residential","93",2000
"0125 Ekerö","industrial buildings","residential",NA,2000
"0125 Ekerö","total","residential","644",2000
"0126 Huddinge","one- or two dwelling buildings","residential","1865",2000
"0126 Huddinge","multi-dwelling and commercial buildings","residential","1363",2000
"0126 Huddinge","industrial buildings","residential",NA,2000
"0126 Huddinge","total","residential","3228",2000
"0127 Botkyrka","one- or two dwelling buildings","residential","1187",2000
"0127 Botkyrka","multi-dwelling and commercial buildings","residential","1437",2000
"0127 Botkyrka","industrial buildings","residential",NA,2000
"0127 Botkyrka","total","residential","2623",2000
"0128 Salem","one- or two dwelling buildings","residential","388",2000
"0128 Salem","multi-dwelling and commercial buildings","residential","162",2000
"0128 Salem","industrial buildings","residential",NA,2000
"0128 Salem","total","residential","551",2000
"0136 Haninge","one- or two dwelling buildings","residential","1266",2000
"0136 Haninge","multi-dwelling and commercial buildings","residential","1295",2000
"0136 Haninge","industrial buildings","residential",NA,2000
"0136 Haninge","total","residential","2561",2000
"0138 Tyresö","one- or two dwelling buildings","residential","970",2000
